
[00:00:00.000 --> 00:00:04.240]  大家看《經文仙》第四章第一節
[00:00:04.240 --> 00:00:06.540]  那裏說「這些事以後」
[00:00:06.540 --> 00:00:08.960]  甚麼叫「這些事以後」呢?
[00:00:08.960 --> 00:00:10.360]  很簡單地說
[00:00:10.360 --> 00:00:12.600]  就是說啟示錄第一章
[00:00:12.600 --> 00:00:15.360]  和第二章、第三章所講的事情
[00:00:15.360 --> 00:00:16.800]  所發生的事情
[00:00:16.800 --> 00:00:18.680]  經過第一章
[00:00:18.680 --> 00:00:22.600]  主要是講到耶穌基督從死裡復活
[00:00:22.600 --> 00:00:24.760]  回到父神右手邊
[00:00:24.760 --> 00:00:28.680]  而祂將會再回來的時候
[00:00:28.680 --> 00:00:31.160]  祂的形象是怎樣的形象
[00:00:31.160 --> 00:00:34.800]  不再是好像當祂在世上的時候
[00:00:34.800 --> 00:00:38.680]  基本上就是叫做柔和謙卑
[00:00:38.680 --> 00:00:41.480]  當你聽到一個人柔和謙卑的時候
[00:00:41.480 --> 00:00:44.640]  當然我們不可以說耶穌基督是柔弱
[00:00:44.640 --> 00:00:46.640]  好像很軟弱那樣
[00:00:46.640 --> 00:00:48.640]  說話都不會說很大聲
[00:00:48.640 --> 00:00:50.640]  又從來不會發脾氣
[00:00:50.640 --> 00:00:52.520]  從來都不會生氣
[00:00:52.520 --> 00:00:53.800]  不是這樣的意思
[00:00:53.800 --> 00:00:58.120]  但是基本上主耶穌在世上活著的時候
[00:00:58.120 --> 00:01:01.920]  祂是一個比較上是一個溫和派
[00:01:01.920 --> 00:01:03.440]  但是有些情形之下
[00:01:03.440 --> 00:01:05.160]  祂都非常強硬的
[00:01:05.160 --> 00:01:09.040]  祂不會畏懼那些在上執政掌權的
[00:01:09.040 --> 00:01:11.360]  所以這個就是第一章
[00:01:11.360 --> 00:01:12.960]  第二章和第三章
[00:01:12.960 --> 00:01:15.640]  我們都很記得是講七個教會
[00:01:15.640 --> 00:01:17.520]  啟示錄七個教會
[00:01:17.520 --> 00:01:18.840]  而七個教會
[00:01:18.840 --> 00:01:20.920]  是真的有這些教會存在
[00:01:20.920 --> 00:01:23.120]  而所有七個教會在哪裡的地方
[00:01:23.120 --> 00:01:25.960]  就是我們今時今日叫做土耳其
[00:01:25.960 --> 00:01:32.000]  今時今日土耳其就是這七個教會所坐落的地方
[00:01:32.000 --> 00:01:35.760]  其實當時當使徒約翰寫啟示錄的時候
[00:01:35.760 --> 00:01:38.400]  土耳其不止七個教會這麼少的
[00:01:38.400 --> 00:01:41.720]  只不過他是選了七個教會來說
[00:01:41.720 --> 00:01:43.720]  當然我說選是不應該的
[00:01:43.720 --> 00:01:48.360]  是耶穌基督特別向使徒約翰啟示的時候
[00:01:48.360 --> 00:01:53.280]  就讓他去深入的去看看這七個教會
[00:01:53.280 --> 00:01:55.680]  而很多時候當我們看啟示錄的時候
[00:01:55.680 --> 00:01:59.440]  我們知道啟示錄的這個數字是有象徵性的
[00:01:59.440 --> 00:02:00.920]  那麼七字是什麼意思呢?
[00:02:00.920 --> 00:02:05.600]  七字是所有解經家都差不多一致地認為
[00:02:05.600 --> 00:02:09.280]  是一個完全完整的意思
[00:02:09.280 --> 00:02:10.520]  好了
[00:02:10.520 --> 00:02:12.400]  換言之他說
[00:02:12.400 --> 00:02:13.560]  這件事以後
[00:02:13.560 --> 00:02:17.880]  就是講到第一章、第二章、第三章的事情以後
[00:02:17.880 --> 00:02:20.200]  但是正如我說過
[00:02:20.200 --> 00:02:23.480]  就是第二章和第三章的理解
[00:02:23.480 --> 00:02:26.560]  是會有不同的神學派別、不同的看法
[00:02:26.560 --> 00:02:28.800]  一會兒我也會詳細講一講
[00:02:28.800 --> 00:02:30.560]  第一類和第二類那裡
[00:02:30.560 --> 00:02:32.080]  我也會再講多一點
[00:02:32.080 --> 00:02:33.920]  其實上一次我已經提過
[00:02:33.920 --> 00:02:35.400]  不過我可以告訴大家
[00:02:35.400 --> 00:02:37.200]  不是聽一次就能夠明白
[00:02:37.200 --> 00:02:39.080]  不是這麼快能夠理解到的
[00:02:39.080 --> 00:02:42.320]  所以我今天就會比較多一點
[00:02:42.320 --> 00:02:43.520]  也會再講一講
[00:02:43.520 --> 00:02:48.600]  然後就是我觀看看見天上有一道門開著
[00:02:48.600 --> 00:02:50.320]  再一樣
[00:02:50.320 --> 00:02:52.480]  其實天上有一道門開著
[00:02:52.480 --> 00:02:54.080]  是不是真的有一道門呢?
[00:02:54.080 --> 00:02:55.800]  那道門用什麼做的?
[00:02:55.800 --> 00:02:56.640]  用木做的嗎?
[00:02:56.640 --> 00:02:57.840]  是鋼閘來的嗎?
[00:02:57.840 --> 00:03:00.920]  還是說是兩道門打開的那道門呢?
[00:03:00.920 --> 00:03:02.000]  還是拉上去的那道門?
[00:03:02.000 --> 00:03:03.080]  還是有燙門呢?
[00:03:03.080 --> 00:03:05.960]  其實啟示錄不是叫我們著眼於這些事情上
[00:03:05.960 --> 00:03:07.480]  啟示錄叫我們知道
[00:03:07.480 --> 00:03:08.800]  就是說有一個門
[00:03:08.800 --> 00:03:10.600]  有一個門是打開了什麼意思呢?
