
[00:00:00.000 --> 00:00:04.280]  哥羅西書的生活應用部份
[00:00:04.280 --> 00:00:09.160]  是在第三章一節到第四章六節
[00:00:09.160 --> 00:00:10.680]  這個範圍裏面
[00:00:10.680 --> 00:00:13.280]  剛才讀過的一段聖經
[00:00:13.280 --> 00:00:15.520]  我們由三章二十二節
[00:00:15.520 --> 00:00:17.240]  讀到四章一節
[00:00:17.240 --> 00:00:21.600]  其實沒有讀到第十八節到第二十一節
[00:00:21.600 --> 00:00:26.080]  那裏是先講妻子、丈夫的責任
[00:00:26.400 --> 00:00:31.000]  然後再講兒女和父母的責任
[00:00:31.000 --> 00:00:34.560]  最後才讀到我們剛才讀的那一段
[00:00:34.560 --> 00:00:37.720]  僕人、主人的討論
[00:00:37.720 --> 00:00:41.080]  所以你想像得到
[00:00:41.080 --> 00:00:45.120]  其實經文討論的範圍
[00:00:45.120 --> 00:00:47.200]  是在家裏面的
[00:00:47.200 --> 00:00:50.320]  妻子和丈夫
[00:00:50.320 --> 00:00:52.560]  兒女和父母
[00:00:52.560 --> 00:00:55.760]  然後就是家庸和主人
[00:00:56.840 --> 00:01:00.160]  事實上是奴隸和主人
[00:01:00.160 --> 00:01:04.880]  或者好聽一點是奴僕和主人
[00:01:04.880 --> 00:01:09.160]  不過我的工作處境和奴隸都差不多
[00:01:09.160 --> 00:01:11.160]  所以這段聖經也可能適用
[00:01:11.160 --> 00:01:13.520]  今天的講道題目是
[00:01:13.520 --> 00:01:18.480]  蒙召在工作上侍奉主
[00:01:18.480 --> 00:01:20.960]  其實剛才讀過的那一段經文
[00:01:20.960 --> 00:01:22.480]  可能你也留意到
[00:01:22.480 --> 00:01:25.120]  沒有提到蒙召
[00:01:25.640 --> 00:01:29.880]  那為什麼又假設是蒙召呢?
[00:01:29.880 --> 00:01:32.920]  特別是做奴隸
[00:01:32.920 --> 00:01:38.760]  其實這個蒙召、作主、奴僕
[00:01:38.760 --> 00:01:43.720]  我們敢說是基督徒的身世背景
[00:01:43.720 --> 00:01:47.840]  我們可能沒有留意
[00:01:47.840 --> 00:01:51.280]  遠一點,如果從以色列人講起
[00:01:51.280 --> 00:01:53.440]  從利未記那裏提及
[00:01:53.440 --> 00:01:57.400]  他們本來在埃及的時候
[00:01:57.400 --> 00:01:59.960]  是遺奴之家
[00:01:59.960 --> 00:02:02.480]  然後上帝拯救他們了
[00:02:02.480 --> 00:02:03.840]  利未記二十六章說
[00:02:03.840 --> 00:02:07.480]  他們不再做埃及人的奴僕了
[00:02:07.480 --> 00:02:10.080]  不過言猶在耳
[00:02:10.080 --> 00:02:12.400]  生命記很快就說
[00:02:12.400 --> 00:02:16.960]  上主就以以色列人做他們的百姓
[00:02:16.960 --> 00:02:22.120]  不過這群百姓是他的僕人
[00:02:22.720 --> 00:02:23.800]  現在你懂得聽了
[00:02:23.800 --> 00:02:27.680]  這些詞彙全部都是奴僕的意思
[00:02:27.680 --> 00:02:29.000]  就是說
[00:02:29.000 --> 00:02:33.160]  很快你們不再做埃及人的奴僕
[00:02:33.160 --> 00:02:37.240]  很快你就做了上主的奴僕
[00:02:37.240 --> 00:02:38.680]  過當了
[00:02:38.680 --> 00:02:42.520]  沒有中間冷靜期的時間
[00:02:42.520 --> 00:02:46.200]  你說這是舊約聖經的說法而已
[00:02:46.200 --> 00:02:50.840]  保羅說我們是信了主得到自由的
[00:02:50.840 --> 00:02:52.600]  特別是在他最早期
[00:02:52.600 --> 00:02:56.160]  書信加拉太書第五章
[00:02:56.160 --> 00:02:57.440]  就這樣跟我們說
[00:02:57.440 --> 00:02:59.840]  他說弟兄們你們蒙召
[00:02:59.840 --> 00:03:01.680]  是要得自由的
[00:03:01.680 --> 00:03:04.200]  不過我們沒有讀下面那句
[00:03:04.200 --> 00:03:08.920]  只是不要把自由當作放縱肉體的機會
[00:03:08.920 --> 00:03:12.800]  倒要用愛心彼此服侍
[00:03:12.800 --> 00:03:16.920]  得自由的目的是為了服侍
[00:03:16.920 --> 00:03:21.200]  所以耶穌基督給我們一個生命的自由
[00:03:21.200 --> 00:03:23.240]  是我們去揀選
[00:03:23.240 --> 00:03:26.040]  究竟我們是順從罪
[00:03:26.040 --> 00:03:27.320]  抑或順從神
[00:03:27.320 --> 00:03:31.400]  這是保羅後來在羅馬書第六章說的
[00:03:31.400 --> 00:03:33.920]  我們可以用我們的自由去選擇
[00:03:33.920 --> 00:03:36.040]  我們做罪的奴僕
[00:03:36.040 --> 00:03:39.400]  抑或做順從的奴僕
[00:03:39.400 --> 00:03:44.440]  言下之意你懂得選擇的
[00:03:44.440 --> 00:03:46.360]  所以羅馬書第六章就說
[00:03:46.360 --> 00:03:51.960]  我們要把我們的肢體獻做義作奴僕
[00:03:51.960 --> 00:03:54.960]  這是保羅中期寫的
[00:03:54.960 --> 00:03:56.440]  到後期
[00:03:56.440 --> 00:03:59.200]  好像我們今天讀的哥羅西書
[00:03:59.200 --> 00:04:01.360]  或者以弗所書
[00:04:01.360 --> 00:04:03.840]  以弗所書第六章就提到
[00:04:03.840 --> 00:04:09.480]  當我們獻自己的肢體給義做奴僕的時候
[00:04:09.480 --> 00:04:13.760]  我們同時就是做基督的僕人
[00:04:13.760 --> 00:04:15.880]  雖然不是討人歡喜
[00:04:15.880 --> 00:04:19.440]  不過是討主的歡喜
[00:04:19.440 --> 00:04:24.440]  而且要從心底裡面去做神的旨意
[00:04:24.440 --> 00:04:27.240]  哥羅西書還多加了一項
[00:04:27.240 --> 00:04:28.320]  是最要命的
[00:04:28.320 --> 00:04:31.600]  哥羅西書第一章第二十四節提到
[00:04:31.600 --> 00:04:37.640]  因為保羅自己要做教會的僕役
[00:04:37.640 --> 00:04:42.200]  於是他就說了一件我們覺得很難解的事情
[00:04:42.200 --> 00:04:46.200]  就是他要在他自己的肉身上
[00:04:46.200 --> 00:04:50.240]  補足基督苦難的缺陷
[00:04:50.240 --> 00:04:52.600]  這句話很難解釋吧?
[00:04:52.600 --> 00:04:53.680]  是上文而已
[00:04:53.680 --> 00:04:55.880]  哥羅西書第一章二十四節
[00:04:55.880 --> 00:04:57.920]  其實是在說
[00:04:57.920 --> 00:05:00.480]  耶穌基督的苦難
[00:05:00.480 --> 00:05:04.000]  如果我們跟著做基督徒
[00:05:04.000 --> 00:05:07.720]  然後又說我們是基督的僕人
[00:05:07.720 --> 00:05:10.120]  或者說是基督的奴僕
[00:05:10.640 --> 00:05:13.640]  耶穌基督的苦難在我們身上
[00:05:13.640 --> 00:05:19.080]  是無可避免的
[00:05:19.080 --> 00:05:22.600]  如果在這樣的背景下
[00:05:22.600 --> 00:05:26.000]  我們再讀今天的經文
[00:05:26.000 --> 00:05:29.560]  說奴僕和主人的關係
[00:05:29.560 --> 00:05:34.960]  而且我們是蒙召去應對這個關係的時候
[00:05:34.960 --> 00:05:36.960]  我想我們已經有一個基礎了
[00:05:36.960 --> 00:05:38.640]  你沒得選,我沒得選
[00:05:38.640 --> 00:05:40.600]  我們都是做主的奴僕
[00:05:40.600 --> 00:05:42.280]  在這個基礎上
[00:05:42.280 --> 00:05:44.240]  保羅勸我們
[00:05:44.240 --> 00:05:47.160]  我們這些無論是上主的奴僕
[00:05:47.160 --> 00:05:49.160]  還是基督的奴僕
[00:05:49.160 --> 00:05:53.480]  我們都要好好地對應我們的主人
[00:05:53.480 --> 00:05:55.840]  所以從剛剛讀的經文
[00:05:55.840 --> 00:05:57.400]  從二十二節
[00:05:57.400 --> 00:05:59.800]  一直讀到四章一節
[00:05:59.800 --> 00:06:02.320]  其實只有五節經文而已
[00:06:02.320 --> 00:06:07.920]  四節是說奴僕要如何做好自己的本分
[00:06:07.920 --> 00:06:10.320]  最後只有一節是說主人
[00:06:10.600 --> 00:06:13.000]  你說這麼厚待她
[00:06:13.000 --> 00:06:14.240]  她的角色是很重要的
[00:06:14.240 --> 00:06:15.760]  待會讀到你就知道了
[00:06:15.760 --> 00:06:20.240]  不過我們一直在我們的工作處境裡面
[00:06:20.240 --> 00:06:24.160]  譬如就著我跟弟兄姊妹的接觸
[00:06:24.160 --> 00:06:27.920]  在他們工作上的掙扎
[00:06:27.920 --> 00:06:30.120]  不外乎幾種處境
[00:06:30.120 --> 00:06:36.720]  有掙扎就代表工作上的價值觀、處境
[00:06:36.720 --> 00:06:39.200]  可能不是我們所想像的
[00:06:39.200 --> 00:06:40.760]  於是乎我們要想
[00:06:40.760 --> 00:06:42.400]  究竟這個掙扎
[00:06:42.400 --> 00:06:45.000]  究竟我下一步要怎麼做呢?
[00:06:45.000 --> 00:06:46.560]  那麼你知道的了
[00:06:46.560 --> 00:06:49.520]  其實掙扎完不外乎幾種做法而已
[00:06:49.520 --> 00:06:51.720]  一種就是維持現狀
[00:06:51.720 --> 00:06:52.760]  是不是?
[00:06:52.760 --> 00:06:54.280]  掙扎完想來想去都是
