
[00:00:00.000 --> 00:00:04.000]  (主持)我們心目中理想的教會是怎樣的呢?
[00:00:04.000 --> 00:00:07.000]  (梁)我們心目中理想的教會是怎樣的呢?
[00:00:07.000 --> 00:00:12.000]  (主持)我在街上看到一些年輕人
[00:00:12.000 --> 00:00:14.000]  (梁)我在街上看到一些年輕人
[00:00:14.000 --> 00:00:16.000]  (主持)他們打扮很時髦
[00:00:16.000 --> 00:00:18.000]  (梁)他們裝扮得很入時
[00:00:18.000 --> 00:00:23.000]  (主持)那些右耳應該怎樣說呢?左耳應該是對的
[00:00:23.000 --> 00:00:25.000]  (主持)左耳是戴著耳環的
[00:00:25.000 --> 00:00:27.000]  (梁)他的左耳戴著耳環
[00:00:27.000 --> 00:00:31.000]  (主持)手裡拿著一支煙
[00:00:31.000 --> 00:00:33.000]  (梁)手裡拿著煙
[00:00:33.000 --> 00:00:36.000]  (主持)口裡不斷講髒話
[00:00:36.000 --> 00:00:39.000]  (梁)嘴巴不斷講髒話
[00:00:39.000 --> 00:00:41.000]  (主持)我想問
[00:00:41.000 --> 00:00:42.000]  (梁)我在想
[00:00:42.000 --> 00:00:44.000]  (主持)我是這樣想的
[00:00:44.000 --> 00:00:46.000]  (主持)教會有沒有這樣的人呢?
[00:00:46.000 --> 00:00:48.000]  (梁)教會裡面有沒有這樣的人呢?
[00:00:48.000 --> 00:00:50.000]  (主持)如果教會裡面有這樣的信徒怎麼辦呢?
[00:00:50.000 --> 00:00:53.000]  (梁)如果教會裡面有這樣的信徒怎麼辦呢?
[00:00:53.000 --> 00:00:56.000]  (主持)大家能否接受呢?
[00:00:56.000 --> 00:01:00.000]  (梁)能否接受這些戴耳環的男人
[00:01:00.000 --> 00:01:03.000]  (主持)你能否接受一個男孩子戴著耳環
[00:01:03.000 --> 00:01:04.000]  (梁)吃煙的
[00:01:04.000 --> 00:01:05.000]  (主持)在講髒話
[00:01:05.000 --> 00:01:08.000]  (主持)然後抽煙
[00:01:08.000 --> 00:01:09.000]  (梁)似乎不可能
[00:01:09.000 --> 00:01:10.000]  (主持)似乎不可能
[00:01:10.000 --> 00:01:12.000]  (梁)似乎沒什麼可能
[00:01:12.000 --> 00:01:15.000]  (梁)上個主日我在藥堂講道
[00:01:15.000 --> 00:01:17.000]  (主持)上個主日在藥堂那邊講道
[00:01:17.000 --> 00:01:20.000]  (梁)講完道之後有機會跟一個慕道的女士聊天
[00:01:20.000 --> 00:01:23.000]  (主持)講完以後我跟一個慕道的女士聊天
[00:01:23.000 --> 00:01:28.000]  (梁)講到福音的問題最後引導她去自信主
[00:01:28.000 --> 00:01:32.000]  (主持)講到福音的問題最後讓她決志信主
[00:01:32.000 --> 00:01:35.000]  (梁)在教堂當中她問我一個問題
[00:01:35.000 --> 00:01:37.000]  (主持)在教堂當中她問我一個問題
[00:01:37.000 --> 00:01:41.000]  (梁)她問為什麼基督徒會不斷犯罪呢?
[00:01:41.000 --> 00:01:43.000]  (主持)為什麼基督徒會不斷犯罪呢?
[00:01:43.000 --> 00:01:46.000]  (梁)如果一個人不斷犯罪應該怎麼做呢?
