
[00:00:00.000 --> 00:00:01.440]  請祈禱我們平安
[00:00:01.440 --> 00:00:03.200]  我們先一起祈禱
[00:00:03.200 --> 00:00:06.200]  祈禱感謝大米利寺的恩典
[00:00:06.200 --> 00:00:09.720]  令我們有美好的清晨可以一同聚集
[00:00:09.720 --> 00:00:11.240]  來敬拜祢
[00:00:11.240 --> 00:00:13.560]  也一同思想祢的話語
[00:00:13.560 --> 00:00:14.640]  求祢保守
[00:00:14.640 --> 00:00:16.560]  講完講得清清楚楚
[00:00:16.560 --> 00:00:18.360]  聽的聽得明明白白
[00:00:18.360 --> 00:00:22.160]  也幫助我們一同誠誠實實地去遵行祢的話
[00:00:22.160 --> 00:00:24.000]  奉耶穌基督的名祈禱
[00:00:24.000 --> 00:00:24.640]  阿們
[00:00:24.640 --> 00:00:29.920]  今天繼續尋找力量之源
[00:00:29.920 --> 00:00:30.920]  系列
[00:00:30.920 --> 00:00:32.600]  最後一講
[00:00:32.600 --> 00:00:35.200]  也是看完《提摩大修書》
[00:00:35.200 --> 00:00:38.480]  要和大家思想
[00:00:38.480 --> 00:00:40.360]  上帝的同在
[00:00:40.360 --> 00:00:42.960]  都是我們的力量之源
[00:00:42.960 --> 00:00:48.560]  我不知道大家有沒有曾經有過孤單的感覺
[00:00:48.560 --> 00:00:50.640]  我相信
[00:00:50.640 --> 00:00:53.040]  我記得在我人生之中
[00:00:53.040 --> 00:00:55.040]  感覺最孤單的時候
[00:00:55.040 --> 00:00:56.240]  就是去年
[00:00:56.240 --> 00:00:58.240]  做完大手術之後
[00:00:58.240 --> 00:01:00.720]  尤其是頭幾天
[00:01:00.720 --> 00:01:04.000]  我星期四一早就要進醫院做手術
[00:01:04.000 --> 00:01:05.240]  做完之後
[00:01:05.240 --> 00:01:09.400]  麻醉師就一度和我麻到星期六才醒來
[00:01:09.400 --> 00:01:12.520]  那時候
[00:01:12.520 --> 00:01:14.240]  我在ICU
[00:01:14.240 --> 00:01:16.240]  就是加護病房
[00:01:16.240 --> 00:01:17.880]  一個人住一個房間
[00:01:17.880 --> 00:01:19.040]  全部都困住了
[00:01:19.040 --> 00:01:21.480]  有個護士站在門口
[00:01:21.480 --> 00:01:24.440]  在那裡住了前後五天
[00:01:24.440 --> 00:01:27.640]  那時候太太要來探望我也不容易
[00:01:28.080 --> 00:01:31.080]  後來就過了幾天
[00:01:31.080 --> 00:01:34.600]  很開心見到女兒、女婿、孫子孫女都來了
[00:01:34.600 --> 00:01:37.120]  在加護病房那幾天
[00:01:37.120 --> 00:01:39.800]  真是相當的孤單
[00:01:39.800 --> 00:01:42.360]  除了醫生、護士之外
[00:01:42.360 --> 00:01:43.920]  見不到其他人
[00:01:43.920 --> 00:01:45.920]  那時候
[00:01:45.920 --> 00:01:47.720]  不能夠吃東西
[00:01:47.720 --> 00:01:49.720]  喝水也不行
[00:01:49.720 --> 00:01:52.320]  口渴怎麼辦呢
[00:01:52.320 --> 00:01:55.120]  護士給我一塊小的冰
[00:01:55.120 --> 00:01:59.080]  讓它慢慢融化
[00:01:59.080 --> 00:02:04.080]  真是覺得又孤單又很慘
[00:02:04.080 --> 00:02:09.080]  但是我深知上帝與我同在
[00:02:09.080 --> 00:02:11.880]  一切事情的發生
[00:02:11.880 --> 00:02:13.880]  都一定有上帝的美意
[00:02:13.880 --> 00:02:15.880]  容許才會臨到我們
[00:02:15.880 --> 00:02:17.880]  否則就不會
[00:02:17.880 --> 00:02:19.880]  因此我沒有問
[00:02:19.880 --> 00:02:22.880]  我的神我的神為什麼離棄我
[00:02:22.880 --> 00:02:26.880]  很多大英姐妹都聽過這句話
[00:02:26.880 --> 00:02:29.880]  也知道是主耶穌在十字架上說的
[00:02:29.880 --> 00:02:33.880]  不過我認為有時
[00:02:33.880 --> 00:02:35.880]  有些牧師
[00:02:35.880 --> 00:02:39.880]  解釋這句話解釋得不太正確
[00:02:39.880 --> 00:02:42.880]  今天有機會跟大家講解一下
[00:02:42.880 --> 00:02:45.880]  這句話究竟是什麼意思呢
