
[00:00:00.000 --> 00:00:02.120]  今天跟大家分享的題目就是
[00:00:02.120 --> 00:00:03.780]  不平凡的平凡人
[00:00:03.780 --> 00:00:08.060]  今天很多人的名字都是由父母梨大爺去改的
[00:00:08.060 --> 00:00:09.620]  我這個名字是真名
[00:00:09.620 --> 00:00:10.260]  梁永善
[00:00:10.260 --> 00:00:12.140]  我已經說了是爸爸跟我改的
[00:00:12.140 --> 00:00:13.320]  但是我就一般般
[00:00:13.320 --> 00:00:14.940]  我信了耶穌就不喜歡這個名字
[00:00:14.940 --> 00:00:16.580]  因為中文是永遠善良
[00:00:16.580 --> 00:00:18.920]  但是英文那個善字的串法是 S-I-N
[00:00:18.920 --> 00:00:20.060]  是永遠犯罪的
[00:00:20.060 --> 00:00:21.660]  但是現在又覺得感恩
[00:00:21.660 --> 00:00:23.420]  原來是在反映我的信仰
[00:00:23.420 --> 00:00:25.280]  我有英文名字的
[00:00:25.280 --> 00:00:26.840]  不知道有沒有人知道我的英文名字是什麼呢?
[00:00:26.840 --> 00:00:27.680]  我叫 Stephen
[00:00:27.680 --> 00:00:30.000]  這個英文名字原來是我四年級
[00:00:30.000 --> 00:00:31.000]  我還沒有信耶穌的
[00:00:31.000 --> 00:00:33.420]  有一堆的英文名字裡面
[00:00:33.420 --> 00:00:34.600]  讓我自己去選擇
[00:00:34.600 --> 00:00:36.640]  我不知道為什麼我會選擇了這個名字
[00:00:36.640 --> 00:00:38.860]  但是現在又發覺很有恩典
[00:00:38.860 --> 00:00:40.700]  原來 Stephen 這個字
[00:00:40.700 --> 00:00:42.660]  其實在聖經裡面有一個人
[00:00:42.660 --> 00:00:44.080]  都是用這個名字
[00:00:44.080 --> 00:00:45.560]  就是試題犯
[00:00:45.560 --> 00:00:47.640]  試題犯好像是一個很平凡的人
[00:00:47.640 --> 00:00:50.240]  但是他是能夠做出很不平凡的事情
[00:00:50.240 --> 00:00:54.200]  所以今天我們會稍稍梨大爺去研讀試題犯的生平
[00:00:54.200 --> 00:00:56.680]  讓我們能夠彼此勉勵
[00:00:56.680 --> 00:00:58.520]  千萬不要小看你自己
[00:00:58.520 --> 00:01:00.120]  你覺得我是很平凡
[00:01:00.120 --> 00:01:02.280]  是,你是很平凡
[00:01:02.280 --> 00:01:04.520]  但是如果你能夠和神有好的關係
[00:01:04.520 --> 00:01:06.120]  被神撒嬌的時候
[00:01:06.120 --> 00:01:09.480]  你就可以絕對做一個不平凡的事情
[00:01:09.480 --> 00:01:12.160]  我們先看看這個過程是怎樣的
[00:01:12.160 --> 00:01:16.040]  我們做事一定要有輕重之分
[00:01:16.040 --> 00:01:19.400]  初期教會剛剛開始的時候
[00:01:19.400 --> 00:01:21.400]  他們發展得非常好
[00:01:21.400 --> 00:01:23.560]  但是卻是在壓力底下
[00:01:23.560 --> 00:01:25.800]  越有壓力之後他們越發展得好
[00:01:25.800 --> 00:01:27.800]  當時羅馬政府迫害他們
[00:01:27.800 --> 00:01:29.520]  因為被當時的猶太人
[00:01:29.520 --> 00:01:31.080]  自己的同胞出賣
[00:01:31.080 --> 00:01:35.080]  試圖會被逼迫要梨大爺去坐牢
[00:01:35.080 --> 00:01:37.680]  《司徒行尊》第五章四十一到四十二節裡面
[00:01:37.680 --> 00:01:38.720]  記載得很清楚
[00:01:38.720 --> 00:01:40.120]  大家看這些經文
[00:01:40.120 --> 00:01:41.560]  他們就會怎樣呢?
[00:01:41.560 --> 00:01:43.520]  他們被人抓去坐牢
[00:01:43.520 --> 00:01:46.840]  甚至威嚇他不可以再講神的道
[00:01:46.840 --> 00:01:50.560]  但是彼得卻是以此為榮
[00:01:50.560 --> 00:01:53.440]  我能夠為神梨大爺去坐牢
[00:01:53.440 --> 00:01:54.880]  是一個祝福來的
[00:01:54.880 --> 00:01:58.200]  當然這個是試圖個人的操守
[00:01:58.200 --> 00:01:59.560]  容易去解決
[00:01:59.560 --> 00:02:02.280]  他如果有信心是沒有問題的
[00:02:02.280 --> 00:02:05.280]  但是最大的問題就是內部
[00:02:05.280 --> 00:02:07.000]  因為人多的緣故
[00:02:07.000 --> 00:02:09.320]  就產生了分裂
[00:02:09.320 --> 00:02:11.840]  內部的問題是什麼問題呢?
[00:02:11.840 --> 00:02:15.320]  大家一起來看《司徒行尊》第六章的第一節
[00:02:15.320 --> 00:02:16.800]  我們一起來讀出
[00:02:16.800 --> 00:02:19.680]  那時門徒增多
[00:02:19.680 --> 00:02:22.560]  我算希臘的猶太人
[00:02:22.560 --> 00:02:25.160]  向希伯來人發怨言
[00:02:25.160 --> 00:02:28.080]  因為在天天的功級上
[00:02:28.080 --> 00:02:30.760]  忽略了他們的寡婦
[00:02:30.760 --> 00:02:33.080]  原來內部產生了問題
[00:02:33.080 --> 00:02:34.840]  有人來帶去埋怨
[00:02:34.840 --> 00:02:37.800]  特別是講希臘話的猶太的寡婦
[00:02:37.800 --> 00:02:39.200]  埋怨他們
[00:02:39.200 --> 00:02:40.920]  為什麼你忽略了我?
[00:02:40.920 --> 00:02:44.000]  有一句名言在香港很出名
[00:02:44.000 --> 00:02:47.120]  「多做多錯,少做少錯,不做就無錯」
[00:02:47.120 --> 00:02:49.840]  你記住做好事未必一定會得到祝福的
[00:02:49.840 --> 00:02:51.560]  甚至可能被人罵你
[00:02:51.560 --> 00:02:53.480]  以疫情來說
[00:02:53.480 --> 00:02:55.680]  當時為了隔離人員
[00:02:55.680 --> 00:02:58.120]  你從外地回來要扣留14天
[00:02:58.120 --> 00:02:59.280]  即是要隔離
[00:02:59.280 --> 00:03:02.200]  你看看這張新聞的圖片
[00:03:02.200 --> 00:03:04.240]  有些人說被人隔離
[00:03:04.240 --> 00:03:05.880]  沒有機會外出吃東西
[00:03:05.880 --> 00:03:06.600]  請送東西來
[00:03:06.600 --> 00:03:07.960]  有些人要紅酒
[00:03:07.960 --> 00:03:10.000]  有些人要生日蛋糕
[00:03:10.000 --> 00:03:11.520]  有些人說要充電
[00:03:11.520 --> 00:03:13.200]  要iPhone充電線
[00:03:13.200 --> 00:03:15.640]  甚至有人要求要送電視機
[00:03:15.640 --> 00:03:17.320]  不是吧?
[00:03:17.320 --> 00:03:18.800]  何須要求這麼多?
[00:03:18.800 --> 00:03:19.480]  你不給我?
