
[00:00:00.000 --> 00:00:03.600]  (主席)今日同大家繼續去睇呢個詩篇嘅第八篇
[00:00:03.600 --> 00:00:06.120]  (主席)咁呢我睇一睇
[00:00:06.120 --> 00:00:08.560]  (主席)係,好嘅,有經文喺度
[00:00:08.560 --> 00:00:12.920]  (主席)詩篇第八篇呢,如果你攞返手裏面嗰個副頁
[00:00:12.920 --> 00:00:16.880]  (主席)因為呢,我一路會用一啲聖經同大家去思想嘅
[00:00:16.880 --> 00:00:20.080]  (主席)攞返手裏面個副頁呢,你會發覺個題目呢
[00:00:20.080 --> 00:00:25.160]  (主席)係同我哋一向講神愛世人嗰個細節唔同嘅
[00:00:25.160 --> 00:00:28.200]  (主席)因為神愛世人呢,就係世上嘅人
[00:00:28.200 --> 00:00:31.120]  (主席)呢個世人,其實喺原文呢
[00:00:31.120 --> 00:00:34.560]  (主席)喺呢個楊康三章十六節嗰個世人呢
[00:00:34.560 --> 00:00:36.280]  (主席)其實係講神愛世界嘅
[00:00:36.280 --> 00:00:39.280]  (主席)佢唔係講世人,講神愛呢個世界咁樣
[00:00:39.280 --> 00:00:41.640]  (主席)但係佢又叫我哋唔好愛世界喎
[00:00:41.640 --> 00:00:43.440]  (主席)有時好有趣呀
[00:00:43.440 --> 00:00:46.040]  (主席)當然,佢唔係只叫我哋唔好愛世界
[00:00:46.040 --> 00:00:47.880]  (主席)佢自己去愛世界
[00:00:47.880 --> 00:00:51.680]  (主席)佢話呢,唔好愛世界上嘅情慾咁樣
[00:00:51.680 --> 00:00:54.600]  (主席)今日同大家繼續去睇
[00:00:54.600 --> 00:00:59.400]  (主席)今日呢,係由第三節睇起,由第三節睇起嘅
[00:00:59.400 --> 00:01:02.320]  (主席)咁等下睇睇先啦,我呢張筆記
[00:01:02.320 --> 00:01:05.160]  (主席)點解有啲咁咁奇怪嘅呢
[00:01:05.160 --> 00:01:06.320]  (主席)啊係,冇錯
[00:01:06.320 --> 00:01:08.320]  (主席)我自己手指撳住嗰個第三節
[00:01:08.320 --> 00:01:10.400]  (主席)所以搵唔到第三節
[00:01:10.400 --> 00:01:12.000]  (主席)人就係咁架啦
[00:01:12.000 --> 00:01:13.400]  (主席)雖然呢,牧師有時呢
[00:01:13.400 --> 00:01:15.240]  (主席)俾你嘅感覺係點呀
[00:01:15.240 --> 00:01:16.440]  (主席)我俾你選啦,好唔好
[00:01:16.440 --> 00:01:17.680]  (主席)我最鍾意俾人揀嘅
[00:01:17.680 --> 00:01:19.160]  (主席)係精明嘅
[00:01:19.160 --> 00:01:25.560]  (主席)係蒙查查嘅,邊個揀精明嘅係一,邊個揀蒙查查嘅係二
[00:01:25.560 --> 00:01:27.560]  (主席)舉起一隻手指㗎啦
[00:01:27.560 --> 00:01:31.080]  (主席)舉起兩隻手指㗎啦
[00:01:31.080 --> 00:01:33.360]  (主席)嘩,原來我咁惡架
[00:01:33.360 --> 00:01:35.360]  (主席)居然冇人敢揀第二呀
[00:01:35.360 --> 00:01:37.680]  (主席)其實我做一個測試就想睇下你
[00:01:37.680 --> 00:01:39.680]  (主席)知唔知到我係惡人嚟㗎啫
[00:01:39.680 --> 00:01:42.320]  (主席)咁我想同大家呢係簡單睇一睇
[00:01:42.320 --> 00:01:44.320]  (主席)由第一節同第二節
[00:01:44.320 --> 00:01:46.240]  (主席)佢話夜話我你嘅主呀
[00:01:46.240 --> 00:01:51.320]  (主席)你嘅命在寸地何其美,你將你嘅榮耀彰顯於天
[00:01:51.320 --> 00:01:54.080]  (主席)呢個何其美呢個字呢
[00:01:54.080 --> 00:01:56.320]  (主席)我之前個筆記畀咗你
[00:01:56.320 --> 00:01:58.720]  (主席)今次呢我就cut咗頭嗰兩節呀
[00:01:58.720 --> 00:02:02.240]  (主席)你攞返上一次嘅筆記都係有㗎
[00:02:02.240 --> 00:02:04.000]  (主席)呢個何其美呀
[00:02:04.000 --> 00:02:07.880]  (主席)我哋諗咗唔好話幾咁靚呀,幾咁美麗呀
[00:02:07.880 --> 00:02:09.160]  (主席)幾咁beautiful呀
[00:02:09.160 --> 00:02:11.840]  (主席)咁當然呢個係有呢一個嘅成份喺裏面
[00:02:12.160 --> 00:02:17.240]  (主席)但係用另外一個嘅英文字去表達呢
[00:02:17.240 --> 00:02:18.760]  (主席)我覺得會更加嘅好
[00:02:18.760 --> 00:02:20.160]  (主席)就係majestic
[00:02:20.160 --> 00:02:22.160]  (主席)majesty, majestic
[00:02:22.160 --> 00:02:25.360]  (主席)嘩嗰個majestic, majesty
[00:02:25.360 --> 00:02:28.720]  (主席)我都唔知道用廣東話應該用咩表達呀
[00:02:28.720 --> 00:02:30.720]  (主席)總言之你返去查字典呀
[00:02:30.720 --> 00:02:32.720]  (主席)咁呀majestic, majesty
[00:02:32.720 --> 00:02:36.840]  (主席)係美,但係嗰種美呢係一種榮耀嘅美
[00:02:36.840 --> 00:02:39.960]  (主席)佢話你將你嘅榮耀彰顯於天
[00:02:39.960 --> 00:02:43.720]  (主席)我一陣會同大家多講返少少榮耀呢兩個字
