
[00:00:00.000 --> 00:00:02.000]  上禮拜講完之後
[00:00:02.000 --> 00:00:03.000]  有一些弟兄姊妹跟我說
[00:00:03.000 --> 00:00:06.000]  牧師你這個信息一次講不夠
[00:00:06.000 --> 00:00:09.000]  需要多講幾次
[00:00:09.000 --> 00:00:11.000]  後來他們在小組裡面討論的時候
[00:00:11.000 --> 00:00:13.000]  也確實發現
[00:00:13.000 --> 00:00:17.000]  我想還是很多人對這個信息不是那麼明白
[00:00:17.000 --> 00:00:21.000]  其實這個主題是一個很大的主題
[00:00:21.000 --> 00:00:25.000]  在神學院裡面講聖靈論都要講半天的
[00:00:25.000 --> 00:00:28.000]  當然是不可能一次信息講清楚
[00:00:28.000 --> 00:00:31.000]  所以我今天要再跟大家講
[00:00:31.000 --> 00:00:35.000]  我們首先要來看
[00:00:35.000 --> 00:00:39.000]  什麼叫做被聖靈充滿
[00:00:39.000 --> 00:00:43.000]  很多人對聖靈充滿不清楚
[00:00:43.000 --> 00:00:46.000]  有的人覺得說我被聖靈感動
[00:00:46.000 --> 00:00:48.000]  他認為那是聖靈充滿
[00:00:48.000 --> 00:00:51.000]  不 聖靈感動不一定是聖靈充滿
[00:00:51.000 --> 00:00:55.000]  有的人覺得我感覺到聖靈的同在
[00:00:55.000 --> 00:00:59.000]  聖靈的同在不一定是聖靈充滿
[00:00:59.000 --> 00:01:01.000]  所以我們上次講到
[00:01:01.000 --> 00:01:05.000]  聖靈它有兩方面的工作
[00:01:05.000 --> 00:01:08.000]  我們如果明白這個聖靈兩方面的工作
[00:01:08.000 --> 00:01:10.000]  我們就會比較清楚了
[00:01:10.000 --> 00:01:13.000]  我們首先來看聖靈哪兩方面的工作
[00:01:13.000 --> 00:01:18.000]  第一個是聖靈在我們內在的工作
[00:01:18.000 --> 00:01:21.000]  所以我們被聖靈重生
[00:01:21.000 --> 00:01:25.000]  這是約翰福音第三章
[00:01:25.000 --> 00:01:28.000]  然後聖經上格林多前書那邊講到說
[00:01:28.000 --> 00:01:33.000]  我們都從一位聖靈受了洗
[00:01:33.000 --> 00:01:37.000]  然後我們就成為一個身體了
[00:01:37.000 --> 00:01:39.000]  所以雖然我們有不同的肢體
[00:01:39.000 --> 00:01:43.000]  但是我們同被一位聖靈洗
[00:01:43.000 --> 00:01:47.000]  這裡講的都是聖靈重生
[00:01:47.000 --> 00:01:52.000]  在我們生命裡面內在的工作
[00:01:52.000 --> 00:01:57.000]  還有像說聖靈會引導我們
[00:01:57.000 --> 00:02:00.000]  聖靈會感動我們
[00:02:00.000 --> 00:02:05.000]  這些都是聖靈內在的工作
[00:02:05.000 --> 00:02:07.000]  我們來看一下
