
[00:00:00.000 --> 00:00:03.520]  透過一個童貞女將她的兒子送到世上
[00:00:03.520 --> 00:00:04.720]  爲了要拯救我們
[00:00:04.720 --> 00:00:07.560]  這件事的本身就是一個神蹟
[00:00:07.560 --> 00:00:09.320]  而我相信我們做人
[00:00:09.320 --> 00:00:13.000]  很多時候都希望有些神蹟能夠在我們身上發生
[00:00:13.000 --> 00:00:15.480]  有沒有想過呢?
[00:00:15.480 --> 00:00:18.560]  問題就是這個世界是很現實的
[00:00:18.560 --> 00:00:24.640]  我們經常說人生裏不如意的事情是十之八九的
[00:00:24.640 --> 00:00:27.720]  我們很想見到神蹟,但是神蹟沒有出現
[00:00:27.720 --> 00:00:30.040]  我們心裏有一個很大的願望
[00:00:30.040 --> 00:00:32.960]  希望神能夠應運我們
[00:00:32.960 --> 00:00:36.240]  但是不知道爲什麼,經過一段時間之後
[00:00:36.240 --> 00:00:38.480]  似乎都沒有什麼聲音
[00:00:38.480 --> 00:00:40.640]  我們的願望落空了
[00:00:40.640 --> 00:00:42.160]  無論這個願望是什麼,我不知道
[00:00:42.160 --> 00:00:43.640]  你們自己知道
[00:00:43.640 --> 00:00:46.560]  有時候我們會在那個情況下
[00:00:46.560 --> 00:00:47.960]  覺得很失落
[00:00:47.960 --> 00:00:49.400]  就算我們是基督徒也好
[00:00:49.400 --> 00:00:50.600]  都有願望的
[00:00:50.600 --> 00:00:54.360]  都希望有些特別的事情能夠發生在我們身上
[00:00:54.360 --> 00:00:56.880]  當我們落在這樣的處境當中的時候
[00:00:56.880 --> 00:00:59.840]  我們會不會仍然是繼續
[00:00:59.840 --> 00:01:01.600]  可以心裏祈求着
[00:01:01.600 --> 00:01:03.040]  期待着
[00:01:03.040 --> 00:01:04.560]  會有一些特別的事情發生
[00:01:04.560 --> 00:01:07.120]  神蹟真的會出現呢?
[00:01:07.120 --> 00:01:08.840]  所以這幾個禮拜
[00:01:08.840 --> 00:01:11.920]  教務同工會跟大家一起分享
[00:01:11.920 --> 00:01:14.840]  聖誕節帶給我們的信息是什麼
[00:01:14.840 --> 00:01:16.720]  神希望透過這個聖誕節
[00:01:16.720 --> 00:01:18.520]  跟我們說什麼
[00:01:18.520 --> 00:01:21.600]  第一個要跟大家分享的就是
[00:01:21.600 --> 00:01:23.440]  我們可不可以繼續
[00:01:23.440 --> 00:01:25.720]  似乎在無望當中
[00:01:25.720 --> 00:01:29.200]  仍然期待着神蹟的出現呢?
[00:01:29.200 --> 00:01:30.400]  聖經裏面
[00:01:30.400 --> 00:01:32.640]  聖誕節的故事來來去去只有那幾個
[00:01:32.640 --> 00:01:36.120]  不過這個故事我們平時不是太多去看的
