
[00:00:00.000 --> 00:00:02.880]  今天我的題目是「絕世好巴」
[00:00:02.880 --> 00:00:05.160]  當然這個名字不是我改的
[00:00:05.160 --> 00:00:06.440]  是師母改的
[00:00:06.440 --> 00:00:08.120]  但是說完這個名字之後
[00:00:08.120 --> 00:00:11.840]  幾天之後我在Yahoo看到一個新聞
[00:00:11.840 --> 00:00:14.640]  在Yahoo就寫著「絕世好巴」
[00:00:14.640 --> 00:00:16.760]  有沒有搞錯?抄我的名字是不是?
[00:00:16.760 --> 00:00:17.760]  他說「絕世好巴」
[00:00:17.760 --> 00:00:20.880]  為什麼在新聞裡有一個「絕世好巴」呢?
[00:00:20.880 --> 00:00:23.240]  就因為有一個歌語復仇手
[00:00:23.240 --> 00:00:25.600]  是一個很出名的歌語復仇手
[00:00:25.600 --> 00:00:27.480]  他說他是一個「絕世好巴」
[00:00:27.480 --> 00:00:27.960]  為什麼呢?
[00:00:27.960 --> 00:00:31.840]  就是因為他為了自己女兒的畢業典禮
[00:00:31.840 --> 00:00:35.480]  卻不去打美國現在正在打的
[00:00:35.480 --> 00:00:39.360]  大滿貫的一個歌語復仇的比賽
[00:00:39.360 --> 00:00:42.720]  所以他因為女兒的畢業
[00:00:42.720 --> 00:00:44.040]  去參加畢業典禮
[00:00:44.040 --> 00:00:46.240]  卻不去打這場的比賽
[00:00:46.240 --> 00:00:48.280]  就成為了「絕世好巴」
[00:00:48.280 --> 00:00:50.800]  所以其實做「絕世好巴」一點都不難
[00:00:50.800 --> 00:00:53.560]  參加你女兒的畢業典禮就可以了
[00:00:53.560 --> 00:00:55.840]  你跟她說「絕世好巴」一點都不難
[00:00:55.840 --> 00:00:58.360]  第一姊妹,「絕世好巴」
[00:00:58.360 --> 00:01:01.240]  當然父親節什麼時候開始
[00:01:01.240 --> 00:01:02.560]  我都是上網看
[00:01:02.560 --> 00:01:06.160]  上網就說在1910年6月19日
[00:01:06.160 --> 00:01:10.280]  是第一次在美國華盛頓一個城市裡
[00:01:10.280 --> 00:01:14.440]  第一次舉行了一個父親節的主日崇拜
[00:01:14.440 --> 00:01:17.760]  所以父親節也是來自教會開始
[00:01:17.760 --> 00:01:21.800]  可想而知教會在那個年代是影響社會
[00:01:21.800 --> 00:01:24.760]  不過今天這個世界反而在影響教會
[00:01:24.760 --> 00:01:26.840]  我們很希望我們重拾
[00:01:26.840 --> 00:01:29.800]  有一天我們教會是影響社會的
[00:01:29.800 --> 00:01:31.440]  以致到在1910年
[00:01:31.440 --> 00:01:33.240]  就因為有一位夫人
[00:01:33.240 --> 00:01:34.960]  她是Mrs. Stock
[00:01:34.960 --> 00:01:37.320]  她就看到她自己的爸爸
[00:01:37.320 --> 00:01:41.560]  因為她的媽媽在他們六個子女出世之後
[00:01:41.560 --> 00:01:42.720]  就離開世界
[00:01:42.720 --> 00:01:46.720]  所以唯有爸爸他要父兼母職
[00:01:46.720 --> 00:01:48.880]  來照顧這六個子女
[00:01:48.880 --> 00:01:50.800]  以致到這位Mrs. Stock
[00:01:50.800 --> 00:01:54.840]  她就覺得需要去感謝這個爸爸
[00:01:54.840 --> 00:01:56.960]  於是在州長同意下
[00:01:56.960 --> 00:01:59.880]  就成為了一個父親節的崇拜
[00:01:59.880 --> 00:02:03.160]  當然輾轉其實去到1972年
[00:02:03.160 --> 00:02:05.360]  Richard Nixon就是尼克遜總統
[00:02:05.360 --> 00:02:09.080]  他才正式簽下一個文件
[00:02:09.080 --> 00:02:13.400]  就說美國是每一年的6月第三個星期日
[00:02:13.400 --> 00:02:15.920]  就成為了一個父親節
[00:02:15.920 --> 00:02:22.040]  以致到納了在美國的一個永久性的一個紀念日
