
[00:00:00.000 --> 00:00:05.200]  《阿摩斯書》是《十二仙之書》的第三本
[00:00:05.200 --> 00:00:07.000]  一共是九章的書
[00:00:07.000 --> 00:00:09.900]  146節的經文
[00:00:09.900 --> 00:00:15.000]  我們講過第一部《十二仙之書》是荷西亞書
[00:00:15.000 --> 00:00:17.000]  主題是救贖
[00:00:17.000 --> 00:00:20.600]  是要人歸向尋求耶和華
[00:00:20.600 --> 00:00:26.400]  第二部《十二仙之書》是約爾書
[00:00:26.400 --> 00:00:30.800]  約爾書的主題是主耶和華的日子
[00:00:30.800 --> 00:00:32.800]  是講到審判
[00:00:32.800 --> 00:00:37.300]  所以暫時的積分是一比一
[00:00:37.300 --> 00:00:38.800]  一個是講審判
[00:00:38.800 --> 00:00:40.800]  一個是講救贖
[00:00:40.800 --> 00:00:42.800]  一正一負
[00:00:42.800 --> 00:00:46.200]  《阿摩斯書》究竟又是講什麼呢?
[00:00:46.200 --> 00:00:49.600]  我們先看看《阿摩斯書》的背景
[00:00:49.600 --> 00:00:51.600]  《阿摩斯書》一章一節
[00:00:51.600 --> 00:00:58.800]  當猶大王烏西亞以色列王約瓦斯的兒子耶羅波安的時候
[00:00:58.800 --> 00:01:01.000]  大地震前的兩年
[00:01:01.000 --> 00:01:07.000]  提哥亞的木人中的阿摩斯德勒氏論以色列
[00:01:07.000 --> 00:01:11.200]  這裡所講的是一場大地震
[00:01:11.200 --> 00:01:15.600]  相信這個地震是非常驚天動地
[00:01:15.600 --> 00:01:18.200]  因為在250年後
[00:01:18.200 --> 00:01:22.600]  撒加利亞先知在撒加利亞書14章5節
[00:01:22.600 --> 00:01:26.800]  仍然提到這場地震
[00:01:26.800 --> 00:01:29.000]  這個地震發生的年份
[00:01:29.000 --> 00:01:32.400]  可能在公元前762年
[00:01:32.400 --> 00:01:40.800]  就是北國以色列滅國之前的40年
[00:01:40.800 --> 00:01:43.200]  這個經文告訴我們
[00:01:43.200 --> 00:01:47.000]  在耶羅波安二世的時候
[00:01:47.000 --> 00:01:49.600]  這是耶羅波安二世
[00:01:49.600 --> 00:01:53.200]  不是我們熟悉的耶羅波安
[00:01:53.200 --> 00:02:00.400]  賀西亞和阿摩斯兩個都是在耶羅波安二世的時候作先知
[00:02:00.400 --> 00:02:05.600]  事後應該差不多是公元前760年
[00:02:05.600 --> 00:02:09.400]  也是猶大王烏西亞在位的時候
[00:02:09.400 --> 00:02:15.200]  耶羅波安二世統治了41年
[00:02:15.200 --> 00:02:22.800]  他享受著他父親約阿斯的王國所得來的太平盛世
[00:02:22.800 --> 00:02:25.000]  所得來的安定
[00:02:25.000 --> 00:02:29.600]  他的疆土在西面去到尼巴倫
[00:02:29.600 --> 00:02:34.600]  北面沿著地中海一直去到阿蘭國
[00:02:34.600 --> 00:02:38.800]  以色列甚至控制著阿蘭國的大馬色
[00:02:38.800 --> 00:02:42.600]  東南面去到摩亞
[00:02:42.600 --> 00:02:46.400]  約阿斯的父親也戰勝了猶大國
[00:02:46.400 --> 00:02:51.200]  所以在以色列國的四周都有所謂的緩衝國
[00:02:51.200 --> 00:02:53.200]  甚麼是緩衝國
[00:02:53.200 --> 00:02:56.800]  說得好聽一點就是緩衝國
[00:02:56.800 --> 00:03:00.800]  說得不好聽的就是他們的擋箭牌
[00:03:00.800 --> 00:03:04.800]  我們說過他們控制了大馬色
[00:03:04.800 --> 00:03:07.800]  所以在亞述國
[00:03:07.800 --> 00:03:12.800]  我們知道北面興起一個非常強大的國家就是亞述國
[00:03:12.800 --> 00:03:15.600]  在亞述國和以色列的中間
[00:03:15.600 --> 00:03:19.400]  中間有阿蘭國來做他們的擋箭牌
[00:03:19.400 --> 00:03:24.000]  亞述國要攻打以色列首先要經過阿蘭國
[00:03:24.000 --> 00:03:33.000]  同樣猶大國也是埃及和以色列當中的緩衝國或擋箭牌
[00:03:33.000 --> 00:03:35.800]  在西面他們有地中海
[00:03:35.800 --> 00:03:40.200]  在東面他們有葛蘭尼山脈
[00:03:40.200 --> 00:03:45.400]  非常平靜非常安穩非常富庶
[00:03:45.400 --> 00:03:50.000]  令我們想起美國
[00:03:50.000 --> 00:03:53.200]  阿摩斯書一章一節告訴我們
[00:03:53.200 --> 00:03:56.400]  阿摩斯是從提哥亞而來
[00:03:56.400 --> 00:04:01.200]  提哥亞是在百里行南面六里
[00:04:01.200 --> 00:04:06.000]  耶路撒冷的東南大概是十二里
[00:04:06.000 --> 00:04:08.600]  在阿摩斯書七章十四節
[00:04:08.600 --> 00:04:14.800]  說北國的先知阿瑪喆不抵得
[00:04:14.800 --> 00:04:17.400]  阿摩斯撈過界
[00:04:17.400 --> 00:04:21.000]  走來北國走來是港臣的話語
[00:04:21.000 --> 00:04:23.000]  於是他和耶羅伯安二世說
[00:04:23.000 --> 00:04:24.600]  這個人不懷好意
[00:04:24.600 --> 00:04:26.600]  一定是想來北國
[00:04:26.600 --> 00:04:30.600]  想慫恿人們推翻你的國
[00:04:30.600 --> 00:04:35.600]  所以他叫阿摩斯回南國去謀生
[00:04:35.600 --> 00:04:37.600]  阿摩斯說:啊?
[00:04:37.600 --> 00:04:40.600]  你以為我來北國是謀生嗎?
[00:04:40.600 --> 00:04:42.600]  好像許冠文唱的那首歌
[00:04:42.600 --> 00:04:45.800]  「搵兩餐乜都肯濟」
[00:04:45.800 --> 00:04:48.600]  他說:我不是來北國謀生
[00:04:48.600 --> 00:04:52.200]  我是神差遣我呼召我來北國
[00:04:52.200 --> 00:04:53.800]  來講神的話語
[00:04:53.800 --> 00:04:55.000]  我是牧羊人
[00:04:55.000 --> 00:04:58.400]  他說:我自己能夠維持我生計
[00:04:58.400 --> 00:05:00.400]  和北國的人叫他們悔改
[00:05:00.400 --> 00:05:04.000]  相信北國的人不會這麼大反感
[00:05:04.000 --> 00:05:05.200]  我們看到
[00:05:05.200 --> 00:05:07.200]  賀西亞和阿摩斯
[00:05:07.200 --> 00:05:09.800]  都是被神呼召去
[00:05:09.800 --> 00:05:14.600]  叫北國來悔改
[00:05:14.600 --> 00:05:16.600]  賀西亞是北國人
[00:05:16.600 --> 00:05:18.000]  就非常容易了
[00:05:18.000 --> 00:05:21.600]  大家自己有和北國的人叫他們悔改
[00:05:21.600 --> 00:05:24.600]  相信北國的人不會有這麼大的反感
[00:05:24.600 --> 00:05:26.400]  但是
[00:05:26.400 --> 00:05:27.800]  阿摩斯就不同了
[00:05:27.800 --> 00:05:30.000]  阿摩斯是南國人
[00:05:30.000 --> 00:05:32.600]  叫北國人來悔改
[00:05:32.600 --> 00:05:34.400]  談何容易?
[00:05:34.400 --> 00:05:36.600]  所以我相信也是這樣
[00:05:36.600 --> 00:05:42.200]  所以阿摩斯的講道非常有技巧
[00:05:42.200 --> 00:05:45.200]  在這裡阿摩斯書一章和二章
