
[00:00:00.000 --> 00:00:02.000]  臨近聖誕節的日子
[00:00:02.000 --> 00:00:05.000]  就接近聖誕節的日子
[00:00:05.000 --> 00:00:07.000]  大家都有很多的預備
[00:00:07.000 --> 00:00:09.000]  大家都有很多預備
[00:00:09.000 --> 00:00:12.000]  我家裏都預備了一些
[00:00:12.000 --> 00:00:14.000]  我家裏都預備了一些
[00:00:14.000 --> 00:00:15.000]  不過就不是我預備
[00:00:15.000 --> 00:00:17.000]  主要是師母預備的
[00:00:17.000 --> 00:00:19.000]  主要是師母預備的
[00:00:19.000 --> 00:00:23.000]  那就在底去裝飾一下家裏
[00:00:23.000 --> 00:00:25.000]  之後會裝飾一下家裏
[00:00:25.000 --> 00:00:27.000]  整理乾淨它
[00:00:27.000 --> 00:00:29.000]  把家裏收拾乾淨一些
[00:00:29.000 --> 00:00:30.000]  一方面迎接女兒
[00:00:30.000 --> 00:00:31.000]  這個星期回來
[00:00:31.000 --> 00:00:33.000]  一方面要迎接女兒
[00:00:33.000 --> 00:00:34.000]  這個星期回來
[00:00:34.000 --> 00:00:35.000]  我很興奮的
[00:00:35.000 --> 00:00:36.000]  我很想見到她
[00:00:36.000 --> 00:00:37.000]  我很想見到她
[00:00:37.000 --> 00:00:38.000]  我經常在想
[00:00:38.000 --> 00:00:40.000]  接載那個人我會怎樣呢
[00:00:40.000 --> 00:00:41.000]  但我都想
[00:00:41.000 --> 00:00:43.000]  我都腦袋想
[00:00:43.000 --> 00:00:45.000]  接她來送什麼聖誕節
[00:00:45.000 --> 00:00:47.000]  一樣重要的事情
[00:00:47.000 --> 00:00:49.000]  你之前都會有很多的預備
[00:00:49.000 --> 00:00:51.000]  每天都有很多的預備
[00:00:51.000 --> 00:00:54.000]  還記得我小時候
[00:00:54.000 --> 00:00:56.000]  我祖母每一年的生日
[00:00:56.000 --> 00:00:58.000]  都會擺壽宴
[00:00:58.000 --> 00:00:59.000]  我做孫子的
[00:00:59.000 --> 00:01:00.000]  其實當時我還記得
[00:01:00.000 --> 00:01:02.000]  我還十多歲
[00:01:02.000 --> 00:01:03.000]  我做生兒的時候
[00:01:03.000 --> 00:01:04.000]  十來歲的時候
[00:01:04.000 --> 00:01:06.000]  要幫家裡的手去預備
[00:01:06.000 --> 00:01:08.000]  請賓客
[00:01:08.000 --> 00:01:10.000]  要幫助家裏負責
[00:01:10.000 --> 00:01:13.000]  邀請賓客
[00:01:13.000 --> 00:01:16.000]  以前擺壽宴
[00:01:16.000 --> 00:01:19.000]  我不知道李先生有沒有記得
[00:01:19.000 --> 00:01:22.000]  要邀請賓客
[00:01:22.000 --> 00:01:28.000]  擺壽宴通常要派很多紅雞蛋
[00:01:28.000 --> 00:01:30.000]  然後又要請賓客來
[00:01:30.000 --> 00:01:32.000]  來到你又要招呼他們
[00:01:32.000 --> 00:01:33.000]  要請賓客來
[00:01:33.000 --> 00:01:35.000]  不是要招呼他們
[00:01:35.000 --> 00:01:36.000]  我十多歲就已經出來
[00:01:36.000 --> 00:01:37.000]  去招呼那些賓客了
[00:01:37.000 --> 00:01:40.000]  我十來歲就已經去招呼那些賓客了
[00:01:40.000 --> 00:01:42.000]  現在這一代真的很不同
[00:01:42.000 --> 00:01:45.000]  現在這一代有很多東西要預備
[00:01:45.000 --> 00:01:47.000]  又要招呼那些賓客
[00:01:47.000 --> 00:01:52.000]  現在這一代真的很不同
[00:01:52.000 --> 00:01:53.000]  有很多事情要預備
[00:01:53.000 --> 00:01:55.000]  過年的時候
[00:01:55.000 --> 00:01:56.000]  到過年的時候
[00:01:56.000 --> 00:01:58.000]  因為過年家裡要做生意
[00:01:58.000 --> 00:02:00.000]  家裡做生意
[00:02:00.000 --> 00:02:01.000]  又要有很多的預備
[00:02:01.000 --> 00:02:03.000]  去賣貨
[00:02:03.000 --> 00:02:05.000]  收貨款等等的事情
[00:02:05.000 --> 00:02:08.000]  要去買貨送貨收貨款
[00:02:08.000 --> 00:02:10.000]  首先收了事之後
[00:02:10.000 --> 00:02:11.000]  要預備過年
[00:02:11.000 --> 00:02:12.000]  就要裝飾個舖頭
[00:02:12.000 --> 00:02:17.000]  就要收事之後裝飾個店舖
[00:02:17.000 --> 00:02:18.000]  預備人來去拜年
[00:02:18.000 --> 00:02:19.000]  預備別人來拜年
[00:02:19.000 --> 00:02:20.000]  預備那些行家來到
[00:02:20.000 --> 00:02:23.000]  會見到彼此祝賀
[00:02:23.000 --> 00:02:25.000]  遇到行家過來彼此祝賀
[00:02:25.000 --> 00:02:27.000]  很多的事情在這件事
[00:02:27.000 --> 00:02:28.000]  未正式發生的時候
[00:02:28.000 --> 00:02:30.000]  之前有很多的預備功夫
[00:02:30.000 --> 00:02:32.000]  在這件事情沒有發生之前
[00:02:32.000 --> 00:02:34.000]  有很多事情要預備
[00:02:34.000 --> 00:02:36.000]  其實我們主耶穌基督
[00:02:36.000 --> 00:02:38.000]  誕生一件這麼重要的事
[00:02:38.000 --> 00:02:39.000]  我們主耶穌基督
[00:02:39.000 --> 00:02:41.000]  誕生這麼一件重要的事情
[00:02:41.000 --> 00:02:43.000]  原來也有很多的野神
[00:02:43.000 --> 00:02:45.000]  是要預備去做的
[00:02:45.000 --> 00:02:47.000]  原來也有這麼多事情
[00:02:47.000 --> 00:02:49.000]  神也要預備去做
[00:02:49.000 --> 00:02:50.000]  今天我們會和大家
[00:02:50.000 --> 00:02:52.000]  一起去看一件
[00:02:52.000 --> 00:02:53.000]  在耶穌基督誕生前
[00:02:53.000 --> 00:02:55.000]  神預備做的事情
[00:02:55.000 --> 00:02:57.000]  就讓我們今天看
[00:02:57.000 --> 00:02:59.000]  在主耶穌基督誕生之前
[00:02:59.000 --> 00:03:01.000]  神預備做的事情
[00:03:01.000 --> 00:03:02.000]  透過我們認識
[00:03:02.000 --> 00:03:05.000]  神預備工作的這些事情的過程
