
[00:00:00.000 --> 00:00:07.500]  上個月初的時候,在俄亥俄州的伊斯巴勒斯丁,發生了什麼事?
[00:00:07.500 --> 00:00:16.600]  火車出軌,火車裡載了大量的危險化學物品。
[00:00:16.600 --> 00:00:23.900]  出軌後,火車爆炸,燃燒了其中一幅圖畫。
[00:00:24.400 --> 00:00:30.000]  因為有毒氣體,所以燃燒了,到處擴散。
[00:00:30.000 --> 00:00:35.200]  所以很多在那裡居民,就覺得很不舒服。
[00:00:35.200 --> 00:00:37.200]  魚龍柱,是不是叫魚龍柱呢?
[00:00:37.200 --> 00:00:38.200]  我不知道。
[00:00:38.200 --> 00:00:42.300]  我們再研究一下,在方圓五里之內,
[00:00:42.300 --> 00:00:46.200]  那些水塘、河邊諸如此類,
[00:00:46.200 --> 00:00:51.000]  他們估計最少有四萬三千七百多條大大小小的魚,
[00:00:51.000 --> 00:00:53.000]  就因為這樣而死了。
[00:00:53.800 --> 00:01:02.300]  因為這個原因,現在很多居民已經向鐵路公司提出訴訟。
[00:01:02.300 --> 00:01:07.900]  為什麼呢?因為這次的嚴重程度是有限的,
[00:01:07.900 --> 00:01:13.300]  起碼沒有死人,又沒有房屋被燒毀。
[00:01:13.300 --> 00:01:17.800]  問題是,因為這些是有毒氣體,很多人都走不及。
[00:01:17.800 --> 00:01:25.300]  吸了之後,對居民所造成的身體和心靈上的長遠影響,
[00:01:25.300 --> 00:01:28.800]  這個到現在為止是難以估計的。
[00:01:28.800 --> 00:01:30.800]  CDC,大家知道CDC,
[00:01:30.800 --> 00:01:34.800]  疾病控制預防中心,現在正在做評估,
[00:01:34.800 --> 00:01:37.800]  到底現在當地的空氣污染是怎樣,
[00:01:37.800 --> 00:01:41.800]  水域污染是怎樣的情況。
[00:01:41.800 --> 00:01:46.800]  所以,問題是,很多人都很緊張。
[00:01:46.800 --> 00:01:49.800]  我最近去檢查的時候,三個星期前,
[00:01:49.800 --> 00:01:51.800]  人們的調查報告說,
[00:01:51.800 --> 00:01:58.800]  其實這個播出出軌是100%可以避免的。
[00:01:58.800 --> 00:02:03.800]  雖然不是陽痿瘡,但其實是可以避免的。
[00:02:03.800 --> 00:02:06.800]  我剛才說,今天的講題為什麼這麼難說呢?
[00:02:06.800 --> 00:02:09.800]  因為今天是講婚姻出軌。
[00:02:09.800 --> 00:02:14.800]  不知道大家對婚姻出軌這個問題來說,
[00:02:14.800 --> 00:02:17.800]  大家又怎麼看呢?
[00:02:17.800 --> 00:02:20.800]  在婚姻裡面,如果有婚外情,
[00:02:20.800 --> 00:02:23.800]  或者有出軌的行為,
[00:02:23.800 --> 00:02:29.800]  到底它會帶給夫妻、家庭有什麼樣的影響?
[00:02:29.800 --> 00:02:35.800]  對子女會造成什麼樣的傷害呢?
[00:02:35.800 --> 00:02:40.800]  因為要講的題目是沒有辦法的,要做些研究。
[00:02:40.800 --> 00:02:45.800]  同樣是CDC,CDC就不是美國,是全世界。
[00:02:45.800 --> 00:02:49.800]  即是疾病防控預防中心,什麼的。
[00:02:49.800 --> 00:02:50.800]  很難說。
[00:02:50.800 --> 00:02:56.800]  Anyway,它在2017年的時候,就做了一個報告。
[00:02:56.800 --> 00:02:58.800]  發表了一個報告。
[00:02:58.800 --> 00:03:05.800]  全世界那些婦女被殺害的案件當中,
[00:03:05.800 --> 00:03:13.800]  有38%是由他們的配偶,或者他們的伴侶造成的。
[00:03:13.800 --> 00:03:15.800]  很可怕。
[00:03:15.800 --> 00:03:17.800]  那美國怎麼樣呢?
[00:03:17.800 --> 00:03:20.800]  美國更加嚴重,美國真的搞不定。
[00:03:20.800 --> 00:03:25.800]  超過40%婦女被殺的案件是由他們的伴侶,
[00:03:25.800 --> 00:03:31.800]  或者他們的spouse,他們的配偶造成的。
[00:03:31.800 --> 00:03:33.800]  超過40%。
[00:03:33.800 --> 00:03:46.800]  而最少有7%的男士被殺,都是由他們的妻子,造成這樣的案件。
[00:03:46.800 --> 00:03:53.800]  我不知道大家,當我看到這個數字的時候,都很可怕。
[00:03:53.800 --> 00:03:58.800]  我做牧師這麼久,做人也做了很多年,好像大家一樣。
[00:03:58.800 --> 00:04:04.800]  不是沒有聽過,老公殺死老婆,然後小三雙宿雙棲。
[00:04:04.800 --> 00:04:06.800]  有沒有聽過這些新聞?
[00:04:06.800 --> 00:04:08.800]  時不時都聽過。
[00:04:08.800 --> 00:04:14.800]  我也聽過一些女士們,都很勇敢的大膽。
[00:04:14.800 --> 00:04:16.800]  老公受不了,有小三。
[00:04:16.800 --> 00:04:19.800]  於是就殺了老公,不得已。
[00:04:19.800 --> 00:04:21.800]  還要連自己的兒子也殺了。
[00:04:21.800 --> 00:04:24.800]  有沒有聽過這樣的故事?
[00:04:24.800 --> 00:04:26.800]  都有這樣的情況。
[00:04:26.800 --> 00:04:31.800]  當我聽到這樣的情況的時候,我怎麼能放手呢?
[00:04:31.800 --> 00:04:38.800]  我真的年紀大了,越來越受不了,聽到這麼淒涼,這麼恐怖的一些案件。
[00:04:38.800 --> 00:04:40.800]  就覺得我真的很受不了。
[00:04:40.800 --> 00:04:48.800]  我從來沒有想過這個婚外情,婚姻出軌,會導致有這麼嚴重的後果。
[00:04:48.800 --> 00:04:50.800]  可能我們的出身,背景。
[00:04:50.800 --> 00:04:53.800]  我最多想,兩夫妻不適合?
[00:04:53.800 --> 00:04:55.800]  最多就是離婚。
[00:04:55.800 --> 00:04:57.800]  離婚對小孩有什麼影響?
[00:04:57.800 --> 00:04:59.800]  或者小孩會覺得很憤怒。
[00:04:59.800 --> 00:05:01.800]  父母分開。
[00:05:01.800 --> 00:05:05.800]  或者因為這樣的緣故,有情緒問題。
[00:05:05.800 --> 00:05:08.800]  我能夠想到。
[00:05:08.800 --> 00:05:11.800]  通常只有這些。
[00:05:11.800 --> 00:05:19.800]  沒有想過,原來婚姻出軌,有婚外情,會有這麼嚴重的後果。
[00:05:19.800 --> 00:05:27.800]  而根據「American Association for Marriage and Family Therapy」,
[00:05:27.800 --> 00:05:29.800]  他們的研究發現是什麼呢?
[00:05:29.800 --> 00:05:38.800]  原來,有25%的男士,是會有婚外情的。
[00:05:38.800 --> 00:05:40.800]  四分之一。
[00:05:40.800 --> 00:05:43.800]  不過,原來女人也不差。
[00:05:43.800 --> 00:05:45.800]  女人也有15%。
[00:05:45.800 --> 00:05:51.800]  OK,以婚約女士來說,有15%是會有婚外情的。
[00:05:51.800 --> 00:05:54.800]  男士25%,四分之一。
[00:05:54.800 --> 00:05:58.800]  女士沒結婚的,有15%是會有婚外情的。
[00:05:58.800 --> 00:06:04.800]  大家會留意到,婚姻出軌的問題,婚外情的問題。
[00:06:04.800 --> 00:06:06.800]  緊不緊要?
[00:06:06.800 --> 00:06:08.800]  嚴不嚴重?
[00:06:08.800 --> 00:06:10.800]  很緊要,很嚴重。
[00:06:10.800 --> 00:06:15.800]  不可能是我們一般人想到的情況。
[00:06:15.800 --> 00:06:19.800]  所以難怪,《聖經》有十誡是什麼?
[00:06:19.800 --> 00:06:21.800]  其中一誡是什麼?
[00:06:21.800 --> 00:06:23.800]  「不可姦人」。
[00:06:23.800 --> 00:06:25.800]  整個十誡,前四誡是對神說的。
[00:06:25.800 --> 00:06:29.800]  後面的六誡是對人說的。
[00:06:29.800 --> 00:06:31.800]  第五誡是對神說的。
[00:06:31.800 --> 00:06:32.800]  「不可殺人」。
[00:06:32.800 --> 00:06:33.800]  第六誡呢?
