
[00:00:00.000 --> 00:00:02.600]  當我自己看希伯學書的時候
[00:00:02.600 --> 00:00:06.000]  當我越研究越思考希伯學書的時候
[00:00:06.000 --> 00:00:09.200]  我發覺這個作者的確是很精彩
[00:00:09.200 --> 00:00:11.200]  除了他對耶穌基督很認識
[00:00:11.200 --> 00:00:13.100]  除了他對舊約很認識
[00:00:13.100 --> 00:00:15.000]  他甚至作出一個比較
[00:00:15.000 --> 00:00:18.800]  他說耶穌基督是超越了一切舊約的東西
[00:00:18.800 --> 00:00:20.600]  無論是耶穌基督的啟示
[00:00:20.600 --> 00:00:23.900]  是超越舊約眾仙之的啟示
[00:00:23.900 --> 00:00:25.600]  在第一章第四節他更加說
[00:00:25.600 --> 00:00:29.600]  他所承受的銘記比天使的銘更加的尊貴
[00:00:29.600 --> 00:00:31.800]  遠超過天使
[00:00:31.800 --> 00:00:33.800]  他比天使更加超越
[00:00:33.800 --> 00:00:36.200]  甚至去到上個星期我的講道那邊
[00:00:36.200 --> 00:00:41.800]  我提到耶穌基督比舊約亞倫等次的大祭司
[00:00:41.800 --> 00:00:43.600]  更加的美麗
[00:00:43.600 --> 00:00:45.400]  當時我提到有三點
[00:00:45.400 --> 00:00:48.800]  他不單止比舊約的祭司更加的超越
[00:00:48.800 --> 00:00:51.400]  甚至比墨基世德也都有超越
[00:00:51.400 --> 00:00:53.100]  包括這個作者就說
[00:00:53.100 --> 00:00:57.200]  他說耶穌基督會給我們一個更美的指紋
[00:00:57.200 --> 00:01:00.000]  他給我們一個更美的盼望
[00:01:00.000 --> 00:01:04.600]  而第二 耶穌基督是更美滋藥的中寶
[00:01:04.600 --> 00:01:05.800]  而去到最後
[00:01:05.800 --> 00:01:10.600]  我就說耶穌基督到如今仍然都是幫助我們
[00:01:10.600 --> 00:01:13.600]  這個是我上篇道的一個總結
[00:01:13.600 --> 00:01:15.400]  去到那三點
[00:01:15.400 --> 00:01:17.400]  當然我上次也有提
[00:01:17.400 --> 00:01:19.000]  在我自己讀神學的時候
[00:01:19.000 --> 00:01:20.800]  我們去到識經的時候
[00:01:20.800 --> 00:01:22.600]  我們很強調有些原則
[00:01:22.600 --> 00:01:23.600]  這些原則就是說
[00:01:23.600 --> 00:01:27.000]  第一 我們有所謂以經解經的原則
[00:01:27.000 --> 00:01:28.800]  這個上一次我已經說了
[00:01:28.800 --> 00:01:31.000]  就是說 將一些我們讀聖經的時候
[00:01:31.000 --> 00:01:32.400]  我們不是很清晰
[00:01:32.400 --> 00:01:34.400]  究竟這段聖經的意思在哪裡
[00:01:34.400 --> 00:01:37.000]  會不會是另一部分的聖經
