
[00:00:00.000 --> 00:00:02.000]  兄弟妹平安
[00:00:02.000 --> 00:00:04.000]  我想問大家一個問題
[00:00:04.000 --> 00:00:06.000]  我想問你啊
[00:00:06.000 --> 00:00:08.000]  你的朋友對你的認識
[00:00:08.000 --> 00:00:10.000]  他會說
[00:00:10.000 --> 00:00:12.000]  你是一個
[00:00:12.000 --> 00:00:14.000]  從容淡定的人嗎
[00:00:14.000 --> 00:00:16.000]  如果你問你的朋友的話
[00:00:16.000 --> 00:00:18.000]  問這個問題
[00:00:18.000 --> 00:00:20.000]  你說我是不是一個從容淡定的人
[00:00:20.000 --> 00:00:22.000]  你的朋友會
[00:00:22.000 --> 00:00:24.000]  給你怎麼樣的一個答案呢
[00:00:24.000 --> 00:00:26.000]  他會說
[00:00:26.000 --> 00:00:28.000]  絕對是
[00:00:28.000 --> 00:00:30.000]  他會說你啊
[00:00:30.000 --> 00:00:32.000]  不可能吧
[00:00:32.000 --> 00:00:34.000]  還是說
[00:00:34.000 --> 00:00:36.000]  你是在開玩笑嗎
[00:00:36.000 --> 00:00:38.000]  我不知道
[00:00:38.000 --> 00:00:40.000]  那麼今天我們要講的就是
[00:00:40.000 --> 00:00:42.000]  從容淡定的人生智慧
[00:00:42.000 --> 00:00:44.000]  大家覺得這智慧有什麼好處呢
[00:00:44.000 --> 00:00:46.000]  應該有好處對不對
[00:00:46.000 --> 00:00:50.000]  我們當然知道它有好處
[00:00:50.000 --> 00:00:52.000]  因為很多時候我們知道有些決定
[00:00:52.000 --> 00:00:54.000]  如果是在
[00:00:54.000 --> 00:00:56.000]  很緊張很害怕
[00:00:56.000 --> 00:00:58.000]  很不知所措
[00:00:58.000 --> 00:01:00.000]  三心兩意的情況下來
[00:01:00.000 --> 00:01:02.000]  做的
[00:01:02.000 --> 00:01:04.000]  我們都很不安
[00:01:04.000 --> 00:01:06.000]  我們會懷疑我們是不是做錯了決定
[00:01:06.000 --> 00:01:08.000]  我們是不是
[00:01:08.000 --> 00:01:10.000]  真的是會後悔
[00:01:10.000 --> 00:01:12.000]  但是如果我們能夠
[00:01:12.000 --> 00:01:14.000]  經常有一種從容不迫的人生智慧
[00:01:14.000 --> 00:01:18.000]  我們未必每一次都是做正確的決定
[00:01:18.000 --> 00:01:20.000]  但是我們至少知道我們
[00:01:20.000 --> 00:01:22.000]  比較能夠冷靜一點
[00:01:22.000 --> 00:01:24.000]  比較能夠考慮到不同的因素
[00:01:24.000 --> 00:01:26.000]  它的利
[00:01:26.000 --> 00:01:28.000]  它的弊
[00:01:28.000 --> 00:01:30.000]  我們至少
[00:01:30.000 --> 00:01:32.000]  大致上了解一些情況
[00:01:32.000 --> 00:01:34.000]  所以從容不迫的人生智慧
[00:01:34.000 --> 00:01:36.000]  確實是很重要
[00:01:36.000 --> 00:01:38.000]  今天呢我要跟大家看一段
[00:01:38.000 --> 00:01:40.000]  非常
[00:01:40.000 --> 00:01:42.000]  非常熟悉的經文
