
[00:00:00.000 --> 00:00:01.000]  哈勒瑞亞
[00:00:01.000 --> 00:00:06.060]  剛才有姐妹問我說
[00:00:06.060 --> 00:00:09.160]  不是,你今天怎麼又講上次講的信息啊
[00:00:09.160 --> 00:00:12.300]  重複了,是不是重要的事情要講三遍
[00:00:12.300 --> 00:00:16.200]  哈勒,跟你旁邊說重要的事要講三遍
[00:00:16.200 --> 00:00:25.960]  今天這段記問裡面
[00:00:27.680 --> 00:00:30.560]  其實上次講這段信息
[00:00:30.560 --> 00:00:32.840]  後面沒有講完
[00:00:32.840 --> 00:00:35.340]  這是為什麼我今天要再講
[00:00:35.340 --> 00:00:38.360]  你說,啊,沒講完,好像講完了吧
[00:00:38.360 --> 00:00:40.940]  好,你聽聽看哪個地方沒講完
[00:00:40.940 --> 00:00:48.660]  首先,我們再回到一個最基本的
[00:00:48.660 --> 00:00:54.580]  保羅在這個地方講的說,靠聖靈入門
[00:00:55.960 --> 00:00:58.920]  保羅首先一連串的問了一些問題
[00:00:58.920 --> 00:01:02.700]  首先第一個問題也是今天我們每一個人應該要清楚的
[00:01:02.700 --> 00:01:04.980]  他說你們
[00:01:04.980 --> 00:01:08.020]  信的時候受了聖靈沒有
[00:01:08.020 --> 00:01:13.020]  你們是靠聖靈入門
[00:01:13.020 --> 00:01:15.580]  還是靠律法成立
[00:01:15.580 --> 00:01:19.980]  所以保羅一直在圍繞這一個問題
[00:01:19.980 --> 00:01:24.260]  他現在這一段生機裡面要從聖靈的角度來問了
[00:01:24.580 --> 00:01:27.200]  那這讓我們知道一件事情
[00:01:27.200 --> 00:01:30.460]  親愛的丘子妹,我們今天信耶穌
[00:01:30.460 --> 00:01:32.500]  是聖靈的公主
[00:01:32.500 --> 00:01:33.760]  有沒有
[00:01:33.760 --> 00:01:37.860]  若不是聖靈感動
[00:01:37.860 --> 00:01:41.060]  沒有人能夠口稱耶穌基督是主
[00:01:41.060 --> 00:01:45.080]  丘子妹你不要以為你靠你自己的口才
[00:01:45.080 --> 00:01:47.580]  憑著你的知識,你多會講
[00:01:47.580 --> 00:01:51.400]  或者是你多麼樣子的殷勤,你花了多少功夫在他身上
[00:01:51.400 --> 00:01:54.200]  親愛的丘子妹,這些都很需要,但是
