
[00:00:00.000 --> 00:00:04.280]  每一國的文字都是奧妙、精深
[00:00:04.280 --> 00:00:07.580]  中文固然不是例外
[00:00:07.580 --> 00:00:11.240]  有一位朋友他很多時都是癡飲癡食
[00:00:11.240 --> 00:00:15.440]  明顯的他是不屬於受歡迎那一類
[00:00:15.440 --> 00:00:18.480]  有一天他去了一個朋友家
[00:00:18.480 --> 00:00:21.160]  坐了很久都不想走
[00:00:21.160 --> 00:00:23.200]  忽然之間下起雨來
[00:00:23.200 --> 00:00:26.960]  主人家於是就起床準備送客
[00:00:26.960 --> 00:00:31.280]  有一位朋友他絲絲然在桌上拿起一枝筆
[00:00:31.280 --> 00:00:36.200]  在紙上寫了一行字
[00:00:36.200 --> 00:00:40.640]  雖然他沒有用到標點符號
[00:00:40.640 --> 00:00:43.840]  但是他因為一邊寫寫幾個字
[00:00:43.840 --> 00:00:46.240]  望下的主人再寫幾個字
[00:00:46.240 --> 00:00:47.480]  又望下的主人
[00:00:47.480 --> 00:00:50.080]  他相信這個主人很明白
[00:00:50.080 --> 00:00:53.920]  他想寫的是什麼意思
[00:00:53.920 --> 00:01:00.400]  於是他還寫完了他還微笑等著主人的回應
[00:01:00.400 --> 00:01:06.760]  大家知不知道他寫的是什麼意思?
[00:01:06.760 --> 00:01:16.080]  他的意思是「下雨天,留客天,留我不留」
[00:01:16.080 --> 00:01:21.040]  主人也是一個十分之有文采的學者
[00:01:21.040 --> 00:01:23.920]  他好整以下拿起一枝筆
[00:01:23.920 --> 00:01:29.000]  又在紙上面那個沒有標點符號的那句說話
[00:01:29.000 --> 00:01:33.680]  只是輕輕的加了兩個標點之後
[00:01:33.680 --> 00:01:41.120]  就成了「下雨天,留客天,留我不留」
[00:01:41.120 --> 00:01:45.240]  由此可見標點符號在我們的人生裏面
[00:01:45.240 --> 00:01:49.880]  都佔著一個很重要的地位
[00:01:49.880 --> 00:01:52.400]  各位朋友、各位電影姐妹
[00:01:52.400 --> 00:01:57.800]  我不知道你已經過過多少個復活節
[00:01:57.800 --> 00:01:59.880]  正如我們過年一樣
[00:01:59.880 --> 00:02:03.280]  有所謂「年年難過,年年過」
[00:02:03.280 --> 00:02:08.280]  今年的復活節又有什麼不同呢?
[00:02:08.280 --> 00:02:14.520]  如果你要用一個標點符號去形容今年的復活節
[00:02:14.520 --> 00:02:16.640]  你會用哪一個呢?
