
[00:00:00.000 --> 00:00:05.000]  早晨,各位大兄姊妹們,平安!
[00:00:05.000 --> 00:00:09.000]  今天剛讀的那段經文就講到
[00:00:09.000 --> 00:00:12.000]  我們怎麼可以為城市求平安?
[00:00:12.000 --> 00:00:17.000]  平安對你們有什麼意義呢?
[00:00:17.000 --> 00:00:21.000]  因為我們中國人經常都會說,出入平安
[00:00:21.000 --> 00:00:24.000]  即是沒有村沒有難,沒有病沒有痛
[00:00:24.000 --> 00:00:29.000]  雖然世界的人,每個人對平安的定義都不同
[00:00:29.000 --> 00:00:33.000]  但是最近聯合國有一個報告
[00:00:33.000 --> 00:00:36.000]  就叫做《全球的幸福報告》
[00:00:36.000 --> 00:00:40.000]  其實這個報告已經進行了十幾年了
[00:00:40.000 --> 00:00:44.000]  第一年是由2012年開始的
[00:00:44.000 --> 00:00:50.000]  大家知不知道這個全世界被認為最幸福的國家是哪一個?
[00:00:50.000 --> 00:00:52.000]  有沒有想過?
[00:00:52.000 --> 00:00:54.000]  是不是香港?
[00:00:54.000 --> 00:00:57.000]  很清楚,不是
[00:00:57.000 --> 00:01:00.000]  有沒有想過是哪些國家?
[00:01:00.000 --> 00:01:02.000]  我們很多都知道,每年都是北歐
[00:01:02.000 --> 00:01:05.000]  每年他們都是名列前茅的
[00:01:05.000 --> 00:01:09.000]  芬蘭應該很多年是第一的了
[00:01:09.000 --> 00:01:13.000]  譬如好像丹麥、冰島、瑞典那些
[00:01:13.000 --> 00:01:17.000]  但是我們香港人很喜歡移民的國家
[00:01:17.000 --> 00:01:20.000]  其實都是頗前的
[00:01:20.000 --> 00:01:25.000]  澳洲第十位,加拿大第十五位
[00:01:25.000 --> 00:01:27.000]  英國也是首20位的
[00:01:27.000 --> 00:01:33.000]  因為這個報告是全世界143個國家
[00:01:33.000 --> 00:01:37.000]  所以首20位也是不錯的
[00:01:37.000 --> 00:01:41.000]  反而美國是20之外,只是24
[00:01:41.000 --> 00:01:44.000]  大家知不知道香港排第幾?
[00:01:44.000 --> 00:01:46.000]  有沒有想過?
[00:01:46.000 --> 00:01:52.000]  如果143個國家,70就是平均以上
[00:01:52.000 --> 00:01:55.000]  70就是平均以下
[00:01:55.000 --> 00:02:00.000]  有多少人覺得香港是平均以上的?
[00:02:00.000 --> 00:02:05.000]  都有,有多少人覺得是平均以下的?
[00:02:05.000 --> 00:02:08.000]  好像多人覺得是平均以下
[00:02:08.000 --> 00:02:10.000]  其實兩個都對的
[00:02:10.000 --> 00:02:11.000]  為什麼呢?
[00:02:11.000 --> 00:02:16.000]  因為剛剛開始這個調查報告2012年的時候
[00:02:16.000 --> 00:02:18.000]  其實香港是排60多的
[00:02:18.000 --> 00:02:20.000]  都是平均以上
[00:02:20.000 --> 00:02:22.000]  但是過去的十多年
[00:02:22.000 --> 00:02:25.000]  我們就是不斷下降
[00:02:25.000 --> 00:02:28.000]  所以我們最新在這個報告裡面
[00:02:28.000 --> 00:02:31.000]  我們香港人是排86
[00:02:31.000 --> 00:02:34.000]  這個還沒完
[00:02:34.000 --> 00:02:38.000]  因為今年他們將那個報告分離
[00:02:38.000 --> 00:02:43.000]  所以有年輕人、中年人和年長的
[00:02:43.000 --> 00:02:45.000]  大家知不知道香港的年輕人
[00:02:45.000 --> 00:02:49.000]  是比平均高還是低?
[00:02:49.000 --> 00:02:50.000]  以一次來說
[00:02:50.000 --> 00:02:52.000]  高過86還是低過86?
[00:02:52.000 --> 00:02:55.000]  高過86的舉手
[00:02:55.000 --> 00:02:57.000]  一個都沒有?
[00:02:57.000 --> 00:02:59.000]  低過86呢?
[00:02:59.000 --> 00:03:01.000]  我大部分都覺得是低過86
[00:03:01.000 --> 00:03:03.000]  其實你們都是很聰明的
[00:03:03.000 --> 00:03:08.000]  其實香港的年輕人是97
[00:03:08.000 --> 00:03:11.000]  這個是說30歲或者以下
[00:03:11.000 --> 00:03:13.000]  97是不是真的很低?
[00:03:13.000 --> 00:03:16.000]  其實是比伊朗、伊拉克
[00:03:16.000 --> 00:03:18.000]  甚至光果更低的
[00:03:18.000 --> 00:03:21.000]  為什麼今時今日我們的年輕人
[00:03:21.000 --> 00:03:23.000]  這麼沒有幸福感
[00:03:23.000 --> 00:03:26.000]  或者另一個角度就是沒有平安?
[00:03:26.000 --> 00:03:28.000]  因為大家都很了解
[00:03:28.000 --> 00:03:30.000]  我們過去的五年
[00:03:30.000 --> 00:03:32.000]  真的發生了很多事
[00:03:32.000 --> 00:03:35.000]  除了社會運動、疫情、移民潮
[00:03:35.000 --> 00:03:40.000]  以及經濟上地緣政治的張力增加之後
[00:03:40.000 --> 00:03:42.000]  以前我們的香港人
[00:03:42.000 --> 00:03:46.000]  就是我們東西加兩面茶飯都吃的
[00:03:46.000 --> 00:03:48.000]  Best of both worlds
[00:03:48.000 --> 00:03:51.000]  但是現在因為地緣政治張力的上升
[00:03:51.000 --> 00:03:56.000]  令我們好像有了在甲蜂裡面的感覺
[00:03:56.000 --> 00:03:58.000]  而大家都知道
[00:03:58.000 --> 00:04:01.000]  香港一直都是經濟掛帥的
[00:04:01.000 --> 00:04:04.000]  所以那個身份認同對我們來說很重要
[00:04:04.000 --> 00:04:09.000]  我們以前無論在交通、金融
[00:04:09.000 --> 00:04:13.000]  或者很多的範疇裡面
[00:04:13.000 --> 00:04:16.000]  我們在國際上都是首屈一指
[00:04:16.000 --> 00:04:18.000]  好像由1997年到現在
[00:04:18.000 --> 00:04:21.000]  唯一不變就是我們的恆生指數
[00:04:21.000 --> 00:04:23.000]  所以在香港覺得
[00:04:23.000 --> 00:04:25.000]  可能我們都沒有移民
[00:04:25.000 --> 00:04:28.000]  可能我們都沒有去別的地方的情況下
[00:04:28.000 --> 00:04:31.000]  世界好像完全不同了
[00:04:31.000 --> 00:04:33.000]  我們剛才讀的那段經文
[00:04:33.000 --> 00:04:35.000]  就是講到耶利米書
[00:04:35.000 --> 00:04:37.000]  如果大家熟悉聖經
[00:04:37.000 --> 00:04:38.000]  剛才我聽到
[00:04:38.000 --> 00:04:40.000]  你們有些是在查耶利米書
[00:04:40.000 --> 00:04:43.000]  所以應該對背景都很認識
[00:04:43.000 --> 00:04:48.000]  這個就是講猶大亡國的時候
[00:04:48.000 --> 00:04:51.000]  這個大概是公元前的六世紀
[00:04:51.000 --> 00:04:53.000]  這段時間裡面
[00:04:53.000 --> 00:04:57.000]  當時因為是被巴比倫滅國
[00:04:57.000 --> 00:05:00.000]  所以就將他的人一批一批的
[00:05:00.000 --> 00:05:04.000]  由耶路撒冷被擄到巴比倫
[00:05:04.000 --> 00:05:08.000]  第一批其實他們主要擄走一些精英
[00:05:08.000 --> 00:05:10.000]  貴族、皇室等等
[00:05:10.000 --> 00:05:12.000]  剛剛這封信寫的時候
[00:05:12.000 --> 00:05:14.000]  就是第二批的被擄
[00:05:14.000 --> 00:05:17.000]  就是一些工匠、一些藝術家
[00:05:17.000 --> 00:05:20.000]  或者今時今日我們所講的KOL
[00:05:20.000 --> 00:05:23.000]  對文化很有影響力的
[00:05:23.000 --> 00:05:26.000]  為什麼巴比倫要這樣做呢?
[00:05:26.000 --> 00:05:28.000]  其實巴比倫是非常聰明
[00:05:28.000 --> 00:05:29.000]  因為他發覺
[00:05:29.000 --> 00:05:31.000]  如果我派一個人來壓制你們
[00:05:31.000 --> 00:05:33.000]  你們始終都會造反和起義
[00:05:33.000 --> 00:05:37.000]  其實最好能夠去征服一個國家
[00:05:37.000 --> 00:05:40.000]  就是帶他們來到你的國家
[00:05:40.000 --> 00:05:42.000]  令到你們的文化
[00:05:42.000 --> 00:05:44.000]  他們加入你的系統
[00:05:44.000 --> 00:05:46.000]  到你們那裡讀書
[00:05:46.000 --> 00:05:49.000]  甚至到你們的政府裡面
[00:05:49.000 --> 00:05:51.000]  做這個官
[00:05:51.000 --> 00:05:52.000]  大家都記得
[00:05:52.000 --> 00:05:55.000]  但是你要學他們的語言文化
[00:05:55.000 --> 00:06:00.000]  甚至進了他們的架構裡面去做官
[00:06:00.000 --> 00:06:02.000]  所以當以色列人被擄
[00:06:02.000 --> 00:06:04.000]  心情當然不好
[00:06:04.000 --> 00:06:07.000]  就算我們香港沒有被動
[00:06:07.000 --> 00:06:10.000]  都發覺整個世界好像變了
[00:06:10.000 --> 00:06:12.000]  都好像沒有被動
[00:06:12.000 --> 00:06:15.000]  不過都有被移民的感覺
[00:06:15.000 --> 00:06:17.000]  但是我們面對被擄
[00:06:17.000 --> 00:06:20.000]  其實可以有三種態度
[00:06:20.000 --> 00:06:21.000]  第一
[00:06:21.000 --> 00:06:26.000]  在巴比倫把這些人擄到巴比倫的時候
[00:06:26.000 --> 00:06:28.000]  很希望他們留在這裡
[00:06:28.000 --> 00:06:30.000]  接受他們的同化
[00:06:30.000 --> 00:06:32.000]  過了幾十年之後
[00:06:32.000 --> 00:06:35.000]  他們可能忘記了自己的獨特性
[00:06:35.000 --> 00:06:37.000]  他們本身的文化
[00:06:37.000 --> 00:06:39.000]  或者他們信奉的神
[00:06:39.000 --> 00:06:41.000]  那麼香港都成功了
[00:06:41.000 --> 00:06:43.000]  我們被英國人同化
[00:06:43.000 --> 00:06:46.000]  甚至我們很擁抱他們的制度
[00:06:46.000 --> 00:06:48.000]  但是有另一個的態度
[00:06:48.000 --> 00:06:50.000]  就好像剛才有提到的
[00:06:50.000 --> 00:06:52.000]  那些假先知
[00:06:52.000 --> 00:06:54.000]  因為如果大家看第28章
[00:06:54.000 --> 00:06:57.000]  有一個假先知叫哈拿尼亞
[00:06:57.000 --> 00:06:59.000]  他就跟這些以色列人
[00:06:59.000 --> 00:07:03.000]  大家知不知道假先知有什麼特色
[00:07:03.000 --> 00:07:04.000]  特徵嗎
[00:07:04.000 --> 00:07:11.000]  他們說一些人喜歡聽的東西
[00:07:11.000 --> 00:07:13.000]  但是未必是真的東西
[00:07:13.000 --> 00:07:16.000]  不是神所跟他們說的東西
[00:07:16.000 --> 00:07:18.000]  還有最主要的
[00:07:18.000 --> 00:07:21.000]  假先知的預言是假的
[00:07:21.000 --> 00:07:24.000]  所以他們很多時候都是被滅亡的
[00:07:24.000 --> 00:07:26.000]  收場都是不好的
[00:07:26.000 --> 00:07:28.000]  但是他在那個時候
[00:07:28.000 --> 00:07:30.000]  跟以色列人所說的就是
[00:07:30.000 --> 00:07:34.000]  我很相信耶和華兩年之內
[00:07:34.000 --> 00:07:36.000]  會把我們帶回耶路撒冷
[00:07:36.000 --> 00:07:39.000]  你們如果有行李都不用unpack
[00:07:39.000 --> 00:07:42.000]  我們不需要跟那些巴比倫去交往
[00:07:42.000 --> 00:07:44.000]  我們自求多福
[00:07:44.000 --> 00:07:45.000]  我們自己的民族
[00:07:45.000 --> 00:07:48.000]  我們自己的家庭就行了
[00:07:48.000 --> 00:07:52.000]  但是當然你被擄當然很想聽這些說話
[00:07:52.000 --> 00:07:55.000]  兩年之內可以回到耶路撒冷
[00:07:55.000 --> 00:07:58.000]  但是耶和華偷哥耶利米
[00:07:58.000 --> 00:08:02.000]  跟以色列人所說的信息非常之不同
[00:08:02.000 --> 00:08:05.000]  他說是 你們要留在這裡
[00:08:05.000 --> 00:08:07.000]  你剛才讀的經文都有說
[00:08:07.000 --> 00:08:09.000]  起碼要七十年
[00:08:09.000 --> 00:08:12.000]  但是我帶你們來到這裡
[00:08:12.000 --> 00:08:15.000]  有我的意思
[00:08:15.000 --> 00:08:17.000]  有你們的使命
[00:08:17.000 --> 00:08:19.000]  就好像經文所說的
[00:08:19.000 --> 00:08:21.000]  很清晰的
[00:08:21.000 --> 00:08:26.000]  不是表面上是巴比倫擄他們去巴比倫
[00:08:26.000 --> 00:08:29.000]  但實際上說得很清楚
[00:08:29.000 --> 00:08:32.000]  就是我使他們從耶路撒冷
[00:08:32.000 --> 00:08:35.000]  被擄到巴比倫的人
[00:08:35.000 --> 00:08:37.000]  可能我們很多時候都覺得
[00:08:37.000 --> 00:08:39.000]  我決不決定移民
[00:08:39.000 --> 00:08:40.000]  我去哪裡
[00:08:40.000 --> 00:08:42.000]  其實當然是我自己決定
[00:08:42.000 --> 00:08:44.000]  可能一些表面的經濟因素
[00:08:44.000 --> 00:08:45.000]  政治因素
[00:08:45.000 --> 00:08:46.000]  個人因素
[00:08:46.000 --> 00:08:48.000]  文化因素
[00:08:48.000 --> 00:08:52.000]  但我們要知道認定上帝的主權
[00:08:52.000 --> 00:08:54.000]  我們其實無論去到哪裡
[00:08:54.000 --> 00:08:59.000]  其實都不是完全由我們自己決定的
[00:08:59.000 --> 00:09:03.000]  所以這幫人他們來到巴比倫
[00:09:03.000 --> 00:09:05.000]  他們有一個使命
[00:09:05.000 --> 00:09:09.000]  不是在這裡九年殘喘躺平地
[00:09:09.000 --> 00:09:12.000]  慢慢過了這七十年
[00:09:12.000 --> 00:09:13.000]  又說很清楚
[00:09:13.000 --> 00:09:15.000]  你們要蓋造房屋
[00:09:15.000 --> 00:09:17.000]  住在其中
[00:09:17.000 --> 00:09:18.000]  如果你打算離開的話
[00:09:18.000 --> 00:09:20.000]  你怎會買樓呢
[00:09:20.000 --> 00:09:22.000]  你怎會蓋造房屋呢
[00:09:22.000 --> 00:09:24.000]  還要栽種田園
[00:09:24.000 --> 00:09:26.000]  你知道你種了東西
[00:09:26.000 --> 00:09:29.000]  你就不能馬上拿著行李離開
[00:09:29.000 --> 00:09:33.000]  還要娶妻生兒女
[00:09:33.000 --> 00:09:34.000]  今時今日
[00:09:34.000 --> 00:09:36.000]  這些說話對香港人來說
[00:09:36.000 --> 00:09:38.000]  真的太過天方夜譚了
[00:09:38.000 --> 00:09:40.000]  誰想生弟弟的
[00:09:40.000 --> 00:09:43.000]  結婚也很困難
[00:09:43.000 --> 00:09:44.000]  還要買樓
[00:09:44.000 --> 00:09:47.000]  還要努力地去找工作
[00:09:47.000 --> 00:09:50.000]  因為我們覺得前景好像很不明朗
[00:09:50.000 --> 00:09:53.000]  可能我也會離開
[00:09:53.000 --> 00:09:56.000]  甚至很多年輕人
[00:09:56.000 --> 00:09:57.000]  做也是這樣
[00:09:57.000 --> 00:09:58.000]  不做也是這樣
[00:09:58.000 --> 00:09:59.000]  躺平
[00:09:59.000 --> 00:10:01.000]  去旅行
[00:10:01.000 --> 00:10:03.000]  或者現在流行地說一句
[00:10:03.000 --> 00:10:05.000]  "Quiet Quitting"
[00:10:05.000 --> 00:10:07.000]  做到緊緊不被解僱
[00:10:07.000 --> 00:10:10.000]  但不會很投入
[00:10:10.000 --> 00:10:13.000]  但目的其實大家都知道
[00:10:13.000 --> 00:10:15.000]  你買不買樓
[00:10:15.000 --> 00:10:16.000]  生不生子
[00:10:16.000 --> 00:10:17.000]  努不努力工作
[00:10:17.000 --> 00:10:19.000]  其實是對你
[00:10:19.000 --> 00:10:20.000]  怎樣看待你的人生
[00:10:20.000 --> 00:10:22.000]  有很大的關係
[00:10:22.000 --> 00:10:23.000]  你有沒有盼望
[00:10:23.000 --> 00:10:24.000]  你覺得
[00:10:24.000 --> 00:10:27.000]  這一生人應該怎樣去過
[00:10:27.000 --> 00:10:29.000]  要我跟他們說
[00:10:29.000 --> 00:10:32.000]  最主要是不至減少
[00:10:32.000 --> 00:10:34.000]  因為在舊約來說
[00:10:34.000 --> 00:10:36.000]  生兒養女是非常重要的
[00:10:36.000 --> 00:10:39.000]  如果你不夠人手的話
[00:10:39.000 --> 00:10:40.000]  說什麼都沒用
[00:10:40.000 --> 00:10:42.000]  耕田要人手
[00:10:42.000 --> 00:10:44.000]  打仗要人手
[00:10:44.000 --> 00:10:45.000]  今時今日
[00:10:45.000 --> 00:10:48.000]  如果我們連一隊球隊都找不到
[00:10:48.000 --> 00:10:50.000]  那又怎樣去作戰呢
[00:10:50.000 --> 00:10:52.000]  但最重要
