
[00:00:00.000 --> 00:00:02.860]  近幾個月我們星期三晚的祈禱會
[00:00:02.860 --> 00:00:04.540]  都有一些特別的安排
[00:00:04.540 --> 00:00:06.720]  有一些叫做特別的祈禱會
[00:00:06.720 --> 00:00:10.400]  我們用一些特別的主題去安排禱告
[00:00:10.400 --> 00:00:11.760]  其中十月初有一次
[00:00:11.760 --> 00:00:14.000]  我負責其中一個部分
[00:00:14.000 --> 00:00:16.080]  那個主題叫做情緒健康
[00:00:16.080 --> 00:00:19.600]  我不知道你有沒有參與那次星期三晚的祈禱會
[00:00:19.600 --> 00:00:21.200]  那次我負責的時候
[00:00:21.200 --> 00:00:23.040]  我扔了一幅圖出來給大家看
[00:00:23.040 --> 00:00:25.680]  我就說這裡有十個emoji
[00:00:25.680 --> 00:00:27.360]  就是那些符號
[00:00:27.360 --> 00:00:28.800]  就是一些情緒符號
[00:00:28.800 --> 00:00:30.960]  如果你選一個你會選哪一個
[00:00:30.960 --> 00:00:35.840]  最能夠反映你這幾個月的情緒和心情呢
[00:00:35.840 --> 00:00:37.680]  可能大家有不同的選擇
[00:00:37.680 --> 00:00:39.360]  那你知道我選了哪一個嗎
[00:00:39.360 --> 00:00:43.120]  我就選了中間紅色那個
[00:00:43.120 --> 00:00:45.360]  就是很多的憤怒
[00:00:45.360 --> 00:00:47.600]  很多的混亂
[00:00:47.600 --> 00:00:50.560]  當然當我預備那次的禱告會的時候
[00:00:50.560 --> 00:00:52.960]  上帝也很好特別提醒我
[00:00:52.960 --> 00:00:54.400]  我小時候背很多的金句
[00:00:54.400 --> 00:00:55.520]  很多時候安靜下來的時候
[00:00:55.520 --> 00:00:56.960]  金句就浮出來了
[00:00:56.960 --> 00:00:59.200]  他提醒我在和諧本裡面
[00:00:59.200 --> 00:01:01.120]  已忽所書一節這樣說
[00:01:01.120 --> 00:01:03.360]  他說生氣卻不要犯罪
[00:01:03.360 --> 00:01:04.960]  不可含怒到日落
[00:01:04.960 --> 00:01:06.960]  也不可給魔鬼留地步
[00:01:06.960 --> 00:01:08.240]  有沒有背過這個金句
[00:01:08.240 --> 00:01:09.200]  我們都有了
[00:01:09.200 --> 00:01:11.040]  那我再看看這節金句
[00:01:11.040 --> 00:01:14.240]  在新漢語其他譯本是怎樣翻譯呢
[00:01:14.240 --> 00:01:17.440]  我覺得他的翻譯更加準確和貼近
[00:01:17.440 --> 00:01:18.400]  更好的提醒
[00:01:18.400 --> 00:01:20.000]  我們一起讀這節金句好嗎
[00:01:20.000 --> 00:01:21.280]  預備開始
[00:01:21.280 --> 00:01:24.880]  即使生氣也不可犯罪
[00:01:24.880 --> 00:01:27.200]  不可老怒到日落
[00:01:27.200 --> 00:01:30.480]  也不可讓魔鬼有機可
[00:01:30.480 --> 00:01:32.880]  為什麼我說他翻譯更加準確和好呢
[00:01:32.880 --> 00:01:35.280]  原來上面的生氣和老怒
[00:01:35.280 --> 00:01:36.880]  都是很接近的詞語
[00:01:36.880 --> 00:01:39.600]  他們兩個原文是同一個字根的
[00:01:39.600 --> 00:01:41.200]  不過生氣的意思是什麼呢
[00:01:41.200 --> 00:01:42.480]  就是說你那些怒
[00:01:42.480 --> 00:01:43.520]  你還在忍讓
[00:01:43.520 --> 00:01:46.000]  就是說你還沒有爆出來
[00:01:46.000 --> 00:01:48.480]  然後他為什麼後面那個不再譯作含怒
[00:01:48.480 --> 00:01:49.680]  去譯作老怒呢
[00:01:49.680 --> 00:01:52.640]  原因就是那個憤怒已經發了出來
[00:01:52.640 --> 00:01:54.000]  甚至你可以譯作憤怒
[00:01:54.000 --> 00:01:56.080]  也可以譯作激怒
[00:01:56.080 --> 00:01:57.920]  這段經文十分之好
[00:01:57.920 --> 00:01:58.640]  很簡單
[00:01:58.640 --> 00:02:00.080]  他有一個重要的提醒
[00:02:00.080 --> 00:02:03.120]  他教我們怎樣去處理我們的一些情緒怒氣
[00:02:03.120 --> 00:02:07.280]  他說如果你的怒氣仍然開始生發
[00:02:07.280 --> 00:02:09.280]  仍然在讓步的時候
[00:02:09.280 --> 00:02:10.480]  你要小心
[00:02:10.480 --> 00:02:11.120]  為什麼
[00:02:11.120 --> 00:02:11.760]  三個不可
[00:02:11.760 --> 00:02:12.800]  第一個不可就是
[00:02:12.800 --> 00:02:14.320]  那樣東西會令我們犯罪
[00:02:14.320 --> 00:02:15.920]  他叫你不要犯罪
[00:02:15.920 --> 00:02:17.120]  生氣你不要犯罪
[00:02:17.120 --> 00:02:18.160]  然後第二句就說
[00:02:18.160 --> 00:02:20.160]  如果你的怒氣爆了出來怎麼辦
[00:02:20.160 --> 00:02:21.040]  他告訴我們
[00:02:21.040 --> 00:02:22.480]  你快快去處理
[00:02:22.480 --> 00:02:25.200]  不要老怒到日落
[00:02:25.200 --> 00:02:27.840]  否則那樣東西就會侵蝕你的生命
[00:02:27.840 --> 00:02:30.480]  甚至駕馭了你自己的種種狀況
[00:02:30.480 --> 00:02:31.520]  你自己都不知道
[00:02:31.520 --> 00:02:33.680]  當然第三個不可是最重要
[00:02:33.680 --> 00:02:36.320]  原來在我們這些情緒怒氣裡面
[00:02:36.320 --> 00:02:38.480]  很多時候魔鬼就有機會
[00:02:38.480 --> 00:02:39.760]  王岐山亦做什麼呢
[00:02:39.760 --> 00:02:41.840]  不要給魔鬼留地步
[00:02:41.840 --> 00:02:43.600]  辛亥元亦更加
[00:02:43.600 --> 00:02:47.680]  更現代感和另一個味道就是什麼呢
[00:02:47.680 --> 00:02:49.680]  他說不要讓他有機可乘
[00:02:49.680 --> 00:02:53.840]  你們有沒有想過原來社會裡面發生種種狀況
[00:02:53.840 --> 00:02:56.000]  或者我們心靈裡面的一些狀況
[00:02:56.000 --> 00:02:57.520]  其實都是很自然的事
[00:02:57.520 --> 00:02:58.720]  不過我們要小心
[00:02:58.720 --> 00:03:00.400]  我們不要犯罪
[00:03:00.400 --> 00:03:01.600]  我們要去處理
