
[00:00:00.000 --> 00:00:04.000]  在聽到之前,我們不如先做個祈禱
[00:00:04.000 --> 00:00:11.000]  姐姐、天父、上帝,我們真的要求聖靈在當中來掌管
[00:00:11.000 --> 00:00:16.000]  因為我們知道,靠我們自己,靠一些身外物
[00:00:16.000 --> 00:00:20.000]  主我們實在是很多時候會受到攻擊
[00:00:20.000 --> 00:00:23.000]  也都給我們是很不安寧的
[00:00:23.000 --> 00:00:26.000]  就是在主你面前
[00:00:26.000 --> 00:00:29.000]  主我們懇求你自己施下恩典
[00:00:29.000 --> 00:00:34.000]  你讓我們可以在你面前安心地領受主
[00:00:34.000 --> 00:00:36.000]  你自己的華語
[00:00:36.000 --> 00:00:39.000]  也都能夠聽進我們的心中
[00:00:39.000 --> 00:00:42.000]  讓我們行在我們的生命當中
[00:00:42.000 --> 00:00:47.000]  感謝你聽我們禱告,奉主耶穌基督聖名
[00:00:47.000 --> 00:00:48.000]  Amen
[00:00:48.000 --> 00:00:54.000]  在很多年前,看過一部電影
[00:00:54.000 --> 00:00:58.000]  這部電影我相信很多人都看過,是嗎?
[00:00:58.000 --> 00:01:01.000]  看過的,你試試表示一下
[00:01:01.000 --> 00:01:04.000]  我看看有多少人跟我同年代的
[00:01:04.000 --> 00:01:09.000]  後悔舉手吧
[00:01:09.000 --> 00:01:16.000]  不要緊,那時候你看的時候很小而已
[00:01:16.000 --> 00:01:21.000]  我看的時候也有差不多年紀了
[00:01:21.000 --> 00:01:27.000]  這部電影,其實在香港翻譯得比較
[00:01:27.000 --> 00:01:29.000]  直接一點
[00:01:29.000 --> 00:01:31.000]  不跟英文翻譯
[00:01:31.000 --> 00:01:33.000]  英文是The Sixth Sense
[00:01:33.000 --> 00:01:35.000]  就是第六感
[00:01:35.000 --> 00:01:39.000]  但是在香港就改名為什麼?
[00:01:39.000 --> 00:01:42.000]  忘記了
[00:01:42.000 --> 00:01:47.000]  對我來說是印象很深刻的一部電影
[00:01:47.000 --> 00:01:49.000]  叫做《鬼眼》
[00:01:49.000 --> 00:01:53.000]  說到《鬼眼》,可能大家都會說
[00:01:53.000 --> 00:01:57.000]  是喔,但是可能你記錯了另一部電影也不一定
[00:01:57.000 --> 00:02:02.000]  這部電影說到有一個小孩子
[00:02:02.000 --> 00:02:08.000]  這個小孩子經常會看到一些東西
[00:02:08.000 --> 00:02:13.000]  他的行為神神化化的
[00:02:13.000 --> 00:02:17.000]  他說的話都很莫名其妙
[00:02:17.000 --> 00:02:21.000]  所以很多大人都不太喜歡聽他說
[00:02:21.000 --> 00:02:24.000]  看他好像有點毛病
[00:02:24.000 --> 00:02:29.000]  接著有一位心理醫生就出現在他面前了
[00:02:29.000 --> 00:02:31.000]  是跟進他的
[00:02:31.000 --> 00:02:36.000]  他信任了這個心理醫生之後
[00:02:36.000 --> 00:02:41.000]  他就跟這個心理醫生說了一些話
[00:02:41.000 --> 00:02:47.000]  他說其實我是經常看到死人
[00:02:47.000 --> 00:02:50.000]  他說我經常看到死人
[00:02:50.000 --> 00:02:54.000]  看到死人,所謂的死人
[00:02:54.000 --> 00:03:00.000]  其實就是我們所說的那些東西
[00:03:00.000 --> 00:03:03.000]  這個心理醫生聽了
[00:03:03.000 --> 00:03:07.000]  因為是心理醫生
[00:03:07.000 --> 00:03:10.000]  就很耐心地聽他說
[00:03:10.000 --> 00:03:13.000]  所以這個小孩子就很傾訴
[00:03:13.000 --> 00:03:15.000]  跟他說了很多東西
[00:03:15.000 --> 00:03:21.000]  當然我們都知道這個小孩子所謂的死人就是那些東西
[00:03:21.000 --> 00:03:24.000]  好了,說到這裡的時候
[00:03:24.000 --> 00:03:29.000]  可能有些人就好像平時都會問我
[00:03:29.000 --> 00:03:34.000]  牧師爺,你信不信鬼?
[00:03:34.000 --> 00:03:38.000]  你們有多少人信?
[00:03:38.000 --> 00:03:39.000]  有多少人信?
[00:03:39.000 --> 00:03:43.000]  不用舉手了,這個不是缺字的時候
[00:03:43.000 --> 00:03:47.000]  好像問你信不信耶穌?
[00:03:47.000 --> 00:03:51.000]  不用舉手
[00:03:51.000 --> 00:03:56.000]  剛才這樣看的時候好像很多人都不信
[00:03:56.000 --> 00:03:59.000]  有鬼嗎?牧師爺,你信鬼嗎?
[00:03:59.000 --> 00:04:01.000]  我告訴你我信鬼的
[00:04:01.000 --> 00:04:02.000]  為什麼不信?
[00:04:02.000 --> 00:04:05.000]  聖經裡面有說的,不是嗎?
[00:04:05.000 --> 00:04:09.000]  你信不信耶穌醫病趕鬼?
[00:04:09.000 --> 00:04:13.000]  信啊,為什麼你信前一兩個字
[00:04:13.000 --> 00:04:16.000]  而不信後面那兩個字呢?
[00:04:16.000 --> 00:04:18.000]  我信耶穌醫病
[00:04:18.000 --> 00:04:20.000]  是啊,我信耶穌醫病的
[00:04:20.000 --> 00:04:22.000]  祂可以醫好很多病人的
[00:04:22.000 --> 00:04:25.000]  祂在歷史裡面其實是醫好很多病人的
[00:04:25.000 --> 00:04:27.000]  趕鬼呢?
[00:04:27.000 --> 00:04:31.000]  如果沒有鬼的話,祂趕什麼?
[00:04:31.000 --> 00:04:35.000]  所以我們信聖經裡面所說的
[00:04:35.000 --> 00:04:38.000]  我們信歷史上有一位耶穌
[00:04:38.000 --> 00:04:41.000]  我們信祂做過的所有的事
[00:04:41.000 --> 00:04:43.000]  無論祂行神蹟也好
[00:04:43.000 --> 00:04:47.000]  祂所施行的醫病趕鬼也好
[00:04:47.000 --> 00:04:49.000]  我們會相信的
[00:04:49.000 --> 00:04:51.000]  好了,說回頭
[00:04:51.000 --> 00:04:53.000]  說到
[00:04:53.000 --> 00:05:01.000]  其實這個小朋友所說的死人
[00:05:01.000 --> 00:05:05.000]  當然就是他常見到的那些東西
[00:05:05.000 --> 00:05:08.000]  那些東西其實就是鬼,不怕了
[00:05:08.000 --> 00:05:10.000]  現在我也告訴你,我信鬼的
[00:05:10.000 --> 00:05:13.000]  但是其實我沒見過
[00:05:13.000 --> 00:05:15.000]  你說沒見過,你也信的嗎?
[00:05:15.000 --> 00:05:18.000]  我也沒見過神,但是我也信神
[00:05:18.000 --> 00:05:20.000]  我沒見過耶穌,我也信耶穌,是不是?
[00:05:20.000 --> 00:05:23.000]  所以,沒見過不表示沒有
[00:05:23.000 --> 00:05:25.000]  見過的也很多人
[00:05:25.000 --> 00:05:29.000]  所以你說,牧師你不要嚇我,我很怕的
[00:05:29.000 --> 00:05:31.000]  以後見到怎麼辦?
[00:05:31.000 --> 00:05:34.000]  我告訴你,我信有鬼
[00:05:34.000 --> 00:05:37.000]  但是我不怕鬼
[00:05:37.000 --> 00:05:39.000]  因為我信耶穌
[00:05:39.000 --> 00:05:41.000]  耶穌可以趕鬼
[00:05:41.000 --> 00:05:44.000]  所以如果我真的有一天
[00:05:44.000 --> 00:05:46.000]  要見到的話
[00:05:46.000 --> 00:05:49.000]  我去奉耶穌的名字來趕他
[00:05:49.000 --> 00:05:52.000]  我家裡就養一隻狗
[00:05:52.000 --> 00:05:55.000]  因為他養在家裡
[00:05:55.000 --> 00:05:57.000]  上次我可能也說過
[00:05:57.000 --> 00:06:01.000]  所以我經常要出去餵牠吃東西
[00:06:01.000 --> 00:06:03.000]  陪陪牠
[00:06:03.000 --> 00:06:05.000]  有時候很有趣的
[00:06:05.000 --> 00:06:11.000]  牠突然間瞄到一個地方
[00:06:11.000 --> 00:06:14.000]  然後就退後兩步
[00:06:14.000 --> 00:06:16.000]  就捱著我
[00:06:16.000 --> 00:06:19.000]  我女兒就告訴我
