
[00:00:00.000 --> 00:00:04.260]  很高興今天在大家當中能夠分享神的訊息
[00:00:04.260 --> 00:00:10.600]  這個題目我想大家都不會太陌生
[00:00:10.600 --> 00:00:12.600]  在什麼事上忠心
[00:00:12.600 --> 00:00:15.800]  可能你馬上都會想到有些什麼事
[00:00:15.800 --> 00:00:22.760]  其實在聖經當中很多時候都提到「忠心」這個詞
[00:00:22.760 --> 00:00:25.400]  我們怎樣在神的面前
[00:00:25.400 --> 00:00:28.360]  就是沒有人看到、沒有人注意的時候
[00:00:28.360 --> 00:00:30.600]  都仍然是忠心侍奉神呢?
[00:00:30.600 --> 00:00:32.600]  這是一個真的考驗
[00:00:32.600 --> 00:00:41.000]  耶穌在當年對群眾講道的時候
[00:00:41.000 --> 00:00:44.200]  最喜歡講一個比喻
[00:00:44.200 --> 00:00:48.400]  比喻是一個時時都遇到的事情
[00:00:48.400 --> 00:00:50.400]  日常遇見的事情
[00:00:50.400 --> 00:00:54.200]  譬如說好像一個農人殺種
[00:00:54.200 --> 00:00:58.000]  但是耶穌講殺種的比喻的時候
[00:00:58.000 --> 00:01:00.000]  就加了一些東西
[00:01:00.000 --> 00:01:02.000]  加一些情節
[00:01:02.000 --> 00:01:04.000]  講了一個道理
[00:01:04.000 --> 00:01:06.000]  有些就是虛構的事情
[00:01:06.000 --> 00:01:10.000]  讓聽眾很快聽到這個核心的教導
[00:01:10.000 --> 00:01:12.000]  就印象深刻
[00:01:12.000 --> 00:01:14.000]  可以記住
[00:01:14.000 --> 00:01:17.000]  這個其實就是猶太人的老師
[00:01:17.000 --> 00:01:20.000]  拉比很喜歡用的方式
[00:01:20.000 --> 00:01:24.000]  有點像我們廣東話講故事
[00:01:24.000 --> 00:01:28.000]  有什麼故事講故事給你聽就印象深刻
[00:01:28.000 --> 00:01:31.000]  拉比很喜歡用這個方式
[00:01:31.000 --> 00:01:34.000]  耶穌也是這樣的情況
[00:01:34.000 --> 00:01:38.000]  耶穌講的比喻主要是有兩種的
[00:01:38.000 --> 00:01:41.000]  一種叫做參照式
[00:01:41.000 --> 00:01:43.000]  Compare
