
[00:00:00.000 --> 00:00:02.800]  我們在讀到《羅亞之約》的時候
[00:00:02.800 --> 00:00:09.000]  我們要先看看羅亞當時所處的時代是這麼一個時代
[00:00:09.000 --> 00:00:10.600]  當時《聖經》說
[00:00:10.600 --> 00:00:13.100]  人在地上的罪惡很大
[00:00:13.100 --> 00:00:16.800]  中日所思想的盡度是惡
[00:00:16.800 --> 00:00:20.800]  世界在神的面前敗壞了
[00:00:20.800 --> 00:00:23.800]  地上滿了強暴
[00:00:23.800 --> 00:00:27.500]  這是羅亞當時的情形
[00:00:27.500 --> 00:00:31.000]  爲什麼說到地上的罪惡很大呢
[00:00:31.000 --> 00:00:34.900]  具體的表現就是在第六章所提到的
[00:00:34.900 --> 00:00:36.500]  就是第二節說
[00:00:36.500 --> 00:00:40.500]  神的兒子們見到人的女子美貌
[00:00:40.500 --> 00:00:45.200]  就隨意挑選取來爲妻
[00:00:45.200 --> 00:00:49.800]  那麼這個神的兒子們是誰呢
[00:00:49.800 --> 00:00:52.400]  《聖經》並沒有很具體的解釋
[00:00:52.400 --> 00:00:56.800]  那麼很多讀《聖經》的人就有各種不同的解釋
[00:00:56.800 --> 00:01:00.400]  我們就不去理會有多少種解釋
[00:01:00.400 --> 00:01:06.400]  但是我們至少知道這些人根本上他是人
[00:01:06.400 --> 00:01:08.500]  他不是天使
[00:01:08.500 --> 00:01:11.200]  因爲天使也不嫁也不娶
[00:01:11.200 --> 00:01:12.800]  那麼至少是人
[00:01:12.800 --> 00:01:18.700]  那麼這些人背後有撒旦
[00:01:18.700 --> 00:01:21.700]  有這些惡勢力的影響
[00:01:21.700 --> 00:01:23.800]  所以他們做出來的事情
[00:01:23.800 --> 00:01:28.200]  就不符合神的意識
[00:01:28.200 --> 00:01:31.600]  因爲他們就要娶什麼呢
[00:01:31.600 --> 00:01:33.000]  娶他們所喜歡的
[00:01:33.000 --> 00:01:34.800]  他們所要的人
[00:01:34.800 --> 00:01:37.400]  這今天看起來好像也沒有什麼關係
[00:01:37.400 --> 00:01:40.500]  但是事實上他們這樣做的話
[00:01:40.500 --> 00:01:46.200]  就是他們是隨從自己的裏頭的情慾
[00:01:46.200 --> 00:01:49.800]  來挑選妻子
[00:01:49.800 --> 00:01:54.000]  所以這看見 他們看見人的女子
[00:01:54.000 --> 00:01:55.300]  他們看見
[00:01:55.300 --> 00:01:57.300]  所以你看見這個字的話
[00:01:57.300 --> 00:02:02.500]  你要回想到夏娃 亞當夏娃的時候
[00:02:02.500 --> 00:02:06.900]  魔鬼的蛇怎麼引誘夏娃呢
[00:02:06.900 --> 00:02:10.800]  叫她看見這個分辨三惡俗的果子
[00:02:10.800 --> 00:02:12.500]  又很好看
[00:02:12.500 --> 00:02:16.700]  又覺得人喫了以後就很有用
[00:02:16.700 --> 00:02:19.200]  就能跟祥神一樣
[00:02:19.200 --> 00:02:28.200]  所以看見使得他做一些神所禁止的事情
[00:02:28.200 --> 00:02:32.000]  那麼這些人 神的兒子們
[00:02:32.000 --> 00:02:36.900]  他們就受到撒旦的影響
[00:02:36.900 --> 00:02:40.300]  他們就放縱自己的情慾
[00:02:40.300 --> 00:02:43.700]  他們就越過神的界限
[00:02:43.700 --> 00:02:46.300]  凡是越過神的所規定的
[00:02:46.300 --> 00:02:49.300]  所要求的 這就是罪
[00:02:49.300 --> 00:02:51.700]  罪規定是殺人放火
[00:02:51.700 --> 00:02:55.800]  就神規定你不能 你只能夠這樣做
[00:02:55.800 --> 00:02:57.300]  但是你不聽神的話
[00:02:57.300 --> 00:02:59.800]  你要超過神所規定的
[00:02:59.800 --> 00:03:05.600]  越界了 那麼你這就是罪了
[00:03:05.600 --> 00:03:09.300]  那麼 聖經還說呢
[00:03:09.300 --> 00:03:13.400]  人是屬無血氣的
[00:03:13.400 --> 00:03:19.400]  神的靈就不永遠住在他的裏頭了
[00:03:19.400 --> 00:03:21.800]  屬血氣什麼意思呢
[00:03:21.800 --> 00:03:24.400]  至少可以包括兩個意思
[00:03:24.400 --> 00:03:26.600]  一個意思就是屬血氣的
[00:03:26.600 --> 00:03:31.300]  就是人是會來到盡頭的
[00:03:31.300 --> 00:03:33.300]  是會死的
[00:03:33.300 --> 00:03:36.200]  屬血氣的都是要死的
[00:03:36.200 --> 00:03:37.300]  還有一個意思呢
[00:03:37.300 --> 00:03:42.800]  屬血氣的就是隨着自己墮落的本性
[00:03:42.800 --> 00:03:47.900]  墮落的本性在聖經裏頭就是用血氣來代替
[00:03:47.900 --> 00:03:51.600]  人屬血氣 憑着血氣來做事情
[00:03:51.600 --> 00:03:53.800]  這就是墮落以後的人
[00:03:53.800 --> 00:03:58.200]  他們表現他的本性
[00:03:58.200 --> 00:04:02.000]  那麼因爲人是這樣的不聽神的話
[00:04:02.000 --> 00:04:04.300]  要隨着自己的意思來做
[00:04:04.300 --> 00:04:05.800]  所以聖經說呢
[00:04:05.800 --> 00:04:09.500]  神的靈就不永遠住在他裏頭了
[00:04:09.500 --> 00:04:11.800]  神的靈要離開他們
[00:04:11.800 --> 00:04:16.100]  本來神的靈在他們裏頭可以來限制他們
[00:04:16.100 --> 00:04:17.600]  來管理他們
[00:04:17.600 --> 00:04:21.500]  但既然他們一直不肯聽神的話
[00:04:21.500 --> 00:04:24.300]  不肯聽住在裏頭的靈的話
[00:04:24.300 --> 00:04:31.500]  那麼神說他要撤除靈在他們裏面的居住
[00:04:31.500 --> 00:04:34.200]  讓他們已經是不可救藥了
[00:04:34.200 --> 00:04:38.100]  好像一個人已經病得快要死了
[00:04:38.100 --> 00:04:39.700]  什麼藥都沒有用了
[00:04:39.700 --> 00:04:42.600]  所以醫生說停止用藥了
[00:04:42.600 --> 00:04:48.100]  就是神的靈就不永遠住在他們裏頭了
[00:04:48.100 --> 00:04:49.900]  那麼這樣的話
[00:04:49.900 --> 00:04:52.100]  神就要審判
[00:04:52.100 --> 00:04:55.500]  這樣的越過神界限的人
[00:04:55.500 --> 00:04:56.800]  怎麼樣呢
[00:04:56.800 --> 00:05:01.500]  當時我們其中看到有一個人就是挪亞
[00:05:01.500 --> 00:05:08.100]  挪亞他是靠着恩典與神同行
[00:05:08.100 --> 00:05:14.000]  他靠着恩典能夠活下來的這樣一個人
[00:05:14.000 --> 00:05:15.200]  底下說呢
[00:05:15.200 --> 00:05:21.700]  他說他這個日子還可以一百二十年
[00:05:21.700 --> 00:05:23.700]  這一百二十年有人說的
[00:05:23.700 --> 00:05:25.000]  就是人可以活到
[00:05:25.000 --> 00:05:28.600]  從挪亞以後人可以活一百二十歲
[00:05:28.600 --> 00:05:31.000]  那麼現在當然是很對的
[00:05:31.000 --> 00:05:34.200]  很少超過一百二十歲的人了
[00:05:34.200 --> 00:05:35.500]  能夠活到八十歲
[00:05:35.500 --> 00:05:36.100]  九十歲
[00:05:36.100 --> 00:05:36.900]  一百歲
[00:05:36.900 --> 00:05:38.600]  已經很不容易了
[00:05:38.600 --> 00:05:41.100]  那麼一百二十歲是很少的
[00:05:41.100 --> 00:05:41.900]  但是呢
[00:05:41.900 --> 00:05:43.500]  你看洪水以後呢
[00:05:43.500 --> 00:05:46.900]  還是有人活超過一百二十歲的
[00:05:46.900 --> 00:05:49.100]  亞伯拉罕一百七十歲
[00:05:49.100 --> 00:05:53.200]  還有其他的都可以活到超過一百二十歲
[00:05:53.200 --> 00:05:55.700]  所以這一百二十歲的時間呢
[00:05:55.700 --> 00:05:57.500]  比較好的思想呢
[00:05:57.500 --> 00:06:03.900]  就是從神給人這個悔改的時間
[00:06:03.900 --> 00:06:06.400]  有一百二十年
[00:06:06.400 --> 00:06:08.000]  神說這個話以後
[00:06:08.000 --> 00:06:10.700]  就是意思到一百二十年
