
[00:00:00.000 --> 00:00:06.540]  今天我也特意選了《傳道士》七章一至十四節
[00:00:06.540 --> 00:00:10.640]  看一些詩歌去表達一下
[00:00:10.640 --> 00:00:17.180]  繁忙生活當中的傳道者如何跟我們分享他們的領受
[00:00:17.180 --> 00:00:19.700]  我們先看看經文
[00:00:19.700 --> 00:00:21.400]  七章一至十四節
[00:00:21.400 --> 00:00:24.360]  我特別選了現代中文譯本
[00:00:24.360 --> 00:00:31.040]  這些詩歌是乃至聖經舊約的希伯來文譯成中文
[00:00:31.040 --> 00:00:34.320]  因為要貼近原意
[00:00:34.320 --> 00:00:36.380]  但譯出來的時候
[00:00:36.380 --> 00:00:41.520]  就不像李白、杜甫那些中國的詩歌
[00:00:41.520 --> 00:00:45.240]  徐志摩那些那麼押韻
[00:00:45.240 --> 00:00:46.680]  那麼工整
[00:00:46.680 --> 00:00:49.680]  因為始終是另一個語言
[00:00:49.680 --> 00:00:51.980]  所以如果你看和學本和和修本
[00:00:51.980 --> 00:00:54.060]  有時候真的不明白他在說什麼
[00:00:54.060 --> 00:00:56.940]  現代中文譯本你也不明白
[00:00:56.940 --> 00:00:58.140]  但不明白不要緊
[00:00:58.140 --> 00:00:59.320]  有Allen在
[00:00:59.320 --> 00:01:01.840]  如果不明白你可以多問他
[00:01:01.840 --> 00:01:03.680]  在講道裡面我也希望
[00:01:03.680 --> 00:01:08.980]  現代中文可以幫我們更加貼切地明白原文裡面的意思
[00:01:08.980 --> 00:01:11.600]  我們看看聖經裡面怎麼說
[00:01:11.600 --> 00:01:15.000]  容忍我讀出十四節的經文
[00:01:15.000 --> 00:01:16.020]  聖經裡面這樣說
[00:01:16.020 --> 00:01:18.440]  「好名譽勝過珍貴的香水」
[00:01:18.440 --> 00:01:20.960]  「死的日子勝過出生的日子」
[00:01:20.960 --> 00:01:25.580]  「都有喪事的家去勝過都有厭惡的家」
[00:01:25.580 --> 00:01:28.720]  「因為活著的人應該常常提醒自己」
[00:01:28.720 --> 00:01:31.760]  「死亡在等待每一個人」
[00:01:31.760 --> 00:01:34.360]  「憂愁勝過歡樂」
[00:01:34.360 --> 00:01:40.060]  「面上雖帶著愁容卻使心智更加敏銳」
[00:01:40.060 --> 00:01:42.260]  「愚蠢人只想歡樂」
[00:01:42.260 --> 00:01:45.040]  「明智人知道壽命有限」
