
[00:00:00.000 --> 00:00:02.540]  由我和大家分享上帝的說話之前
[00:00:02.540 --> 00:00:05.040]  我們一起再次低頭祈禱
[00:00:05.040 --> 00:00:09.040]  親愛的主我們感謝祢
[00:00:09.040 --> 00:00:12.540]  感謝祢讓我們今天有機會在祢的殿裏面去敬拜
[00:00:12.540 --> 00:00:16.040]  我們祈求上帝在當中真摯地打開我們的心門
[00:00:16.040 --> 00:00:18.540]  讓聖靈賜給我們有悟性
[00:00:18.540 --> 00:00:21.540]  以致我們能夠看到祢話語中的奧秘
[00:00:21.540 --> 00:00:25.040]  有願講的和聽的都同夢祢的月亮
[00:00:25.040 --> 00:00:27.540]  祈禱奉主耶穌基督的名而求
[00:00:27.540 --> 00:00:28.540]  阿門
[00:00:29.080 --> 00:00:31.540]  7月10日下星期二
[00:00:31.540 --> 00:00:33.540]  就是星中放榜了
[00:00:33.540 --> 00:00:39.540]  在這裏祝願每一位同學能夠派到合適你成長的中學
[00:00:39.540 --> 00:00:40.540]  在未來的六年
[00:00:40.540 --> 00:00:44.540]  你將會是你成長的另一個階段
[00:00:44.540 --> 00:00:48.540]  在當中你會開始去尋找一下自己的身份
[00:00:48.540 --> 00:00:51.540]  你會更多地認識自己有什麼志趣
[00:00:51.540 --> 00:00:53.040]  你的性格
[00:00:53.040 --> 00:00:56.540]  以及學習如何去做一些正確的決定
[00:00:56.540 --> 00:01:00.540]  以及在更廣闊的世界裏
[00:01:00.540 --> 00:01:02.540]  學習如何與人相處
[00:01:02.540 --> 00:01:06.540]  為進入人生的另一個階段作出好的準備
[00:01:06.540 --> 00:01:09.540]  這是一個很大的挑戰
[00:01:09.540 --> 00:01:14.540]  未來兩三年有人說是青少年的暴風時期
[00:01:14.540 --> 00:01:16.540]  我們知道在座有很多家長
[00:01:16.540 --> 00:01:18.540]  作為家長的你
[00:01:18.540 --> 00:01:22.540]  如何學習在放手和關懷之間
[00:01:22.540 --> 00:01:26.540]  去取得一個平衡呢?
[00:01:26.540 --> 00:01:30.540]  如何學習讓子女自己去學習去做決定
[00:01:30.540 --> 00:01:33.540]  以及擔心他們做錯決定
[00:01:33.540 --> 00:01:37.540]  而不敢放手之間能夠有一個平衡呢?
[00:01:37.540 --> 00:01:40.540]  這是一個很不容易的挑戰
[00:01:40.540 --> 00:01:42.540]  但是青少年的家長
[00:01:42.540 --> 00:01:44.540]  你可能會越來越覺得
[00:01:44.540 --> 00:01:48.540]  我們能夠掌握的事情實在越來越少
[00:01:48.540 --> 00:01:50.540]  我們會有很多擔心
[00:01:50.540 --> 00:01:52.540]  很多的掛慮
[00:01:52.540 --> 00:01:55.540]  盼望上帝能夠幫助我們每一位做家長的
[00:01:55.540 --> 00:01:57.540]  能夠有這份智慧
[00:01:57.540 --> 00:02:00.540]  就是可以適時放手
[00:02:00.540 --> 00:02:03.540]  讓我們子女可以高飛這份智慧
[00:02:03.540 --> 00:02:05.540]  今天我和大家選擇的經文
[00:02:05.540 --> 00:02:07.540]  是講述一個少年人
[00:02:07.540 --> 00:02:10.540]  在風浪之中如何成長
[00:02:10.540 --> 00:02:12.540]  因為經文太長了
[00:02:12.540 --> 00:02:14.540]  所以我選了中間
[00:02:14.540 --> 00:02:17.540]  最尾最尾最高潮的那一段
[00:02:17.540 --> 00:02:20.540]  描述他如何在逆境中
[00:02:20.540 --> 00:02:23.540]  更加能夠磨練一個人
[00:02:23.540 --> 00:02:26.540]  做父母其實最難放手的地方
[00:02:26.540 --> 00:02:30.540]  就是很不忍心子女去捱苦
[00:02:30.540 --> 00:02:35.540]  所以我們來看看這個弱勢的故事
[00:02:35.540 --> 00:02:39.540]  如何能夠給予我們一些鼓勵和幫助
[00:02:39.540 --> 00:02:43.540]  我今天講弱勢的背景都頗長
[00:02:43.540 --> 00:02:47.540]  大家有聖經可以跟著看
[00:02:47.540 --> 00:02:49.540]  或者可以聽我講
[00:02:49.540 --> 00:02:52.540]  部分經文我都會打在螢光幕上
[00:02:52.540 --> 00:02:55.540]  大家可以一起了解和認識
[00:02:55.540 --> 00:02:58.540]  弱勢的整個生平是怎樣
[00:02:58.540 --> 00:03:02.540]  弱勢是雅各十二個兒子中其中一個
[00:03:02.540 --> 00:03:04.540]  他排行第十一
[00:03:04.540 --> 00:03:05.540]  聖經說
[00:03:05.540 --> 00:03:09.540]  雅各愛弱勢過於其他兒子
[00:03:09.540 --> 00:03:12.540]  因為弱勢是他年老所生
[00:03:12.540 --> 00:03:14.540]  他幫弱勢做了一件長袍
[00:03:14.540 --> 00:03:18.540]  有些聖經說這是一件楚衣
[00:03:18.540 --> 00:03:21.540]  雅各共有兩個老婆
[00:03:21.540 --> 00:03:23.540]  兩個妾侍
[00:03:23.540 --> 00:03:24.540]  不要誤會了他
[00:03:24.540 --> 00:03:26.540]  是不是他風流成性
[00:03:26.540 --> 00:03:29.540]  我相信應該是有些歷史的背景
[00:03:29.540 --> 00:03:31.540]  如果大家想了解多些
[00:03:31.540 --> 00:03:35.540]  可以回去看一看《創世紀》的29章和30章
[00:03:35.540 --> 00:03:38.540]  聖經說雅各特別喜歡弱勢
[00:03:38.540 --> 00:03:42.540]  除了因為這經文說是他年老所生
[00:03:42.540 --> 00:03:48.540]  更加因為弱勢是他最喜歡的太太拉潔生的
[00:03:48.540 --> 00:03:50.540]  我們可以用偏心
[00:03:50.540 --> 00:03:53.540]  偏出面來形容雅各
[00:03:53.540 --> 00:03:58.540]  雅各為弱勢做了一件新衣
[00:03:58.540 --> 00:04:01.540]  不過偏心的後果就是哥哥
[00:04:01.540 --> 00:04:05.540]  看到爸爸愛弱勢過於愛他們
[00:04:05.540 --> 00:04:07.540]  就恨弱勢
[00:04:07.540 --> 00:04:11.540]  不跟他們說友善的話
[00:04:11.540 --> 00:04:15.540]  弱勢為人很率直
[00:04:15.540 --> 00:04:20.540]  他看到哥哥做錯事就在爸爸面前告狀
[00:04:20.540 --> 00:04:23.540]  加上弱勢做過兩個夢
[00:04:23.540 --> 00:04:25.540]  這些夢境裡都說
[00:04:25.540 --> 00:04:28.540]  他爸爸媽媽和其他兄弟
[00:04:28.540 --> 00:04:31.540]  都會向他下拜
[00:04:31.540 --> 00:04:34.540]  於是令到哥哥更加憎恨他
[00:04:34.540 --> 00:04:37.540]  更加妒忌他
[00:04:37.540 --> 00:04:38.540]  在一次機會之下
[00:04:38.540 --> 00:04:43.540]  哥哥打算殺死弟弟
[00:04:43.540 --> 00:04:45.540]  不過在輾轉之間
[00:04:45.540 --> 00:04:50.540]  就把弱勢賣給了去埃及做生意的一批商人
[00:04:50.540 --> 00:04:55.540]  最後弱勢成為了埃及王的一位官員
[00:04:55.540 --> 00:04:59.540]  護衛長波提弗的奴隸
[00:04:59.540 --> 00:05:04.540]  一個原本在家裡父親很寵愛的兒子
[00:05:04.540 --> 00:05:08.540]  一下子成為了一個任人猜屎
[00:05:08.540 --> 00:05:11.540]  叫人離下的奴隸
[00:05:11.540 --> 00:05:13.540]  這麼大的落差
[00:05:13.540 --> 00:05:15.540]  這個逆境風浪
[00:05:15.540 --> 00:05:19.540]  弱勢會怎樣去面對呢?
[00:05:19.540 --> 00:05:22.540]  況且被他的親哥哥
[00:05:22.540 --> 00:05:26.540]  一些難以置信的殘害手段
[00:05:26.540 --> 00:05:28.540]  那些情景一定像是
