
[00:00:00.000 --> 00:00:02.000]  屬靈生命停滯不前
[00:00:02.000 --> 00:00:04.000]  可能是發生在個人身上
[00:00:04.000 --> 00:00:08.800]  有時候亦會發生在整個教會身上
[00:00:08.800 --> 00:00:14.760]  問題是當我們去到屬靈瓶頸地帶的時候
[00:00:14.760 --> 00:00:17.200]  這個時間應該做些什麼呢
[00:00:17.200 --> 00:00:20.400]  首先從錯誤的答案開始
[00:00:20.400 --> 00:00:22.400]  其中一個錯誤的答案就是
[00:00:22.400 --> 00:00:24.400]  什麼都不要做
[00:00:24.400 --> 00:00:30.720]  以前的人開用帆船來航海
[00:00:30.720 --> 00:00:32.720]  順風順水當然好
[00:00:32.720 --> 00:00:34.720]  自然不用做什麼
[00:00:34.720 --> 00:00:36.720]  就會順水而去
[00:00:36.720 --> 00:00:39.360]  但問題是逆風的時候又如何呢
[00:00:39.360 --> 00:00:41.360]  有人說逆風很簡單
[00:00:41.360 --> 00:00:44.320]  我下帆避下風頭
[00:00:44.320 --> 00:00:46.320]  等風向轉為順風的時候
[00:00:46.320 --> 00:00:48.320]  才再揚帆而去
[00:00:48.320 --> 00:00:50.320]  所以有些人可能覺得
[00:00:50.320 --> 00:00:53.520]  有時候處境困難停滯不前
[00:00:53.520 --> 00:00:55.520]  就什麼都不要做
[00:00:55.520 --> 00:00:57.520]  按兵不動先看好
[00:00:57.520 --> 00:00:59.520]  等候時機
[00:00:59.520 --> 00:01:01.520]  這個有時候的確是沒有錯
[00:01:01.520 --> 00:01:03.520]  但你想一想
[00:01:03.520 --> 00:01:05.520]  什麼都不要做
[00:01:05.520 --> 00:01:07.520]  就算下帆也是要做些什麼
[00:01:07.520 --> 00:01:11.520]  而且如果你本身逆水行舟的時候
[00:01:11.520 --> 00:01:13.520]  什麼都不做
[00:01:13.520 --> 00:01:15.520]  就只會不進則退
[00:01:15.520 --> 00:01:17.520]  相反
[00:01:17.520 --> 00:01:19.520]  另外一個情況就是
[00:01:19.520 --> 00:01:21.520]  如果你明明有一個機會
[00:01:21.520 --> 00:01:23.520]  天時地利
[00:01:23.520 --> 00:01:25.520]  你還是果足不前的時候
[00:01:25.520 --> 00:01:27.520]  不願意去突破
[00:01:27.520 --> 00:01:29.520]  現在的困境的時候
