
[00:00:00.000 --> 00:00:02.000]  各位領事館的各位朋友們
[00:00:02.000 --> 00:00:06.600]  今天的這個講道是主要看一節經文
[00:00:06.600 --> 00:00:09.800]  這節經文是來自希伯來書第十一章的第一節
[00:00:09.800 --> 00:00:11.900]  不如我們先讀一讀這節經文好嗎
[00:00:11.900 --> 00:00:13.300]  好 我們一起讀一讀這節經文
[00:00:13.300 --> 00:00:15.300]  希伯來書第十一章第一節 請讀
[00:00:15.300 --> 00:00:19.100]  是所望之時的實體
[00:00:19.100 --> 00:00:21.900]  是未見之時的確具
[00:00:21.900 --> 00:00:25.100]  我們都知道我們今年的年提是活現信心
[00:00:25.100 --> 00:00:27.100]  或者簡單的講信心
[00:00:27.100 --> 00:00:32.400]  每一季我們都會有一次特別的加重的一些環節
[00:00:32.400 --> 00:00:37.000]  給大家對於信心這件事有更深刻的體會和學習
[00:00:37.000 --> 00:00:39.400]  今次我們會只看一節的經文
[00:00:39.400 --> 00:00:42.600]  就剛才你讀的希伯來書第十一章第一節這一節經文
[00:00:42.600 --> 00:00:44.700]  可能對很多信了主的人來說
[00:00:44.700 --> 00:00:47.200]  這一節經文未必是那麼陌生
[00:00:47.200 --> 00:00:52.900]  甚至可能我們會認為這一節經文就是信心的一個經典的定義
[00:00:52.900 --> 00:00:57.500]  當然也都可能是十一章全章聖經
[00:00:57.500 --> 00:01:01.700]  講到信心偉人的一個非常重要的引言
[00:01:01.700 --> 00:01:04.100]  你說只有一節經文而已
[00:01:04.100 --> 00:01:06.900]  怎樣可以突出到這個主題呢
[00:01:06.900 --> 00:01:10.300]  其實我們今天的講題是又實又確的信心
[00:01:10.300 --> 00:01:15.500]  正正其實就是我們SOL的教會十幾年來的一個很重要的寫照
[00:01:15.500 --> 00:01:18.500]  回想很多年前都講了十幾年
[00:01:18.500 --> 00:01:23.300]  教會只不過由幾個人開始來到去有一個聚會的時間
[00:01:23.300 --> 00:01:25.100]  我們當時沒有什麼資源
[00:01:25.100 --> 00:01:26.300]  沒有地方
[00:01:26.300 --> 00:01:28.500]  當然不會有錢
[00:01:28.500 --> 00:01:30.700]  我們的銀行戶口只有幾千鎊
[00:01:30.700 --> 00:01:31.300]  都沒有
[00:01:31.300 --> 00:01:33.600]  其實可能只有幾千元的分分鐘
[00:01:33.600 --> 00:01:39.100]  但是當時神就感動到呼召了一班有心的一小撮的信徒
[00:01:39.100 --> 00:01:42.400]  願意用信心踏前一步
[00:01:42.400 --> 00:01:47.700]  今天我們見到我們教會不算是非常非常多人
[00:01:47.700 --> 00:01:50.600]  但是都叫做有少少根基
[00:01:50.600 --> 00:01:54.200]  也都有信徒很有使命感
[00:01:54.200 --> 00:01:56.600]  我們都是一間很有使命感的教會
[00:01:56.600 --> 00:01:58.100]  一個群體
[00:01:58.100 --> 00:02:02.300]  但是對於你作為一個剛剛來了一段時間
[00:02:02.300 --> 00:02:07.700]  又或者是不算是對我們教會很熟悉的弟兄姊妹或者朋友來說
[00:02:07.700 --> 00:02:10.800]  你未必可以對SOL能夠認識很多
[00:02:10.800 --> 00:02:12.800]  所以今天我們很想借這個機會
[00:02:12.800 --> 00:02:16.300]  特別借助這段經文提到的主題信心
[00:02:16.300 --> 00:02:21.200]  來引伸如何讓你可以全方位的認識到我們
[00:02:21.200 --> 00:02:25.900]  每一位教會裡面的一些主要的使命
[00:02:25.900 --> 00:02:30.400]  和我們教會的歷史是怎樣
[00:02:30.400 --> 00:02:33.200]  教會這一站是一個很特別的位置
[00:02:33.200 --> 00:02:35.200]  不知道你同不同意
[00:02:35.200 --> 00:02:38.200]  隨著不同的政黨的轉移
[00:02:38.200 --> 00:02:41.400]  我記得我初初來英國的時候是1997年來的
[00:02:41.400 --> 00:02:43.400]  當時我還是很小的
[00:02:43.400 --> 00:02:48.400]  1997年的時候剛剛回歸沒多久就來到英國
[00:02:48.400 --> 00:02:50.400]  當時是哪個政黨說了算
[00:02:50.400 --> 00:02:52.400]  哪個政黨就是工黨說了算
[00:02:52.400 --> 00:02:55.400]  我記得還是Tony Blair來做首相
[00:02:55.400 --> 00:03:00.400]  現在已經淪落到都是工黨
