
[00:00:00.000 --> 00:00:03.080]  好 弟兄姐妹 平安 早晨
[00:00:03.080 --> 00:00:06.160]  好了 今天我們去思想一個題目
[00:00:06.160 --> 00:00:08.360]  就是什麼是真理
[00:00:08.360 --> 00:00:12.120]  這個題目本身我都想了一段時間
[00:00:12.120 --> 00:00:15.140]  似乎都是一個
[00:00:15.140 --> 00:00:18.800]  頗重要的問題 但也都是一個
[00:00:18.800 --> 00:00:21.880]  都在現在這個時代
[00:00:21.880 --> 00:00:23.920]  這個社會的當中
[00:00:23.920 --> 00:00:26.180]  大家都
[00:00:26.180 --> 00:00:29.900]  盡量都不想去談論一個問題
[00:00:30.060 --> 00:00:33.020]  為什麼這樣說呢 因為你都發覺
[00:00:33.020 --> 00:00:35.380]  現在真的太多假新聞了
[00:00:35.380 --> 00:00:38.240]  那些假新聞之餘
[00:00:38.240 --> 00:00:41.040]  還要有些就說是
[00:00:41.040 --> 00:00:42.560]  Fact check 即是說
[00:00:42.560 --> 00:00:45.240]  查核了那些假新聞
[00:00:45.240 --> 00:00:47.600]  但那些Fact check那些都是錯的
[00:00:47.600 --> 00:00:48.660]  還要有那些
[00:00:48.660 --> 00:00:51.880]  那是不是要再加些Fact check那些Fact checker呢
[00:00:51.880 --> 00:00:56.280]  可能那個再Fact check那些Fact checker可能都是假的
[00:00:56.280 --> 00:00:57.980]  所以根本
[00:00:57.980 --> 00:01:00.460]  你都不知道哪些是真 哪些是假的
[00:01:00.460 --> 00:01:03.360]  所以對於現代人而言
[00:01:03.360 --> 00:01:06.380]  真理是什麼這個問題本身呢
[00:01:06.380 --> 00:01:09.840]  是一個非常之困惑的問題
[00:01:09.840 --> 00:01:13.200]  所以甚至去到一個地步 其實差不多已經要Give up了
[00:01:13.200 --> 00:01:16.100]  已經要放棄了 算了
[00:01:16.100 --> 00:01:18.520]  不要問這個問題了 太複雜了
[00:01:18.520 --> 00:01:22.600]  或者根本太多假新聞 根本假到一個地步
[00:01:22.600 --> 00:01:26.200]  你好像全部都是沙一樣
[00:01:26.200 --> 00:01:35.420]  無法逐粒逐粒來去細看哪些是真 哪些是假
[00:01:35.420 --> 00:01:39.240]  所以對於真理 什麼是真理
[00:01:39.240 --> 00:01:40.560]  真理是什麼這個問題呢
[00:01:40.560 --> 00:01:43.640]  對於很多人來講都是一個
[00:01:43.640 --> 00:01:46.120]  算了
[00:01:46.120 --> 00:01:48.520]  這個世界都可能找不到真理的了
[00:01:48.520 --> 00:01:49.960]  都沒有真理的
[00:01:49.960 --> 00:01:54.500]  我記得有一次跟一個朋友去聊天
[00:01:54.780 --> 00:01:58.160]  他就是從那些極權國家那裡出來的
[00:01:58.160 --> 00:01:59.300]  那麼
[00:01:59.300 --> 00:02:03.660]  又是講真理這個字的時候
[00:02:03.660 --> 00:02:07.260]  他就說 你不要跟我說真理這個字
[00:02:07.260 --> 00:02:09.960]  我對真理有alleged的
[00:02:09.960 --> 00:02:12.120]  就是有敏感 有過敏
[00:02:12.120 --> 00:02:15.800]  為什麼我對真理這個字有過敏呢
[00:02:15.800 --> 00:02:18.820]  他說因為呢 他從小到大
[00:02:18.820 --> 00:02:20.900]  都看真理報的
[00:02:22.200 --> 00:02:26.800]  那麼你知道 真理報全部都是謊話
[00:02:26.800 --> 00:02:28.600]  全部都是publicender
[00:02:28.600 --> 00:02:31.560]  所以從小到大看真理報
[00:02:31.560 --> 00:02:35.460]  對於真理這個字一聽到就覺得是假的
