
[00:00:00.000 --> 00:00:03.000]  各位來賓 主內弟 兄姊妹 平安
[00:00:03.000 --> 00:00:06.000]  感謝主我們再有機會來到
[00:00:06.000 --> 00:00:08.000]  大家當中一起分享神的話語
[00:00:08.000 --> 00:00:11.000]  今天我們會繼續看
[00:00:11.000 --> 00:00:14.000]  我們的這個約書亞記系列的主題
[00:00:14.000 --> 00:00:16.000]  就是「同心跟隨神」
[00:00:16.000 --> 00:00:19.000]  我們怎樣在第二十二章那裡
[00:00:19.000 --> 00:00:22.000]  看到一個合一的證據呢
[00:00:22.000 --> 00:00:33.000]  我們在最近2015年的五月期間
[00:00:33.000 --> 00:00:39.000]  那時候科學雜誌有個封面的專題
[00:00:39.000 --> 00:00:43.000]  那個文章 研究文章就說
[00:00:43.000 --> 00:00:47.000]  所謂的Wise Theory 米飯理論
[00:00:47.000 --> 00:00:50.000]  這個心理學的研究
[00:00:50.000 --> 00:00:54.000]  就刊登在這個雜誌的封面頭條那裡
[00:00:54.000 --> 00:00:58.000]  這個理論是提到
[00:00:58.000 --> 00:01:02.000]  我們中國的文化怎樣影響中國人的性格
[00:01:02.000 --> 00:01:05.000]  就算是看到長江這條河
[00:01:05.000 --> 00:01:09.000]  將中國的內地分為南北兩部分
[00:01:09.000 --> 00:01:12.000]  這條河究竟這個分隔
[00:01:12.000 --> 00:01:18.000]  對我們中國人的性格 心理學上有什麼影響
[00:01:18.000 --> 00:01:21.000]  他們就做了一個研究
[00:01:21.000 --> 00:01:24.000]  我們在這個研究當中 調查
[00:01:24.000 --> 00:01:31.000]  研究人員就去了中國的六個地區
[00:01:31.000 --> 00:01:35.000]  去了北京 福建 廣東 雲南 四川 台南
[00:01:35.000 --> 00:01:40.000]  去調查究竟種米
[00:01:40.000 --> 00:01:44.000]  他的耕種的種類
[00:01:44.000 --> 00:01:48.000]  南邊種大米 北邊種小米
[00:01:48.000 --> 00:01:54.000]  究竟這個耕種原來的種植物
[00:01:54.000 --> 00:01:58.000]  原來對人性格有影響
[00:01:58.000 --> 00:02:02.000]  原來種米的是比較多人力的
[00:02:02.000 --> 00:02:04.000]  又要用很多水
[00:02:04.000 --> 00:02:07.000]  要大家有很大的合作關係
[00:02:07.000 --> 00:02:09.000]  結果 研究結果就說
[00:02:09.000 --> 00:02:12.000]  南方人 長江以南的人
[00:02:12.000 --> 00:02:17.000]  是比較互相配合的
[00:02:17.000 --> 00:02:19.000]  有合作的性格在當中
[00:02:19.000 --> 00:02:25.000]  至於北方人 因為耕種的農作物的緣故
[00:02:25.000 --> 00:02:27.000]  種植的緣故
[00:02:27.000 --> 00:02:33.000]  他們多數會有一種個人主義的自由的想法
[00:02:33.000 --> 00:02:35.000]  做處事的方法
[00:02:35.000 --> 00:02:37.000]  這個研究結果就很特別
[00:02:37.000 --> 00:02:41.000]  結果就刊登於科學雜誌的頭條新聞
[00:02:41.000 --> 00:02:45.000]  原來一條河的分隔
[00:02:45.000 --> 00:02:48.000]  可以做到這麼大的影響
[00:02:48.000 --> 00:02:52.000]  我們看到教會裏面
[00:02:52.000 --> 00:02:55.000]  我們在屬靈層面上
[00:02:55.000 --> 00:02:58.000]  我們每個弟兄姊妹都是神的兒女
[00:02:58.000 --> 00:03:02.000]  當我們接受主耶穌基督為我們救人救主的時候
[00:03:02.000 --> 00:03:07.000]  我們就在教會裏面成為一家人 連在一起
[00:03:07.000 --> 00:03:09.000]  我們看到經文的時候
[00:03:09.000 --> 00:03:13.000]  如果看到約書亞記的前面
[00:03:13.000 --> 00:03:16.000]  心靈記 約書亞記的時候
[00:03:16.000 --> 00:03:18.000]  我們都看到一個功課
[00:03:18.000 --> 00:03:22.000]  原來當時的十二支派 以色列人
[00:03:22.000 --> 00:03:24.000]  在約旦河西岸的時候
[00:03:24.000 --> 00:03:27.000]  摩西帶領到約旦河西岸的時候
[00:03:27.000 --> 00:03:33.000]  他們已經成功戰勝了阿摩利人
[00:03:33.000 --> 00:03:37.000]  阿摩利王西雲和巴山王鄂
[00:03:37.000 --> 00:03:39.000]  我們在文素記裏看得清楚
[00:03:39.000 --> 00:03:41.000]  但是他們分了地
[00:03:41.000 --> 00:03:43.000]  就剛才大家讀的經文
[00:03:43.000 --> 00:03:46.000]  劉變 迦德和馬拿西半個支派
[00:03:46.000 --> 00:03:48.000]  他們已經分了土地
[00:03:48.000 --> 00:03:51.000]  他們將要過約旦河
[00:03:51.000 --> 00:03:54.000]  他們將要過約旦河的時候
[00:03:54.000 --> 00:04:02.000]  這條河就是一個分開他們西面和東面的地方
[00:04:02.000 --> 00:04:05.000]  這條河究竟對他們有什麼影響呢
[00:04:05.000 --> 00:04:08.000]  是不是一個阻攔呢
[00:04:08.000 --> 00:04:10.000]  我們在今天的經文當中
[00:04:10.000 --> 00:04:17.000]  我們會從約書亞記22章查到
[00:04:17.000 --> 00:04:19.000]  我們看到以色列民十二支派
[00:04:19.000 --> 00:04:21.000]  如何能夠合一
[00:04:21.000 --> 00:04:25.000]  這個功課使我們能夠思考一個問題
[00:04:25.000 --> 00:04:29.000]  我們教會裏面有三個語言部
[00:04:29.000 --> 00:04:32.000]  有不同地區來的中國人
[00:04:32.000 --> 00:04:36.000]  東南亞 中國內地
[00:04:36.000 --> 00:04:42.000]  就算是台灣 菲律賓 澳門
[00:04:42.000 --> 00:04:45.000]  我們這班主內的弟兄姊妹
[00:04:45.000 --> 00:04:49.000]  我們怎樣可以操練教會合一
[00:04:49.000 --> 00:04:54.000]  我們怎樣不惹之為之一個合一的證據
[00:04:54.000 --> 00:04:58.000]  我們今天就從約書亞記22章一同學習
[00:04:58.000 --> 00:05:00.000]  怎樣去達成這個功課
[00:05:00.000 --> 00:05:02.000]  我們一起低頭祈禱
[00:05:02.000 --> 00:05:04.000]  我們的天父上帝我們感謝祢
[00:05:04.000 --> 00:05:08.000]  我們感謝祢藉著主耶穌基督十字架上的救恩
[00:05:08.000 --> 00:05:12.000]  使我們能夠連在一起成為神的兒女
[00:05:12.000 --> 00:05:14.000]  求祢藉著聖經的話語
[00:05:14.000 --> 00:05:17.000]  這個是寶貴的從實理而來的話語
[00:05:17.000 --> 00:05:19.000]  約書亞記當中
[00:05:19.000 --> 00:05:22.000]  學習到怎樣去明白這個真理
[00:05:22.000 --> 00:05:23.000]  求祢幫助我們
[00:05:23.000 --> 00:05:24.000]  打開我們的耳朵
[00:05:24.000 --> 00:05:26.000]  張開我們的眼睛
[00:05:26.000 --> 00:05:28.000]  使我們能夠聽得清楚
[00:05:28.000 --> 00:05:31.000]  看得明白祢對我們的心意
[00:05:31.000 --> 00:05:32.000]  我們以上的禱告
[00:05:32.000 --> 00:05:34.000]  是奉主耶穌得聖的名字祈求
[00:05:34.000 --> 00:05:36.000]  阿們
[00:05:36.000 --> 00:05:38.000]  這個故事
[00:05:38.000 --> 00:05:43.000]  可以看到我們在新明記十二章開始看到這個的時候
[00:05:43.000 --> 00:05:45.000]  他們提醒
[00:05:45.000 --> 00:05:49.000]  在新明記提醒這班以色列民
[00:05:49.000 --> 00:05:52.000]  他們敬拜的時候
[00:05:52.000 --> 00:05:55.000]  是神所指定的一個地方
[00:05:55.000 --> 00:05:58.000]  去指定他們這班以色列民
[00:05:58.000 --> 00:05:59.000]  在回眸那裡
[00:05:59.000 --> 00:06:01.000]  在壇那裡去敬拜
[00:06:01.000 --> 00:06:03.000]  去敬拜的時候是用梵祭
[00:06:03.000 --> 00:06:06.000]  或者其他的祭禮去敬拜
[00:06:06.000 --> 00:06:08.000]  梵祭去敬拜神
[00:06:08.000 --> 00:06:13.000]  這個是神透過摩西去和以色列民宣告的
[00:06:13.000 --> 00:06:15.000]  當我們看到第五章的時候
[00:06:15.000 --> 00:06:18.000]  我們
[00:06:18.000 --> 00:06:22.000]  二十二章的時候
[00:06:22.000 --> 00:06:24.000]  這個故事就提到
[00:06:24.000 --> 00:06:26.000]  原來約書亞
[00:06:26.000 --> 00:06:29.000]  他就將這個土地
[00:06:29.000 --> 00:06:34.000]  當他成功地在二十至二十一章的時候
[00:06:34.000 --> 00:06:37.000]  看到這班以色列民
[00:06:37.000 --> 00:06:40.000]  成功地佔領了很多迦南地方
[00:06:40.000 --> 00:06:47.000]  雖然他們還沒有完全佔領神鷹給他們的土地
[00:06:47.000 --> 00:06:50.000]  他都召了這班劉變人和迦德人
[00:06:50.000 --> 00:06:52.000]  馬來西半支派的人
[00:06:52.000 --> 00:06:54.000]  去面前說話
[00:06:54.000 --> 00:06:56.000]  這裡是二十二章
[00:06:56.000 --> 00:06:59.000]  因為他們經歷了七年多的時候
[00:06:59.000 --> 00:07:02.000]  他們過了約旦河大約已經七年
[00:07:02.000 --> 00:07:05.000]  這兩個半的支派
[00:07:05.000 --> 00:07:07.000]  他們本來已經得到土地
[00:07:07.000 --> 00:07:11.000]  但是這班的以色列民
[00:07:11.000 --> 00:07:16.000]  他們有一個被摩西約書亞提醒
[00:07:16.000 --> 00:07:19.000]  就說你們摩西吩咐他們的
[00:07:19.000 --> 00:07:21.000]  他們已經遵從
[00:07:21.000 --> 00:07:23.000]  摩西這樣吩咐他們
[00:07:23.000 --> 00:07:26.000]  摩西在文素記的時候吩咐他們
