
[00:00:00.000 --> 00:00:04.000]  領導人:各位聽衆,各位平安!我們一同有個禱告
[00:00:04.000 --> 00:00:12.000]  領導人:天父感謝你,今天早上讓我們在你面前有敬拜,有讚美
[00:00:12.000 --> 00:00:19.000]  領導人:我們在你面前的禱告,求你在這個時刻的臨在
[00:00:19.000 --> 00:00:26.000]  領導人:求主顯出你自己的榮耀,讓我們眾人從你話語裡再次有所領受
[00:00:27.000 --> 00:00:31.000]  領導人:願我們口裡的言語,心裡的意念都能蒙你悅納
[00:00:31.000 --> 00:00:36.000]  領導人:求你隨聽我們的禱告,奉耶穌名字祈求
[00:00:36.000 --> 00:00:40.000]  領導人:「彰顯神的榮耀」
[00:00:40.000 --> 00:00:46.000]  領導人:我想這個題目,我們個個都聽過
[00:00:46.000 --> 00:00:52.000]  領導人:甚至乎都覺得可能是一個口號,「彰顯神的榮耀」
[00:00:53.000 --> 00:00:58.000]  領導人:誰可以「彰顯神的榮耀」呢?我們今天看一段聖經的記載
[00:00:58.000 --> 00:01:03.000]  領導人:關於一個耶穌行的神蹟,然後在那個神蹟裡面
[00:01:03.000 --> 00:01:07.000]  領導人:我們再看看到底誰「彰顯神的榮耀」
[00:01:07.000 --> 00:01:13.000]  領導人:然後我們再看他為甚麼能夠「彰顯神的榮耀」
[00:01:13.000 --> 00:01:19.000]  領導人:最後再看我們自己有沒有「彰顯神的榮耀」
[00:01:20.000 --> 00:01:23.000]  領導人:大概是這三部分,好嗎?先看一段經文
[00:01:23.000 --> 00:01:26.000]  領導人:經文記載在約翰福音第九章
[00:01:26.000 --> 00:01:32.000]  領導人:我們一起讀好嗎?1,2,3
[00:01:32.000 --> 00:01:38.000]  領導人:耶穌走路的時候,看見一個生下來就是盲眼的人
[00:01:38.000 --> 00:01:46.000]  領導人:他的門徒問他,拉比,這人生下來就盲眼,是誰犯了罪?
[00:01:47.000 --> 00:01:50.000]  領導人:是誰呢?還是他的父母呢?
[00:01:50.000 --> 00:01:56.000]  領導人:耶穌回答,不是他犯了罪,也不是他的父母犯了罪
[00:01:56.000 --> 00:02:00.000]  領導人:而是要在他身上「彰顯神的作為」
[00:02:00.000 --> 00:02:08.000]  領導人:「趁著白日必須作那差遣我來者的工作,黑夜要來到」
[00:02:08.000 --> 00:02:15.000]  領導人:「到時就沒有人能做工了,我在世上的時候是世上的光」
[00:02:16.000 --> 00:02:20.000]  領導人:「說說了者說,就吐一口唾沫在地上」
[00:02:20.000 --> 00:02:27.000]  領導人:「弄鳥點泥巴,然後把泥巴抹在盲人的眼睛上」
[00:02:27.000 --> 00:02:31.000]  領導人:「對他說,你去西羅亞池洗一洗吧」
[00:02:31.000 --> 00:02:35.000]  領導人:「西羅亞池翻出來就是奉差洩派」
[00:02:35.000 --> 00:02:41.000]  領導人:「於是他就去,洗完了,回來的時候就看見了」
[00:02:42.000 --> 00:02:47.000]  領導人:「那時論人和以前常常見他黑土的人說」
[00:02:47.000 --> 00:02:51.000]  領導人:「這不是那一向坐著黑土的人嗎?」
[00:02:51.000 --> 00:02:57.000]  領導人:「有人說是他,又有人先說不是他,只是像他」
[00:02:57.000 --> 00:03:00.000]  領導人:「他自己說,是我」
[00:03:00.000 --> 00:03:05.000]  領導人:「他們就問他,你的眼睛是怎樣開的呢?」
[00:03:06.000 --> 00:03:12.000]  領導人:「那位名叫耶穌的人,弄鳥點泥巴,抹在我眼睛上」
[00:03:12.000 --> 00:03:16.000]  領導人:「對我說,你去西羅亞池洗一洗吧」
[00:03:16.000 --> 00:03:19.000]  領導人:「我去一洗,就看見了」
[00:03:19.000 --> 00:03:22.000]  領導人:「他們說,那人在哪裏?」
[00:03:22.000 --> 00:03:25.000]  領導人:「他說,我不知道」
[00:03:25.000 --> 00:03:31.000]  一個你都不知道的人,他勸你做些事,你就去做
[00:03:31.000 --> 00:03:34.000]  是不是?
[00:03:35.000 --> 00:03:38.000]  那麼,一個很簡單的問題
[00:03:38.000 --> 00:03:41.000]  這個盲的人是怎樣看到的?
[00:03:41.000 --> 00:03:49.000]  到底這段聖經是說一個神蹟,還是說什麼呢?
[00:03:49.000 --> 00:04:00.000]  當門徒們見到這個行乞的人,就是乞,說什麼土犯的人
[00:04:01.000 --> 00:04:05.000]  那麼他在那裏,門徒們一見到
[00:04:05.000 --> 00:04:08.000]  並沒有關心,因為他們做不到任何事
[00:04:08.000 --> 00:04:13.000]  只有問一件事,是一個人都會想的問題
[00:04:13.000 --> 00:04:16.000]  不一定是信耶穌人想的,普通人都會想的
[00:04:16.000 --> 00:04:22.000]  喂,他這輩子這樣,上一輩子到底搞些什麼?
[00:04:22.000 --> 00:04:26.000]  我們人都會講這個誤會
[00:04:26.000 --> 00:04:28.000]  以為信仰只是跟你解答一些問題
[00:04:29.000 --> 00:04:31.000]  怎樣做好事,怎樣不要做壞事
[00:04:31.000 --> 00:04:33.000]  怎樣好有好報,壞有壞報
[00:04:33.000 --> 00:04:35.000]  是不是那些東西?
[00:04:35.000 --> 00:04:40.000]  當門徒們問完之後,可能他們很得意的
[00:04:40.000 --> 00:04:43.000]  耶穌,你回答我吧
[00:04:43.000 --> 00:04:47.000]  在我自己個人的經歷中間
[00:04:47.000 --> 00:04:51.000]  我以前聽過,有些小孩一生出來就是盲眼
[00:04:52.000 --> 00:05:00.000]  主要原因是他的父母,可能是後來我聽親友這樣講
[00:05:00.000 --> 00:05:04.000]  是那個做丈夫的行為不檢
[00:05:04.000 --> 00:05:08.000]  於是惹到一些病,影響到女人,影響到太太
[00:05:08.000 --> 00:05:12.000]  太太在生產過程中間,寶寶出生的時候
[00:05:12.000 --> 00:05:16.000]  就受到污染,感染了,於是盲了
[00:05:19.000 --> 00:05:23.000]  我小時候聽過一些八卦
