
[00:00:00.000 --> 00:00:04.080]  我們今天的講題是新局面下的信徒生活
[00:00:04.080 --> 00:00:07.120]  什麼叫新局面呢?
[00:00:07.120 --> 00:00:11.040]  當然新局面其實就是在現有的處境
[00:00:11.040 --> 00:00:15.200]  加入新的元素開始
[00:00:15.200 --> 00:00:19.840]  現有的處境加入了新的元素就有新的局面
[00:00:19.840 --> 00:00:22.240]  那現有的處境例如怎樣呢?
[00:00:22.240 --> 00:00:25.760]  譬如說你現有的處境很餓,早上還沒吃早餐
[00:00:25.760 --> 00:00:30.000]  那你很想最後產生的改變就是很飽
[00:00:30.000 --> 00:00:32.000]  那你中間有什麼新的元素呢?
[00:00:32.000 --> 00:00:37.200]  吃東西啦,不會是吃西北風啦
[00:00:37.200 --> 00:00:39.680]  就是一會兒去吃東西,沒錯啦
[00:00:39.680 --> 00:00:44.560]  又或者如果你病了,你要加入什麼新的元素呢?
[00:00:44.560 --> 00:00:46.560]  你可以產生改變
[00:00:46.560 --> 00:00:48.560]  病了你要做什麼?
[00:00:48.560 --> 00:00:50.560]  看醫生啦,還有呢?
[00:00:50.560 --> 00:00:52.560]  吃藥啦,還有呢?
[00:00:52.560 --> 00:00:56.320]  休息最重要,休息啦
[00:00:56.320 --> 00:01:00.160]  還有在Facebook看到一位姊妹很有趣
[00:01:00.160 --> 00:01:04.640]  她說她最近很煩躁,很急躁
[00:01:04.640 --> 00:01:08.960]  她就說需要有療程,她是一位職業輔導員
[00:01:08.960 --> 00:01:10.640]  她有什麼療程就是新元素了
[00:01:10.640 --> 00:01:15.760]  她說她需要的是紅酒和芝士
[00:01:15.760 --> 00:01:18.240]  也是一樣的,你開懷一點
[00:01:18.240 --> 00:01:21.280]  有時候你覺得悶悶的
[00:01:21.280 --> 00:01:24.400]  陳牧師最喜歡看電影
[00:01:24.400 --> 00:01:28.000]  最近也看了很多電影,港產片也挺好看的
[00:01:28.000 --> 00:01:30.000]  你看看Facebook,還可以的
[00:01:30.000 --> 00:01:32.000]  看完又會開心一點
[00:01:32.000 --> 00:01:36.160]  當然我們在心靈裡面呼乾
[00:01:36.160 --> 00:01:38.640]  我們需要經歷著
[00:01:38.640 --> 00:01:41.680]  敬拜上帝,看聖經產生改變
[00:01:41.680 --> 00:01:44.720]  又或者大流行,其中一樣新的元素
[00:01:44.720 --> 00:01:47.840]  除了我們要戴口罩,洗手一定要做
[00:01:47.840 --> 00:01:50.960]  我們可能會想接種疫苗
[00:01:50.960 --> 00:01:54.640]  產生抗體,希望減低感染的機會
[00:01:54.640 --> 00:01:57.520]  我不是叫你接種疫苗,我是在說其中一點
[00:01:57.520 --> 00:01:59.280]  不過當我們接種疫苗
[00:01:59.280 --> 00:02:04.560]  我們知道產生結果前會有一段掙扎期
[00:02:04.560 --> 00:02:06.800]  可以嗎?有一段打仗期
[00:02:06.800 --> 00:02:09.200]  為什麼?因為你裡面的免疫能力
[00:02:09.200 --> 00:02:13.360]  在外面有東西打進來,你會產生震動
[00:02:13.360 --> 00:02:17.680]  3月我和何詩慕正正經歷這個震動
[00:02:17.680 --> 00:02:19.680]  因為接種疫苗的時候我也很害怕
[00:02:19.680 --> 00:02:23.360]  我怕會暈,怕會從此不起
[00:02:23.360 --> 00:02:25.600]  所以我們就問了岑醫
[00:02:25.600 --> 00:02:28.720]  岑醫跟我說,你先吃Panadol
[00:02:28.720 --> 00:02:31.360]  Panadol有用嗎?是啊,你不痛嘛
[00:02:31.360 --> 00:02:33.920]  於是我不但要吃Panadol
[00:02:33.920 --> 00:02:35.680]  我還要吃兩粒Panadol
[00:02:35.680 --> 00:02:39.920]  不單吃兩粒Panadol,還要吃兩粒強版的Panadol
[00:02:39.920 --> 00:02:42.160]  都不行,我還要帶我兒子去
[00:02:42.160 --> 00:02:46.800]  我怕我會暈,這些新的元素打進來
[00:02:46.800 --> 00:02:49.040]  我想大家都做不到我做的事情
[00:02:49.040 --> 00:02:51.920]  雖然大家都可能帶兒子,帶女兒,帶朋友去
[00:02:51.920 --> 00:02:57.360]  但是我竟然叫我兒子進去陪我打針,厲不厲害?
[00:02:57.360 --> 00:03:00.400]  是不行的嘛,為什麼不行呢?
[00:03:00.400 --> 00:03:02.160]  因為我說我怕暈
[00:03:02.160 --> 00:03:04.080]  他看我的樣子真的很不妥
[00:03:04.080 --> 00:03:05.760]  我真的很怕暈
[00:03:05.760 --> 00:03:08.720]  他說真的沒有位置,我很怕暈
[00:03:08.720 --> 00:03:10.400]  我洗了才有力
[00:03:10.400 --> 00:03:12.960]  好了好了,你進去吧
[00:03:12.960 --> 00:03:15.680]  結果我打完之後,有些反應
[00:03:15.680 --> 00:03:17.440]  開始全身有點滾
[00:03:17.440 --> 00:03:19.280]  我馬上WhatsApp岑依
[00:03:19.280 --> 00:03:23.680]  原來真的滾滾滾,岑依就說
[00:03:23.680 --> 00:03:27.120]  如果你認識岑依,你會知道待會說見證的三點
[00:03:27.120 --> 00:03:28.960]  她永遠都很開心
[00:03:28.960 --> 00:03:31.600]  沒事沒事,在我WhatsApp說
[00:03:31.600 --> 00:03:34.560]  身體的Inmune system正在工作
[00:03:34.560 --> 00:03:37.120]  我們免疫能力彈長
[00:03:37.120 --> 00:03:41.360]  結果我第二天左手是完全動不了的
[00:03:41.360 --> 00:03:42.400]  不過只是一天
[00:03:42.400 --> 00:03:43.840]  然後我老婆又說要打了
[00:03:43.840 --> 00:03:45.840]  我說老婆打不用找兒子了
[00:03:45.840 --> 00:03:47.840]  其實我們都是想黏兒子
[00:03:47.840 --> 00:03:49.840]  趁機有老公陪
[00:03:49.840 --> 00:03:52.960]  馬上拍張照,老公陪安不安心
[00:03:52.960 --> 00:03:55.440]  看來大家不太安心
[00:03:55.440 --> 00:03:57.440]  因為我打完兩天後到她
[00:03:57.440 --> 00:03:58.800]  她說你都暈了
[00:03:58.800 --> 00:04:00.960]  打完之後就給了岑依
[00:04:00.960 --> 00:04:03.600]  岑依就說Well done 師母
[00:04:03.600 --> 00:04:05.520]  我太太就裝聰明
[00:04:05.520 --> 00:04:06.800]  因為見到我不行
[00:04:06.800 --> 00:04:09.200]  我感覺還可以
[00:04:09.200 --> 00:04:10.800]  不過那一晚
[00:04:10.800 --> 00:04:12.880]  那一晚,就是那一晚
[00:04:12.880 --> 00:04:16.240]  她發現她提早睡覺
[00:04:16.240 --> 00:04:17.840]  九點已經睡了
[00:04:17.840 --> 00:04:19.840]  還要睡到第二天,七點
[00:04:19.840 --> 00:04:23.280]  完全昏迷了,因為真的很累
[00:04:23.280 --> 00:04:25.520]  新的局面
[00:04:25.520 --> 00:04:28.000]  現有的處境
[00:04:28.000 --> 00:04:31.760]  如果加入一些新的元素
[00:04:31.760 --> 00:04:35.200]  將會產生一個新的果效
[00:04:35.200 --> 00:04:38.640]  而且中間是有狀況的
[00:04:38.640 --> 00:04:40.000]  Amen?
[00:04:40.000 --> 00:04:41.360]  即是說甚麼呢?
[00:04:41.360 --> 00:04:44.640]  當日門徒和耶穌一起的時候
[00:04:44.640 --> 00:04:46.400]  本來現有的處境
[00:04:46.400 --> 00:04:48.720]  在當日混亂的世代
[00:04:48.720 --> 00:04:50.960]  好像很好
[00:04:50.960 --> 00:04:53.920]  誰知道那個新元素不是加東西
[00:04:53.920 --> 00:04:55.920]  是耶穌走人
[00:04:55.920 --> 00:04:57.760]  你明白嗎?
[00:04:57.760 --> 00:05:01.040]  就好像本來很穩妥
[00:05:01.040 --> 00:05:03.040]  但是不見了
[00:05:03.040 --> 00:05:06.720]  就好像如果你坐巴士
[00:05:06.720 --> 00:05:09.760]  突然你發現司機暈了
[00:05:09.760 --> 00:05:12.080]  那你會怎樣呢?
[00:05:12.080 --> 00:05:13.600]  你突然會很慌張
[00:05:13.600 --> 00:05:16.640]  這個新的元素不是加入,是走了
[00:05:16.640 --> 00:05:19.120]  於是我最近在想這篇道
[00:05:19.120 --> 00:05:20.480]  怎樣可以讓大家明白一點
[00:05:20.480 --> 00:05:21.600]  我就上網找
[00:05:21.600 --> 00:05:24.240]  如果坐巴士司機暈了怎麼做
[00:05:24.240 --> 00:05:26.000]  原來很多人回答
[00:05:26.000 --> 00:05:26.960]  這樣也有人做
[00:05:26.960 --> 00:05:28.640]  你說你的牧師多無聊
[00:05:28.640 --> 00:05:29.440]  有人說
[00:05:29.440 --> 00:05:31.920]  如果司機暈了你就拉手掣吧
[00:05:31.920 --> 00:05:33.280]  有人回答
[00:05:33.280 --> 00:05:34.960]  拉手掣很危險的
[00:05:34.960 --> 00:05:37.360]  如果車高速會翻車
[00:05:37.360 --> 00:05:38.480]  有人回答
[00:05:38.480 --> 00:05:41.360]  如果司機暈了你手要先關掉車匙
[00:05:41.360 --> 00:05:42.880]  讓他停下來
[00:05:42.880 --> 00:05:43.920]  有人回答
[00:05:43.920 --> 00:05:47.200]  現在新的巴士是沒有車匙的
[00:05:47.200 --> 00:05:48.560]  討論真的很有趣
[00:05:48.560 --> 00:05:49.280]  有人說
[00:05:49.280 --> 00:05:51.520]  如果暈了你先穩住軚盤
[00:05:51.520 --> 00:05:52.800]  有人說
[00:05:52.800 --> 00:05:56.560]  如果他壓到軚盤你怎樣穩呢?
[00:05:56.560 --> 00:05:58.320]  一些新的元素
[00:05:58.320 --> 00:06:02.560]  但是在表面上是很慌亂的
[00:06:02.560 --> 00:06:04.560]  等於什麼呢?
[00:06:04.560 --> 00:06:07.680]  當日當門徒聽到
[00:06:07.680 --> 00:06:12.560]  在約翰福音第十三章最後的晚餐
[00:06:12.560 --> 00:06:14.080]  我們今天才知道
[00:06:14.080 --> 00:06:16.160]  耶穌突然這樣說
[00:06:16.160 --> 00:06:18.080]  在那個情況裡面
[00:06:18.080 --> 00:06:19.120]  祂突然說了一件事
[00:06:19.120 --> 00:06:21.920]  祂說如今人子得榮耀多好啊
[00:06:21.920 --> 00:06:24.240]  想著得榮耀
[00:06:24.240 --> 00:06:25.840]  臣的人子
[00:06:25.840 --> 00:06:28.960]  臣在人子身上也得榮耀多好啊
[00:06:28.960 --> 00:06:31.440]  你想想得榮耀升職加薪
[00:06:31.440 --> 00:06:32.480]  多生一個
[00:06:32.480 --> 00:06:35.120]  很多人很安全去旅行
[00:06:35.120 --> 00:06:36.320]  接著還沒說完
[00:06:36.320 --> 00:06:37.760]  第三十三節
[00:06:37.760 --> 00:06:38.960]  小子們
[00:06:38.960 --> 00:06:42.960]  我還有不多的時候與你同在
[00:06:42.960 --> 00:06:44.960]  真的說什麼呢?
[00:06:44.960 --> 00:06:46.560]  他們聽一聽
[00:06:46.560 --> 00:06:48.560]  我相信他們很害怕
[00:06:48.560 --> 00:06:50.800]  樣子就好像這樣
[00:06:50.800 --> 00:06:52.400]  突然間聽到
[00:06:52.400 --> 00:06:54.720]  有時候你在iPhone收到消息
[00:06:54.720 --> 00:06:55.760]  突然間
[00:06:55.760 --> 00:06:57.360]  不是吧?
[00:06:57.360 --> 00:07:00.000]  又害怕又恐懼又不明白
[00:07:00.000 --> 00:07:01.840]  樣子傻傻的行不行?
[00:07:01.840 --> 00:07:03.120]  拍過很多次的
[00:07:03.120 --> 00:07:04.880]  給點掌聲就傻傻的
