
[00:00:00.000 --> 00:00:02.940]  跟隨神的人是會在這裏被掀起的
[00:00:02.940 --> 00:00:05.300]  跟隨神的人也有很多種類的
[00:00:05.300 --> 00:00:08.860]  老實說,今天當我們剛纔讀第八章一至二十一節
[00:00:08.860 --> 00:00:11.940]  希望你們還記住,讀完整篇都要掩蓋,很煩的
[00:00:11.940 --> 00:00:13.900]  你會發現一件事就是
[00:00:13.900 --> 00:00:18.060]  我準備的時候也很憂慮,因爲這裏應該可以講四篇左右的
[00:00:18.060 --> 00:00:21.440]  因爲一至三節已經是講跟隨耶穌的人了
[00:00:21.440 --> 00:00:24.740]  然後中間可能是大家耳熟能詳的"殺衆的比喻"
[00:00:24.740 --> 00:00:26.200]  "殺衆的比喻"聽過對不對?
[00:00:26.200 --> 00:00:28.100]  有沒有人教過呢?應該也會有對不對?
[00:00:28.100 --> 00:00:30.100]  也會有,再接着講什麼?
[00:00:30.100 --> 00:00:31.560]  "點燈的比喻"
[00:00:31.560 --> 00:00:34.440]  然後講到關於哪些是耶穌的親屬
[00:00:34.440 --> 00:00:35.680]  可以講四篇左右的
[00:00:35.680 --> 00:00:42.160]  不過這次不是要故作厲害或者強行講四篇
[00:00:42.160 --> 00:00:46.460]  而是當你將經文或者耶穌
[00:00:46.460 --> 00:00:48.460]  就是在聖經的序述裏面
[00:00:48.460 --> 00:00:50.460]  從來不要將它支離破碎
[00:00:50.460 --> 00:00:54.800]  當你發現路加的序述是將這件事四樣東西連在一起的時候
[00:00:54.800 --> 00:00:55.920]  成爲一個段落
[00:00:55.920 --> 00:01:01.280]  那就唯有一定要將這個段落的序述方法一次性講完
[00:01:01.280 --> 00:01:01.920]  OK 行不行?
[00:01:01.920 --> 00:01:04.560]  這裏好像在教書一樣
[00:01:04.560 --> 00:01:05.620]  但是現實也是
[00:01:05.620 --> 00:01:06.660]  因爲你會發現
[00:01:06.660 --> 00:01:07.560]  有機會再看
[00:01:07.560 --> 00:01:09.560]  我們很多時候講對觀福音
[00:01:09.560 --> 00:01:11.420]  哪三卷福音書啊?
[00:01:11.420 --> 00:01:12.940]  馬太、馬可、路加
[00:01:12.940 --> 00:01:14.320]  這三卷可以看來看去
[00:01:14.320 --> 00:01:15.980]  不過他們很多雷同
[00:01:15.980 --> 00:01:18.120]  一樣之餘有很多不同的
[00:01:18.120 --> 00:01:21.600]  不論經文內容的多少
[00:01:21.600 --> 00:01:23.320]  甚至次序的安排
