
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹 大家好
[00:00:03.000 --> 00:00:06.000]  或者我們都打個招呼 大家好
[00:00:06.000 --> 00:00:13.000]  教會的訊息其實過去幾年一直都有一個目標
[00:00:13.000 --> 00:00:22.000]  是和大家一卷一卷的書卷去讀
[00:00:22.000 --> 00:00:25.000]  盼望每一卷書卷都可以看一次
[00:00:31.000 --> 00:00:34.000]  舊約我們由創世紀開始
[00:00:34.000 --> 00:00:37.000]  其實我們已經讀過《摩西五經》
[00:00:37.000 --> 00:00:40.000]  《約書亞記》 《士詩記》 《魯德記》
[00:00:40.000 --> 00:00:50.000]  從今天去到7月
[00:00:50.000 --> 00:00:53.000]  我們就一起去看《薩姆爾記》
[00:00:58.000 --> 00:01:01.000]  我先問問大家 《薩姆爾記》是講什麼的呢
[00:01:01.000 --> 00:01:07.000]  大家有沒有想到
[00:01:07.000 --> 00:01:10.000]  《薩姆爾記》當然是講《薩姆爾》
[00:01:10.000 --> 00:01:16.000]  但是如果我們以為《薩姆爾記》只是講《薩姆爾》
[00:01:16.000 --> 00:01:19.000]  那我們又搞錯了
[00:01:19.000 --> 00:01:27.000]  因為整卷書下半部都不是講《薩姆爾》
[00:01:29.000 --> 00:01:32.000]  而是講以色列第一個王嫂羅
[00:01:32.000 --> 00:01:40.000]  所以《薩姆爾記》其實是以色列歷史的一個轉捩點
[00:01:40.000 --> 00:01:48.000]  象徵著以色列由一個族群慢慢變成一個國家
[00:01:48.000 --> 00:01:54.000]  《薩姆爾記》是講述以色列從一個族群變成一個國家
[00:01:58.000 --> 00:02:01.000]  《薩姆爾記》就是這個轉捩點的先知
[00:02:01.000 --> 00:02:08.000]  我們今天首先要去看看《薩姆爾》是怎樣被神呼召的
[00:02:08.000 --> 00:02:15.000]  正如剛才經文所說
[00:02:15.000 --> 00:02:18.000]  耶和華呼召了《薩姆爾》總共三次
[00:02:18.000 --> 00:02:24.000]  當時《薩姆爾》年紀還小
[00:02:25.000 --> 00:02:28.000]  它還未懂得分辨神的聲音
[00:02:28.000 --> 00:02:33.000]  它以為是自己的老師以利呼召自己
[00:02:33.000 --> 00:02:39.000]  到了第四次《薩姆爾》就懂得分辨
[00:02:39.000 --> 00:02:42.000]  它就說「僕人傾聽」
[00:02:42.000 --> 00:02:51.000]  我們或者會以為神是在這個時候才呼召《薩姆爾》
[00:02:56.000 --> 00:02:59.000]  但我更加想提出
[00:02:59.000 --> 00:03:03.000]  其實當《薩姆爾》仍然是一個搖籃當中的嬰孩的時候
[00:03:03.000 --> 00:03:06.000]  其實神已經簡選呼召它
[00:03:06.000 --> 00:03:15.000]  甚至乎《薩姆爾》還未出生
[00:03:15.000 --> 00:03:18.000]  其實神已經簡選呼召它
[00:03:18.000 --> 00:03:24.000]  所以如果我們想明白《薩姆爾記》
