
[00:00:00.000 --> 00:00:03.660]  今天講到一個題目是講靠不怕
[00:00:03.660 --> 00:00:06.820]  近來香港可以說是一個充滿不安
[00:00:06.820 --> 00:00:10.660]  跟常常讓人害怕的一個情況
[00:00:10.660 --> 00:00:14.660]  無論是在經濟上邊
[00:00:14.660 --> 00:00:17.460]  隨著大陸跟香港的經濟放緣
[00:00:17.460 --> 00:00:19.820]  全球的經濟也走下坡
[00:00:19.820 --> 00:00:22.820]  去年2015年底的時候
[00:00:22.820 --> 00:00:27.460]  瑞銀就是曾經預測過香港的房價
[00:00:27.460 --> 00:00:31.000]  將在明年就有一個下跌
[00:00:31.000 --> 00:00:33.100]  差不多下跌25%到30%
[00:00:33.100 --> 00:00:36.660]  不知道大家有沒有聽這個新聞報導
[00:00:36.660 --> 00:00:40.560]  就是現在有樓的人
[00:00:40.560 --> 00:00:41.700]  可能聽了這個消息
[00:00:41.700 --> 00:00:44.960]  不知道心情會不會受影響
[00:00:44.960 --> 00:00:50.460]  然後最近也發生了很多讓人不開心的事情
[00:00:50.460 --> 00:00:53.960]  譬如好像政府的管制
[00:00:53.960 --> 00:00:56.800]  甚至社會的分化
[00:00:56.800 --> 00:01:00.560]  還有就是非常高調的這種港獨的言論
[00:01:00.560 --> 00:01:04.400]  在議會裡邊就大吵大鬧
[00:01:04.400 --> 00:01:07.260]  拉布就是這種的情況
[00:01:07.260 --> 00:01:11.260]  都讓我們就也會為自己的未來
[00:01:11.260 --> 00:01:14.400]  為香港的未來擔心
[00:01:14.400 --> 00:01:17.660]  我想這種擔心也是害怕的一種
[00:01:17.660 --> 00:01:18.600]  然後另外呢
[00:01:18.600 --> 00:01:23.200]  不知道我們中間有沒有是從事教育界的
[00:01:23.200 --> 00:01:25.360]  或是做父母的
[00:01:25.360 --> 00:01:30.460]  眼看著今年就差不多有23個小孩輕生
[00:01:30.460 --> 00:01:33.800]  我想就是大家就是心中
[00:01:33.800 --> 00:01:37.860]  可能做父母的心中的壓力非常非常大
[00:01:37.860 --> 00:01:41.000]  我們彷彿就是生活在一種
[00:01:41.000 --> 00:01:44.120]  跟害怕離不開的一種文化裡邊
[00:01:44.120 --> 00:01:47.460]  基督徒也就是沒有例外
[00:01:47.460 --> 00:01:51.420]  不知道你是不是一個容易害怕的人
[00:01:51.420 --> 00:01:55.460]  可能你沒有就是不是說就是為到
[00:01:55.460 --> 00:01:59.100]  這些剛剛講到這些的事情擔憂
[00:01:59.100 --> 00:02:01.000]  可能就是有些人呢
[00:02:01.000 --> 00:02:04.520]  可能也會為自己的前途擔憂
[00:02:04.520 --> 00:02:06.020]  為自己的健康
[00:02:06.020 --> 00:02:07.960]  可能自己健康也不擔憂
[00:02:07.960 --> 00:02:11.600]  為自己所愛的人的健康擔心
[00:02:11.600 --> 00:02:13.420]  可能有時候我們也會有一些
[00:02:13.420 --> 00:02:16.820]  就是自己剛剛做了一些重大的決定
[00:02:16.820 --> 00:02:19.560]  就不知道自己所做的決定對不對
[00:02:19.560 --> 00:02:23.920]  這些事情也引起我們心情起伏
[00:02:23.920 --> 00:02:26.460]  甚至在人生經歷到
[00:02:26.460 --> 00:02:28.660]  常常會經歷到不同的階段
[00:02:28.660 --> 00:02:30.420]  有時候我們會經歷到
[00:02:30.420 --> 00:02:32.820]  大學畢業以後走進工作
[00:02:32.820 --> 00:02:35.600]  有時候是走就是
[00:02:35.600 --> 00:02:36.860]  就開始退休了以後
[00:02:36.860 --> 00:02:38.160]  工作了很多年
[00:02:38.160 --> 00:02:39.760]  進入退休的時間
[00:02:39.760 --> 00:02:42.300]  都是很多新的一種階段
[00:02:42.300 --> 00:02:45.300]  從單身走進了婚姻
[00:02:45.300 --> 00:02:49.720]  常常都是充滿這種有離開的壓力
[00:02:49.720 --> 00:02:52.000]  又走進了一個新的環境底下
[00:02:52.000 --> 00:02:55.360]  常常會擔心自己的應變能力
[00:02:55.360 --> 00:02:58.260]  抗壓能力夠不夠
[00:02:58.260 --> 00:02:59.860]  就是人就是這樣
[00:02:59.860 --> 00:03:01.360]  就是有很多的擔心
[00:03:01.360 --> 00:03:02.960]  有很多的害怕
[00:03:02.960 --> 00:03:04.460]  這種害怕呢
[00:03:04.460 --> 00:03:07.520]  其實可以說是一種非常強烈的情緒
[00:03:07.520 --> 00:03:09.800]  有時候令人很難受
[00:03:09.800 --> 00:03:10.800]  辦不了事
[00:03:10.800 --> 00:03:12.260]  辦不了好事
[00:03:12.260 --> 00:03:13.100]  那你會問
[00:03:13.100 --> 00:03:15.360]  為什麼上帝會讓人有害怕呢
[00:03:15.360 --> 00:03:18.500]  為什麼上帝讓世上會有害怕
[00:03:18.500 --> 00:03:24.820]  因為害怕也有它存在的原因
[00:03:24.820 --> 00:03:25.900]  害怕呢
[00:03:25.900 --> 00:03:27.920]  如果正面來看呢
[00:03:27.920 --> 00:03:28.520]  其實呢
[00:03:28.520 --> 00:03:31.060]  它可以讓我們避開很多危險的事
[00:03:31.060 --> 00:03:34.500]  或者是危險的人
[00:03:34.500 --> 00:03:36.060]  就好像
[00:03:36.060 --> 00:03:38.420]  如果好像我們身體有不舒服
[00:03:38.420 --> 00:03:41.060]  有一些小毛病
[00:03:41.060 --> 00:03:44.460]  如果真正的就是正視這個害怕的話
[00:03:44.460 --> 00:03:47.860]  我們會及早去找醫生來治
[00:03:47.860 --> 00:03:50.060]  感冒可能很多人不喜歡看醫生
[00:03:50.060 --> 00:03:52.120]  但有些人長期胃痛
[00:03:52.120 --> 00:03:57.500]  或者是長期某一些地方有毛病
[00:03:57.500 --> 00:03:59.620]  如果就拖延不去治
[00:03:59.620 --> 00:04:02.920]  這個會引起更大的毛病
[00:04:02.920 --> 00:04:07.560]  所以某程度上害怕是讓我們可以生存
[00:04:07.560 --> 00:04:08.400]  另外一方面呢
[00:04:08.400 --> 00:04:09.900]  在我們信徒方面
[00:04:09.900 --> 00:04:12.560]  害怕其實也起了非常好的作用
[00:04:12.560 --> 00:04:13.260]  因為呢
[00:04:13.260 --> 00:04:14.320]  如果一個信徒
[00:04:14.320 --> 00:04:19.300]  他就不懂得不害怕上帝
[00:04:19.300 --> 00:04:22.620]  就可能就會很隨便的去犯罪
[00:04:22.620 --> 00:04:24.600]  導致自己受害
[00:04:24.600 --> 00:04:26.400]  所以索羅門也說
[00:04:26.400 --> 00:04:29.420]  敬畏耶和華的遠離惡事
[00:04:29.420 --> 00:04:33.300]  這種敬畏就是一種正確的害怕
[00:04:33.300 --> 00:04:35.960]  所以害怕除了是保護我們
[00:04:35.960 --> 00:04:42.000]  也會激發我們的追求屬靈上的一個成長
[00:04:42.000 --> 00:04:45.400]  難怪有一個精神科的醫生就說
[00:04:45.400 --> 00:04:47.660]  害怕有點像血壓
[00:04:47.660 --> 00:04:50.120]  你沒有它的話你活不了
[00:04:50.120 --> 00:04:51.260]  但是呢
[00:04:51.260 --> 00:04:53.800]  當然如果過多的話
[00:04:53.800 --> 00:04:56.460]  那令人受損
[00:04:56.460 --> 00:04:57.960]  希望大家呢
[00:04:57.960 --> 00:05:00.260]  就在人生當中
[00:05:00.260 --> 00:05:02.960]  對害怕有一個正面的認識
[00:05:02.960 --> 00:05:07.420]  免得我們常常受過多的害怕影響
[00:05:07.420 --> 00:05:09.260]  這裡也要搞清楚
[00:05:09.260 --> 00:05:10.900]  就是我們當然呢
[00:05:10.900 --> 00:05:12.660]  是當我們感到害怕的時候
[00:05:12.660 --> 00:05:14.860]  並不是說我們懦弱
[00:05:14.860 --> 00:05:17.500]  或者是我們信心不夠
[00:05:17.500 --> 00:05:21.860]  因為每個人都會面對一些情況
