
[00:00:00.000 --> 00:00:01.540]  生命很特別
[00:00:01.540 --> 00:00:02.380]  因為
[00:00:02.380 --> 00:00:04.700]  你生命的經歷、生命的歷程
[00:00:04.700 --> 00:00:08.320]  會不會就是那個福音呢?
[00:00:08.320 --> 00:00:10.100]  當我們說傳福音
[00:00:10.100 --> 00:00:12.200]  職場的見證、職場的主人
[00:00:12.200 --> 00:00:14.800]  我們說的福音、傳福音
[00:00:14.800 --> 00:00:17.040]  是不是只有嘴巴的傳福音呢?
[00:00:17.040 --> 00:00:19.080]  今天傳福音
[00:00:19.080 --> 00:00:20.580]  你說難也行
[00:00:20.580 --> 00:00:22.120]  說容易也行
[00:00:22.120 --> 00:00:24.780]  特別是在香港這個城市裡面
[00:00:24.780 --> 00:00:28.700]  除了新來港人士之外
[00:00:28.700 --> 00:00:30.920]  基本上大家都聽過基督教
[00:00:30.920 --> 00:00:36.880]  我們八里神學院今年年初做的研究是在說
[00:00:36.880 --> 00:00:41.100]  原來在香港稱呼自己為基督徒的人
[00:00:41.100 --> 00:00:45.120]  可能是佔整個城市的人口接近百分之三十
[00:00:45.120 --> 00:00:46.900]  有沒有百分之二十九呢?
[00:00:46.900 --> 00:00:49.460]  但是教授的研究告訴我們
[00:00:49.460 --> 00:00:51.300]  每個星期天去教會崇拜的人
[00:00:51.300 --> 00:00:53.940]  是整個人口的大概 5% 左右
[00:00:53.940 --> 00:00:56.480]  那麼那 20% 多的人去了哪裡呢?
[00:00:57.000 --> 00:00:59.660]  我自己在大學裡面服侍的時候
[00:00:59.660 --> 00:01:01.260]  就是我自己讀大學的時候
[00:01:01.260 --> 00:01:03.620]  有一群弟兄姊妹有一起侍奉
[00:01:03.620 --> 00:01:06.780]  有一群朋友都說自己是基督徒
[00:01:06.780 --> 00:01:09.020]  那麼今天很多都沒有回教會
[00:01:09.020 --> 00:01:11.400]  所以我也覺得那個數字
[00:01:11.400 --> 00:01:13.400]  可能某程度上也是對的
[00:01:13.400 --> 00:01:16.340]  就是說是百分之二十的人
[00:01:16.340 --> 00:01:18.460]  稱自己為基督徒而不回教會
[00:01:18.460 --> 00:01:19.960]  當然有很多原因
[00:01:19.960 --> 00:01:22.380]  有些人聽完這個福音
[00:01:22.380 --> 00:01:24.960]  覺得主耶穌真的很好
[00:01:24.960 --> 00:01:25.740]  很吸引
[00:01:26.060 --> 00:01:27.640]  但是去過一下教會
[00:01:27.640 --> 00:01:28.720]  他又不再回
[00:01:28.720 --> 00:01:30.040]  有些就是
[00:01:30.040 --> 00:01:32.060]  嗯... 你說的基督教也很好的
[00:01:32.060 --> 00:01:35.440]  不過他眼見他的同事的行為
[00:01:35.440 --> 00:01:38.180]  他有點害怕
[00:01:38.180 --> 00:01:41.720]  成為這個信徒群體的一員
[00:01:41.720 --> 00:01:43.800]  我以前有一個老師這麼說
[00:01:43.800 --> 00:01:46.100]  基督徒是基督的罪人
[00:01:46.100 --> 00:01:47.300]  我經常記住這個話
[00:01:47.300 --> 00:01:49.080]  我有沒有做基督的罪人呢?
[00:01:49.080 --> 00:01:51.900]  意思是除了見證之外有沒有反見證呢?
[00:01:51.900 --> 00:01:53.100]  今天
