
[00:00:00.000 --> 00:00:01.160]  兄弟姊妹、各位朋友
[00:00:01.160 --> 00:00:01.900]  平安!
[00:00:01.900 --> 00:00:03.080]  今天我們的講題是
[00:00:03.080 --> 00:00:06.280]  《當耶穌遇上暴風中的生命》
[00:00:06.280 --> 00:00:09.320]  經文我相信很多人都會讀過的一段經文
[00:00:09.320 --> 00:00:13.400]  就是來自《馬克福音》第四章35到41節
[00:00:13.400 --> 00:00:15.440]  也是我們經常聽到的
[00:00:15.440 --> 00:00:17.980]  平靜風和海的故事
[00:00:17.980 --> 00:00:19.240]  最近我們都知道
[00:00:19.240 --> 00:00:20.340]  世界有不同的地方
[00:00:20.340 --> 00:00:22.600]  都出現不同程度的水災
[00:00:22.600 --> 00:00:23.860]  歐洲很多地方
[00:00:23.860 --> 00:00:25.120]  包括英國的倫敦
[00:00:25.120 --> 00:00:28.840]  都出現了因爲大雨而造成的嚴重水浸事件
[00:00:28.840 --> 00:00:31.920]  而中國更加有風災、有水災
[00:00:31.920 --> 00:00:36.640]  而且極有可能是來自排洪而導致的一些嚴重事件
[00:00:36.640 --> 00:00:38.920]  你見到在地鐵站裏的車廂
[00:00:38.920 --> 00:00:40.200]  水深達腰
[00:00:40.200 --> 00:00:41.840]  甚至脖子
[00:00:41.840 --> 00:00:45.400]  在多條隧道都出現了嚴重性災難的事故
[00:00:45.400 --> 00:00:46.920]  其中幾個訪問中
[00:00:46.920 --> 00:00:48.040]  我們聽到他們描述
[00:00:48.040 --> 00:00:49.920]  他們在那一剎那裏
[00:00:49.920 --> 00:00:52.000]  見證到人間的地獄
[00:00:52.000 --> 00:00:54.560]  講到他們如何逃出生天的經過
[00:00:54.560 --> 00:00:57.480]  但不少人就沒有他們那麼幸運
[00:00:57.480 --> 00:00:59.720]  不是失蹤而是淹死
[00:00:59.720 --> 00:01:00.880]  一剎那間
[00:01:00.880 --> 00:01:03.200]  無論是天災還是人禍都好
[00:01:03.200 --> 00:01:05.400]  造成了無數生命的損失
[00:01:05.400 --> 00:01:08.040]  造成了不知多少家庭的悲劇
[00:01:08.040 --> 00:01:10.280]  今天我們看的這一段經文
[00:01:10.280 --> 00:01:14.560]  就提到一件瞬間發生的大水事件
[00:01:14.560 --> 00:01:17.800]  不少人都牽涉在這一件風災
[00:01:17.800 --> 00:01:20.440]  暴風的事件當中
