
[00:00:00.000 --> 00:00:08.000]  今日正度嘅經文記載喺尼希米記嘅第九章三十八節到十章三十一節
[00:00:08.000 --> 00:00:13.000]  咁喺大家嘅程序表裏面節錄咗啲經文
[00:00:13.000 --> 00:00:16.000]  由九章三十八到十章三
[00:00:16.000 --> 00:00:19.000]  跟住第八到十節 十四節
[00:00:19.000 --> 00:00:22.000]  然後廿八到三十一節
[00:00:22.000 --> 00:00:25.000]  咁冇印出嚟畀大家
[00:00:25.000 --> 00:00:28.000]  嗰啲都係一啲嘅人名
[00:00:28.000 --> 00:00:31.000]  咁但係我哋都一齊讀一讀
[00:00:31.000 --> 00:00:33.000]  今日嘅經文 好唔好
[00:00:33.000 --> 00:00:37.000]  我哋讀一讀九章三十八到十章三節先
[00:00:37.000 --> 00:00:41.000]  然後之後呢就讀廿八到三十一節 好唔好
[00:00:41.000 --> 00:00:45.000]  咁我請會眾一同讀九章三十八到十章三節
[00:00:45.000 --> 00:00:46.000]  預備起
[00:00:46.000 --> 00:00:50.000]  因這一切 我哋立確實的約
[00:00:50.000 --> 00:00:52.000]  寫在冊上
[00:00:52.000 --> 00:00:57.000]  我哋的領袖 利美人和祭司都用了印
[00:00:57.000 --> 00:01:01.000]  用印的是哈加利亞的兒子
[00:01:01.000 --> 00:01:04.000]  尼希米省長 西底加
[00:01:04.000 --> 00:01:08.000]  還有西萊亞 阿薩利亞 耶利米
[00:01:08.000 --> 00:01:13.000]  巴斯胡爾 阿瑪利亞 馬基雅
[00:01:13.000 --> 00:01:17.000]  跟住我哋讀廿八到三十一節
[00:01:17.000 --> 00:01:18.000]  預備起
[00:01:18.000 --> 00:01:22.000]  其餘的百姓 祭司 利美人
[00:01:22.000 --> 00:01:26.000]  門口的守衛 歌唱的 電影
[00:01:26.000 --> 00:01:29.000]  所有與倫邦民族分別出來
[00:01:29.000 --> 00:01:31.000]  歸服神律法的
[00:01:31.000 --> 00:01:34.000]  以及他們的妻子 兒女
[00:01:34.000 --> 00:01:37.000]  凡有知識 都明白的
[00:01:37.000 --> 00:01:42.000]  都隨從他們貴族的弟兄 發奏喜誓
[00:01:42.000 --> 00:01:47.000]  要遵行神職他僕人摩西所賜的律法
[00:01:47.000 --> 00:01:53.000]  謹守遵行要求我們主的一切誡命 典章 律例
[00:01:53.000 --> 00:01:58.000]  我們不把他們的兒女兒嫁給這地的居民
[00:01:58.000 --> 00:02:02.000]  也不為我們的兒子取他們的女兒
[00:02:02.000 --> 00:02:07.000]  這地的民族若在安息日或什麼聖日
[00:02:07.000 --> 00:02:10.000]  帶了貨物或糧食來賣
[00:02:10.000 --> 00:02:12.000]  我們必不買
[00:02:12.000 --> 00:02:15.000]  每逢第七年必不耕種
[00:02:15.000 --> 00:02:19.000]  凡欠我們債的必不追討
[00:02:19.000 --> 00:02:22.000]  我們再一次在神面前祈禱
[00:02:22.000 --> 00:02:27.000]  求聖靈引導我們去明白祂的話語
[00:02:27.000 --> 00:02:30.000]  我們祈禱一下
[00:02:30.000 --> 00:02:34.000]  慈悲的天父 斯路保羅說過
[00:02:34.000 --> 00:02:38.000]  聖經都是神理所默示
[00:02:38.000 --> 00:02:42.000]  整個舊約聖經所記下的每一段經文
[00:02:42.000 --> 00:02:46.000]  都是要教導我們 督察我們
[00:02:46.000 --> 00:02:50.000]  使我們歸正 教導我們學義
[00:02:50.000 --> 00:02:55.000]  叫我們預備去行神想我們做的各樣善事
[00:02:55.000 --> 00:02:59.000]  主求祢讓我們珍惜祢的話語
[00:02:59.000 --> 00:03:04.000]  我知道很多地方的人都未有完整的聖經
[00:03:04.000 --> 00:03:08.000]  甚至他們不能讀聖經
[00:03:08.000 --> 00:03:10.000]  但今次我們在香港
[00:03:10.000 --> 00:03:13.000]  我們可以用很多不同的方法
[00:03:13.000 --> 00:03:17.000]  我們擁有很多的版本
[00:03:17.000 --> 00:03:20.000]  主求祢幫我們我們擁有聖經
[00:03:20.000 --> 00:03:24.000]  但我們未必真的明白真理
[00:03:24.000 --> 00:03:27.000]  因為如果我們真的有實踐真理
[00:03:27.000 --> 00:03:31.000]  真理就會使我們生命有改變
[00:03:31.000 --> 00:03:36.000]  求祢幫我們真正衛生在主祢身上
[00:03:36.000 --> 00:03:40.000]  真正生命依靠祢去改變
[00:03:40.000 --> 00:03:43.000]  衛生與祢同行 衛生在教會
