
[00:00:00.000 --> 00:00:02.000]  親愛的姐妹們 早安
[00:00:02.000 --> 00:00:04.000]  讓我們一起低頭禱告
[00:00:04.000 --> 00:00:08.000]  親愛的天父
[00:00:08.000 --> 00:00:10.000]  感謝你招聚我們相聚
[00:00:10.000 --> 00:00:12.000]  聽你話語
[00:00:12.000 --> 00:00:14.000]  求你引領我們的心
[00:00:14.000 --> 00:00:16.000]  降伏在你的面前
[00:00:16.000 --> 00:00:18.000]  讓我們的心藉著你話語的提醒
[00:00:18.000 --> 00:00:20.000]  被你根深
[00:00:20.000 --> 00:00:21.000]  我們這樣禱告
[00:00:21.000 --> 00:00:23.000]  是奉主耶穌基督的名字祈求
[00:00:23.000 --> 00:00:25.000]  阿們
[00:00:25.000 --> 00:00:28.000]  記得我從小到大
[00:00:28.000 --> 00:00:30.000]  無論是學生時期
[00:00:30.000 --> 00:00:32.000]  去到健康院做身體檢查
[00:00:32.000 --> 00:00:34.000]  還是我長大了
[00:00:34.000 --> 00:00:36.000]  要去做不同的身體檢查
[00:00:36.000 --> 00:00:38.000]  我都記得去到這些地方
[00:00:38.000 --> 00:00:40.000]  大家都可能是這樣
[00:00:40.000 --> 00:00:42.000]  姑娘通常會先幫我量血壓
[00:00:42.000 --> 00:00:44.000]  不過我自己
[00:00:44.000 --> 00:00:46.000]  這些時候十之八九
[00:00:46.000 --> 00:00:48.000]  我量血壓
[00:00:48.000 --> 00:00:50.000]  那個數字都是比較偏高
[00:00:50.000 --> 00:00:52.000]  我不知道是不是因為
[00:00:52.000 --> 00:00:54.000]  我去檢查之前可能走得快
[00:00:54.000 --> 00:00:56.000]  還是我喝了咖啡 茶之類
[00:00:56.000 --> 00:00:58.000]  還是我可能真的有什麼健康問題
[00:00:58.000 --> 00:01:00.000]  反正這個時候
[00:01:00.000 --> 00:01:02.000]  那些姑娘就會說
[00:01:02.000 --> 00:01:04.000]  你這麼年輕不會有高血壓
[00:01:04.000 --> 00:01:06.000]  出來坐十五分鐘再來量過
[00:01:06.000 --> 00:01:08.000]  如是者出去坐十五分鐘
[00:01:08.000 --> 00:01:10.000]  如果量了之後
[00:01:10.000 --> 00:01:12.000]  還是超過指標的話
[00:01:12.000 --> 00:01:14.000]  姑娘又說
[00:01:14.000 --> 00:01:16.000]  坐十五分鐘再來量過
[00:01:16.000 --> 00:01:18.000]  如是者量幾次之後
[00:01:18.000 --> 00:01:20.000]  去到數字正常一點
[00:01:20.000 --> 00:01:22.000]  姑娘就會說
[00:01:22.000 --> 00:01:24.000]  可以下一個程序
[00:01:24.000 --> 00:01:26.000]  我想去做身體檢查
[00:01:26.000 --> 00:01:28.000]  姑娘幫我量血壓
[00:01:28.000 --> 00:01:30.000]  大概是想看看
[00:01:30.000 --> 00:01:32.000]  我身體初步的狀況
[00:01:32.000 --> 00:01:34.000]  大概有個印象
[00:01:34.000 --> 00:01:36.000]  我想大家都一樣
[00:01:36.000 --> 00:01:38.000]  去這些醫療場所
[00:01:38.000 --> 00:01:40.000]  都會有人幫你量一下血壓
[00:01:40.000 --> 00:01:42.000]  量一下脈搏呼吸速度等等
[00:01:42.000 --> 00:01:44.000]  這些很明顯都是
[00:01:44.000 --> 00:01:46.000]  同樣想初步判斷一下
[00:01:46.000 --> 00:01:48.000]  究竟我們身體是什麼狀況
[00:01:48.000 --> 00:01:50.000]  有沒有什麼很大的徵狀
[00:01:50.000 --> 00:01:52.000]  有些很大的問題
[00:01:52.000 --> 00:01:54.000]  這些量度的指標
[00:01:54.000 --> 00:01:56.000]  他們原來有個學名
[00:01:56.000 --> 00:01:58.000]  叫做生命表徵
[00:01:58.000 --> 00:02:00.000]  就是說這些血壓
[00:02:00.000 --> 00:02:02.000]  這些體溫
[00:02:02.000 --> 00:02:04.000]  意思就是量度這些生命表徵
[00:02:04.000 --> 00:02:06.000]  就可以初步看看你身體機能
[00:02:06.000 --> 00:02:08.000]  運作得正不正常
[00:02:08.000 --> 00:02:10.000]  看看有沒有一些跡象
[00:02:10.000 --> 00:02:12.000]  反映一些背後的健康問題
[00:02:12.000 --> 00:02:14.000]  我們的身體
[00:02:14.000 --> 00:02:16.000]  有這些生命表徵
