
[00:00:00.000 --> 00:00:03.520]  那時候回教會開小組 有一個情況
[00:00:03.520 --> 00:00:05.880]  就是當組長問組員
[00:00:05.880 --> 00:00:09.800]  「頂姊妹 你這一陣子有什麼領袖啊」
[00:00:09.800 --> 00:00:11.680]  「神有什麼要跟你說啊」
[00:00:11.680 --> 00:00:13.320]  「有什麼經歷啊」
[00:00:13.320 --> 00:00:15.760]  「分享一下啊」這樣
[00:00:15.760 --> 00:00:18.360]  接著下一個鏡頭呢
[00:00:18.360 --> 00:00:20.680]  就是大家都低著頭
[00:00:20.680 --> 00:00:22.800]  不敢看那個組長
[00:00:22.800 --> 00:00:24.800]  握手機
[00:00:24.800 --> 00:00:26.240]  不出聲
[00:00:26.240 --> 00:00:27.400]  組長明白了
[00:00:27.400 --> 00:00:29.840]  大概大家都說「不要問我啊」
[00:00:29.840 --> 00:00:30.840]  「我沒什麼要說的啊」
[00:00:30.840 --> 00:00:32.120]  「不要分享啊」
[00:00:32.120 --> 00:00:34.200]  「遞位吧」這樣
[00:00:34.200 --> 00:00:36.200]  那個時候也是這樣
[00:00:36.200 --> 00:00:38.000]  但是是不是這樣呢
[00:00:38.000 --> 00:00:40.480]  在詩篇139篇17節
[00:00:40.480 --> 00:00:41.960]  那裡這樣說
[00:00:41.960 --> 00:00:43.320]  「死影說 神啊」
[00:00:43.320 --> 00:00:45.920]  「你的意念向我何等寶貴」
[00:00:45.920 --> 00:00:48.680]  「其數何等眾多」
[00:00:48.680 --> 00:00:51.960]  「若我若數點比凱撒更多」
[00:00:51.960 --> 00:00:55.240]  在《約翰福音》十章主話這樣說
[00:00:55.240 --> 00:00:57.040]  「我們是神的羊」
[00:00:57.040 --> 00:00:58.720]  「我們跟隨耶穌」
[00:00:58.720 --> 00:01:02.320]  「我們認得主的聲音」
[00:01:02.320 --> 00:01:04.680]  大概大家都經歷過
[00:01:04.680 --> 00:01:06.240]  在靈修當中
[00:01:06.240 --> 00:01:08.760]  突然間一句金句走出來
[00:01:08.760 --> 00:01:10.400]  「很適合你」
[00:01:10.400 --> 00:01:12.440]  「很覺得神在說話」
[00:01:12.440 --> 00:01:14.920]  這些是神給你的經歷
[00:01:14.920 --> 00:01:16.120]  在敬拜當中
[00:01:16.120 --> 00:01:17.720]  一句歌詞
[00:01:17.720 --> 00:01:19.640]  「神好大臨在」
[00:01:19.640 --> 00:01:21.360]  「覺得神好愛我」
[00:01:21.360 --> 00:01:23.640]  是神給你的經歷
[00:01:23.640 --> 00:01:25.560]  或者你逛一逛街
[00:01:25.560 --> 00:01:28.000]  或者逛公園 去沙灘
[00:01:28.000 --> 00:01:29.240]  逛一逛山
[00:01:29.240 --> 00:01:30.680]  望到大自然
[00:01:30.680 --> 00:01:32.640]  覺得神好近
[00:01:32.640 --> 00:01:35.000]  「適合跟你說話」
[00:01:35.000 --> 00:01:36.560]  又或者當你生命
[00:01:36.560 --> 00:01:39.000]  去到一些轉折位
[00:01:39.000 --> 00:01:40.280]  遇到一些艱難
[00:01:40.280 --> 00:01:42.120]  一些難處
[00:01:42.120 --> 00:01:44.680]  可能是工作出現問題
[00:01:44.680 --> 00:01:46.720]  沒有工作 失業
[00:01:46.720 --> 00:01:48.920]  婚姻有些狀況
[00:01:48.920 --> 00:01:51.040]  或者親人過世
[00:01:51.040 --> 00:01:53.360]  或者你的醫生跟你說
[00:01:53.360 --> 00:01:55.600]  「麥先生 麥小姐」
[00:01:55.600 --> 00:01:57.800]  「你的報告不是那麼好」
[00:01:57.800 --> 00:02:01.240]  「懷疑你有些嚴重的病」等等
[00:02:01.240 --> 00:02:03.600]  或者你的工作困難
[00:02:03.600 --> 00:02:05.520]  經濟的問題
[00:02:05.520 --> 00:02:07.000]  你那些時候
[00:02:07.000 --> 00:02:09.640]  遇到一些危機
[00:02:09.640 --> 00:02:11.040]  就呼求神
