
[00:00:00.000 --> 00:00:02.760]  給我們一個敬拜、讚美祢的心
[00:00:02.760 --> 00:00:05.240]  今天我們所呈現的就是
[00:00:05.240 --> 00:00:08.240]  我們來到祢面前去闖開我們的生命
[00:00:08.240 --> 00:00:10.600]  闖開我們的心、闖開我們的靈
[00:00:10.600 --> 00:00:12.280]  請我們讚美祢
[00:00:12.280 --> 00:00:15.800]  我們歡迎聖靈在我們生命裏面有工作
[00:00:15.800 --> 00:00:18.240]  所以今天我們邀請聖靈跟我們講說話
[00:00:18.240 --> 00:00:20.160]  我們不要人講的說話
[00:00:20.160 --> 00:00:22.760]  我們要聖靈跟我們的心、跟我們的靈
[00:00:22.760 --> 00:00:25.720]  講出祢自己明白我們的說話
[00:00:25.720 --> 00:00:28.640]  祢了解、接納我們的說話
[00:00:28.640 --> 00:00:30.400]  鼓勵我們的說話
[00:00:30.400 --> 00:00:31.960]  主要是帶領我們的主
[00:00:31.960 --> 00:00:33.720]  進入祢的同在裏面
[00:00:33.720 --> 00:00:34.720]  我們奉耶穌基督的名
[00:00:34.720 --> 00:00:36.040]  吩咐一切不屬於耶穌的
[00:00:36.040 --> 00:00:37.160]  都離開這個地方
[00:00:37.160 --> 00:00:38.440]  離開這盞影子妹
[00:00:38.440 --> 00:00:41.840]  主要是願祢在我們當中
[00:00:41.840 --> 00:00:43.560]  求祢在我們當中
[00:00:43.560 --> 00:00:46.280]  歡迎祢在我們當中
[00:00:46.280 --> 00:00:47.960]  讓我們分別為聖貴向祢
[00:00:47.960 --> 00:00:49.760]  多謝祢聽我們的禱告
[00:00:49.760 --> 00:00:51.680]  奉耶穌基督得聖一命
[00:00:51.680 --> 00:00:52.160]  Amen
[00:00:52.160 --> 00:00:53.400]  請姐妹請坐
[00:00:56.760 --> 00:01:01.920]  圖裏面這張照片就是美國前總統卡特
[00:01:01.920 --> 00:01:04.520]  在卡特未成為喬治亞州州長的時候
[00:01:04.520 --> 00:01:07.680]  他的教會是一個主日學老師
[00:01:07.680 --> 00:01:10.800]  但他後來成為喬治亞州州長
[00:01:10.800 --> 00:01:14.280]  他仍然繼續在他的教會教主日學
[00:01:14.280 --> 00:01:16.240]  成為主日學老師
[00:01:16.240 --> 00:01:19.600]  1977年他成為美國總統
[00:01:19.600 --> 00:01:22.200]  大家可能都知道、猜到
[00:01:22.200 --> 00:01:24.720]  美國總統是超級忙碌的
[00:01:24.720 --> 00:01:27.960]  但他仍然堅持每個星期日
[00:01:27.960 --> 00:01:30.680]  回到教會崇拜
[00:01:30.680 --> 00:01:34.560]  他無論去任何地方訪問
[00:01:34.560 --> 00:01:36.240]  他都要求每個星期日
[00:01:36.240 --> 00:01:40.240]  去到當地的教會敬拜神
[00:01:40.240 --> 00:01:42.040]  在1981年
[00:01:42.040 --> 00:01:43.760]  他不再連任
[00:01:43.760 --> 00:01:47.840]  本來有很多公職、很多財路、很多發財的機會等他
[00:01:47.840 --> 00:01:51.160]  但他仍然回到自己的教會
[00:01:51.160 --> 00:01:53.720]  做一個主日學老師
[00:01:53.720 --> 00:01:57.960]  在當時的美國總統是世界上權力最大的人
[00:01:57.960 --> 00:02:00.320]  隨時可以制裁誰就制裁誰
[00:02:00.320 --> 00:02:02.240]  入侵哪裏就入侵哪裏
[00:02:02.240 --> 00:02:04.600]  他可以發動核戰毀滅全世界
[00:02:04.600 --> 00:02:10.240]  但每當一個重大的決定臨到卡特的時候
[00:02:10.240 --> 00:02:15.000]  他第一個動作必定會跪下禱告
[00:02:15.000 --> 00:02:19.000]  「主啊,讓不是我們的旨意」
[00:02:19.000 --> 00:02:22.880]  「不是我和我幕僚的決定去成就」
[00:02:22.880 --> 00:02:26.280]  「讓我和我幕僚所決定的事」
[00:02:26.280 --> 00:02:28.720]  「我們所想法、我們計劃的事」
[00:02:28.720 --> 00:02:33.000]  「是由聖靈帶領去做一個你所喜於的決定」
[00:02:33.000 --> 00:02:34.160]  可能有人會說:
[00:02:34.160 --> 00:02:37.960]  「做戲而已,大家作個狀出來扮給別人看」
[00:02:37.960 --> 00:02:42.400]  但白宮幕僚的隨緣和家人可以做一個證人
[00:02:42.400 --> 00:02:43.840]  做一個見證
[00:02:43.840 --> 00:02:46.400]  卡特的為人、他的生平
[00:02:46.400 --> 00:02:49.720]  就是真是一個倚靠神的人
[00:02:49.720 --> 00:02:54.000]  卡特的信念告訴我們一個真理
[00:02:54.000 --> 00:02:56.600]  我們一起看撒加利亞書四章六節
[00:02:56.600 --> 00:02:57.640]  第一節我們一起讀
[00:02:57.640 --> 00:02:58.800]  1、2、3
[00:02:58.800 --> 00:03:02.440]  「不是倚靠勢力,不是倚靠才能」
[00:03:02.440 --> 00:03:06.240]  「乃是倚靠我的靈,方能成事」
[00:03:06.240 --> 00:03:10.520]  世界上一切的智慧、一切的努力、一切的財力
