
[00:00:00.000 --> 00:00:02.300]  我們有個祈禱然後才開始
[00:00:02.300 --> 00:00:05.420]  希望我們再一次感謝祢
[00:00:05.420 --> 00:00:06.700]  讓我們可以敬拜祢
[00:00:06.700 --> 00:00:09.020]  在祢的話語裏面去思想
[00:00:09.020 --> 00:00:11.020]  彼此教導、勉勵
[00:00:11.020 --> 00:00:13.100]  主求祢的靈願我們同在
[00:00:13.100 --> 00:00:15.600]  引導我們明白祢的話
[00:00:15.600 --> 00:00:17.600]  又願意遵循祢的話
[00:00:17.600 --> 00:00:19.320]  我們深相信
[00:00:19.320 --> 00:00:21.320]  我們行祢的話
[00:00:21.320 --> 00:00:22.700]  我們會蒙福
[00:00:22.700 --> 00:00:25.420]  我們所服侍的人都會蒙福
[00:00:25.420 --> 00:00:27.100]  我們再一次仰望祢
[00:00:27.100 --> 00:00:28.900]  奉耶穌基督的聖名
[00:00:28.900 --> 00:00:30.900]  阿彌陀佛
[00:00:30.900 --> 00:00:32.900]  早前我搬屋
[00:00:32.900 --> 00:00:36.900]  搬屋就是要裝修新居
[00:00:36.900 --> 00:00:40.900]  但是有些裝修因為延誤了
[00:00:40.900 --> 00:00:42.900]  到我搬進去之後
[00:00:42.900 --> 00:00:45.900]  就繼續都要去裝修、做一些傢俬
[00:00:45.900 --> 00:00:48.900]  有些傢俬要在外面走廊做
[00:00:48.900 --> 00:00:50.900]  在門口那裏做
[00:00:50.900 --> 00:00:52.900]  又要搬、又要鑽
[00:00:52.900 --> 00:00:58.900]  我們覺得搞到隔離的鄰居非常不便
[00:00:58.900 --> 00:01:01.900]  他們的門又擺在門口
[00:01:01.900 --> 00:01:03.900]  又擋住走廊
[00:01:03.900 --> 00:01:05.900]  因為很窄、很近
[00:01:05.900 --> 00:01:07.900]  我覺得真的很不好意思
[00:01:07.900 --> 00:01:09.900]  我的心想就是不好意思
[00:01:09.900 --> 00:01:11.900]  但就沒有打算工作
[00:01:11.900 --> 00:01:14.900]  我太太就很不同
[00:01:14.900 --> 00:01:18.900]  她一天就跟我和我兩個兒子就提議
[00:01:18.900 --> 00:01:20.900]  不如我們買一份禮物
[00:01:20.900 --> 00:01:23.900]  剛好那時是新曆新年的期間
[00:01:23.900 --> 00:01:25.900]  買一份禮物過去敲門
[00:01:25.900 --> 00:01:27.900]  跟他們打個招呼
[00:01:27.900 --> 00:01:29.900]  說一聲不好意思
[00:01:29.900 --> 00:01:34.900]  我們這一陣子都令到你們很不便
[00:01:34.900 --> 00:01:36.900]  我第一個反應就是
