
[00:00:00.000 --> 00:00:03.300]  我們繼續在《四福音》裡面
[00:00:03.300 --> 00:00:07.800]  來查考耶穌的生平和祂的教訓
[00:00:07.800 --> 00:00:09.900]  今天已經來到第二講
[00:00:09.900 --> 00:00:13.800]  主要是講耶穌有一位開路的先鋒
[00:00:13.800 --> 00:00:16.300]  被稱為「施朕約翰」
[00:00:16.300 --> 00:00:19.300]  或者一般人所叫的「施洗約翰」
[00:00:19.300 --> 00:00:24.000]  然後耶穌在30歲就開始出來傳道
[00:00:24.000 --> 00:00:27.300]  但是他一開始出來傳道的時候
[00:00:27.300 --> 00:00:32.000]  他先退到曠野去祈禱
[00:00:32.000 --> 00:00:34.600]  而且是金食祈禱
[00:00:34.600 --> 00:00:41.600]  他一共用了40天來進行這一次的金食祈禱
[00:00:41.600 --> 00:00:44.000]  但是在他結束的時候
[00:00:44.000 --> 00:00:49.300]  撒旦魔鬼就來試探耶穌
[00:00:49.300 --> 00:00:52.400]  這是對耶穌出來傳道之前
[00:00:52.400 --> 00:00:57.500]  一個很重要很巨大的挑戰
[00:00:57.500 --> 00:00:59.500]  今天我們每一個基督徒
[00:00:59.500 --> 00:01:04.100]  都同樣面對撒旦的誘惑
[00:01:04.100 --> 00:01:07.400]  撒旦對我們用諸般的方法
[00:01:07.400 --> 00:01:11.600]  來引誘我們 叫我們聽他的話
[00:01:11.600 --> 00:01:13.400]  叫我們不小心
[00:01:13.400 --> 00:01:17.500]  我們就會被我們的慾念所戰勝
[00:01:17.500 --> 00:01:20.900]  我們就會跌倒 我們就會失敗
[00:01:20.900 --> 00:01:22.900]  讓我們首先來看看
[00:01:22.900 --> 00:01:25.000]  耶穌出來傳道之前
[00:01:25.000 --> 00:01:29.900]  怎樣有一個開路先鋒為他開路
[00:01:29.900 --> 00:01:32.200]  原來在舊約的時代
[00:01:32.200 --> 00:01:34.900]  有一個先知叫做以塞亞
[00:01:34.900 --> 00:01:36.900]  他一早預言
[00:01:36.900 --> 00:01:42.900]  他說在曠野會有人聲大聲的喊叫
[00:01:42.900 --> 00:01:49.400]  收藉他的道 預備他的路
[00:01:49.400 --> 00:01:51.400]  那這個人是誰
[00:01:51.400 --> 00:01:53.400]  這個人很特別
[00:01:53.400 --> 00:01:59.400]  他會穿著駱駝毛的衣服
[00:01:59.400 --> 00:02:01.400]  腰束皮帶
[00:02:01.400 --> 00:02:04.400]  於是有人就說
[00:02:04.400 --> 00:02:10.400]  真的 有一個人穿著駱駝毛的衣服
[00:02:10.400 --> 00:02:12.400]  腰束著皮帶
[00:02:12.400 --> 00:02:17.400]  他吃什麼 他吃蝗蟲野脈
[00:02:17.400 --> 00:02:19.400]  如果有這樣的人
[00:02:19.400 --> 00:02:22.400]  在今天21世紀出現
[00:02:22.400 --> 00:02:25.400]  我想一定很多人當他是
[00:02:25.400 --> 00:02:27.400]  很新潮
[00:02:27.400 --> 00:02:29.400]  你可以穿這樣的衣服
[00:02:29.400 --> 00:02:31.400]  用這樣的打扮
[00:02:31.400 --> 00:02:33.400]  你吃的是什麼來的
[00:02:33.400 --> 00:02:35.400]  很健康的
[00:02:35.400 --> 00:02:38.400]  蝗蟲野脈
[00:02:38.400 --> 00:02:40.400]  蛋白質又高
[00:02:40.400 --> 00:02:42.400]  而且是非常健康
[00:02:42.400 --> 00:02:45.400]  蜜糖很滋潤的
[00:02:45.400 --> 00:02:49.400]  於是人人都學這個潮流
[00:02:49.400 --> 00:02:52.400]  這個人非常謙卑
[00:02:52.400 --> 00:02:54.400]  他說有一個人將要來
[00:02:54.400 --> 00:02:58.400]  我連幫他解鞋帶都不配
[00:02:58.400 --> 00:03:03.400]  他別興旺 我別睡眠
[00:03:03.400 --> 00:03:06.400]  我會越來越低
[00:03:06.400 --> 00:03:10.400]  但是這個人要越來越興旺
[00:03:10.400 --> 00:03:17.400]  我在約旦河是為你們施這個灰罪的朕禮
[00:03:17.400 --> 00:03:19.400]  但是有一個人來
[00:03:19.400 --> 00:03:25.400]  他要用火和聖靈為你們施朕
[00:03:25.400 --> 00:03:29.400]  他預言有一個利塞亞
[00:03:29.400 --> 00:03:30.400]  他要來到
[00:03:30.400 --> 00:03:35.400]  他只不過是幫耶穌鋪平路
[00:03:35.400 --> 00:03:39.400]  讓人知道 引子來了
[00:03:39.400 --> 00:03:41.400]  所以施朕約旦
[00:03:41.400 --> 00:03:43.400]  他整天指著說
[00:03:43.400 --> 00:03:49.400]  我後來來的比我更大
[00:03:49.400 --> 00:03:52.400]  他是神的高揚
[00:03:52.400 --> 00:03:55.400]  上帝各國近了
[00:03:55.400 --> 00:03:59.400]  神的高揚來到了
[00:03:59.400 --> 00:04:01.400]  我們很感謝神
[00:04:01.400 --> 00:04:04.400]  有這樣的開路先鋒
[00:04:04.400 --> 00:04:06.400]  幫耶穌開路
[00:04:06.400 --> 00:04:09.400]  結果聖經四卷的福音書
[00:04:09.400 --> 00:04:12.400]  都有介紹施朕約旦
[00:04:12.400 --> 00:04:17.400]  怎樣在曠野為耶穌開路
[00:04:17.400 --> 00:04:19.400]  講悔改
[00:04:19.400 --> 00:04:21.400]  接著那些人就說
[00:04:21.400 --> 00:04:23.400]  那我們就要跟耶穌
[00:04:23.400 --> 00:04:26.400]  你們去跟他
[00:04:26.400 --> 00:04:28.400]  於是他就指示那些人
[00:04:28.400 --> 00:04:31.400]  去跟隨這位利塞亞
[00:04:31.400 --> 00:04:33.400]  於是耶穌有一天
[00:04:33.400 --> 00:04:35.400]  他就來到約旦河
[00:04:35.400 --> 00:04:38.400]  他竟然對施朕約旦說
[00:04:38.400 --> 00:04:41.400]  我要接受你的朕禮
[00:04:41.400 --> 00:04:44.400]  初初施朕約旦很害怕
[00:04:44.400 --> 00:04:47.400]  我怎麼可以幫耶穌施朕
[00:04:47.400 --> 00:04:49.400]  但耶穌說了一句話
[00:04:49.400 --> 00:04:51.400]  我接受朕禮
[00:04:51.400 --> 00:04:55.400]  是要盡諸般的義
[00:04:55.400 --> 00:04:58.400]  於是施朕約旦主很信服
[00:04:58.400 --> 00:05:01.400]  就為耶穌施朕
[00:05:01.400 --> 00:05:04.400]  很奇妙的事就發生了
[00:05:04.400 --> 00:05:07.400]  當他為耶穌施朕
[00:05:07.400 --> 00:05:10.400]  耶穌從水裡面上來的時候
[00:05:10.400 --> 00:05:12.400]  有幾樣東西出現
[00:05:12.400 --> 00:05:13.400]  第一
[00:05:13.400 --> 00:05:16.400]  聖靈好像甲子一樣
[00:05:16.400 --> 00:05:20.400]  落在耶穌的頭上
[00:05:20.400 --> 00:05:23.400]  天上面有聲音說
[00:05:23.400 --> 00:05:26.400]  這是我的愛子
[00:05:26.400 --> 00:05:30.400]  我所喜悅的
[00:05:30.400 --> 00:05:33.400]  這個是我的愛子
[00:05:33.400 --> 00:05:36.400]  那位是聖父
[00:05:36.400 --> 00:05:39.400]  這位是聖子
[00:05:39.400 --> 00:05:41.400]  然後又有聖靈
[00:05:41.400 --> 00:05:43.400]  好像甲子一樣
[00:05:43.400 --> 00:05:46.400]  落在耶穌的頭上
[00:05:46.400 --> 00:05:49.400]  三為一體
[00:05:49.400 --> 00:05:51.400]  這麼重要的真理
[00:05:51.400 --> 00:05:53.400]  在這件事上
[00:05:53.400 --> 00:05:56.400]  充分表現出來
[00:05:56.400 --> 00:05:58.400]  所以如果有人說
[00:05:58.400 --> 00:06:00.400]  聖經裡面沒有提過
[00:06:00.400 --> 00:06:01.400]  三為一體
[00:06:01.400 --> 00:06:03.400]  聖經裡面沒有出現
