
[00:00:00.000 --> 00:00:03.120]  各位博導會大股成堂的弟兄姊妹平安
[00:00:03.120 --> 00:00:08.380]  感謝上主讓我今天有機會在這裡跟大家一起去聆聽
[00:00:08.380 --> 00:00:10.740]  也都是去領受上主的話
[00:00:10.740 --> 00:00:14.700]  大家都喜歡吃菜的,我相信
[00:00:14.700 --> 00:00:18.220]  現在我們都講究要均衡飲食
[00:00:18.220 --> 00:00:23.020]  如果吃菜的時候,不知道大家的選擇或者那個喜好是什麼
[00:00:23.020 --> 00:00:28.280]  最近就多了去訂一些本地菜
[00:00:28.280 --> 00:00:33.300]  而不是去超級市場那裡去買一些菜
[00:00:33.300 --> 00:00:38.360]  真的吃的時候發覺是不同一些的
[00:00:38.360 --> 00:00:43.220]  可能很多人都沒有想過原來香港還有農業的嗎?
[00:00:43.220 --> 00:00:47.620]  香港還可以有人去耕田去種菜的嗎?
[00:00:47.620 --> 00:00:49.300]  其實是有的
[00:00:49.300 --> 00:00:53.740]  我記得在前段時間是有機會有人帶我去到一個
[00:00:53.740 --> 00:00:58.260]  新界北區的一個很小的農場
[00:00:58.260 --> 00:01:02.900]  裡面有幾個年輕人他們租了一個村屋
[00:01:02.900 --> 00:01:06.500]  在那裡一起生活,也一起耕種
[00:01:06.500 --> 00:01:11.280]  其實他們每個人都有他們自己的故事
[00:01:11.280 --> 00:01:13.480]  他們原來有自己的工作
[00:01:13.480 --> 00:01:15.960]  然後他們都…
[00:01:15.960 --> 00:01:19.800]  到了生命一刻,他們突然之間很想停下來
[00:01:19.800 --> 00:01:23.080]  很想過一種另類的生活
[00:01:23.080 --> 00:01:27.680]  不想好像每天一樣,上班下班,營營役役
[00:01:27.680 --> 00:01:33.000]  背後因為他們自己的一個很強烈的信念是
[00:01:33.000 --> 00:01:38.960]  他們很想香港人更加多去欣賞本地的農作
[00:01:38.960 --> 00:01:44.120]  他們很想更加多人藉著去吃本地菜
[00:01:44.120 --> 00:01:47.360]  其實去反思整個香港社會的發展
[00:01:47.360 --> 00:01:53.040]  因為他們看到好像整個社會不重視本地的農業
[00:01:53.040 --> 00:01:59.500]  逼遷農夫,然後清拆一些農地
[00:01:59.500 --> 00:02:02.840]  認為將那些地方收回來之後建房子
[00:02:02.840 --> 00:02:06.240]  才是社會最重要最需要的
[00:02:06.240 --> 00:02:09.720]  他們跟本地其他的農場去建立聯繫
[00:02:09.720 --> 00:02:12.700]  希望更加多人去珍惜
[00:02:12.700 --> 00:02:18.840]  也重視我們跟自然和土地之間的關係
[00:02:18.840 --> 00:02:22.360]  當然大家會問,其實時代在進步中
[00:02:22.360 --> 00:02:27.960]  難道我們真的要過一個日出而作,日入而息的生活
[00:02:27.960 --> 00:02:31.540]  不知大家試過耕田沒有?
[00:02:31.540 --> 00:02:35.000]  或者體會過農耕的生活沒有?
[00:02:35.000 --> 00:02:38.360]  的確是很辛苦的
[00:02:38.360 --> 00:02:40.900]  但即使是一個這麼進步的社會
[00:02:40.900 --> 00:02:44.400]  或者是在急速發展的社會
[00:02:44.400 --> 00:02:46.040]  但會不會因為這樣的緣故
[00:02:46.040 --> 00:02:52.220]  我們真的忽視了跟自然的關係,跟土地的關係
[00:02:52.220 --> 00:02:53.740]  當我們看回聖經的時候
[00:02:53.740 --> 00:02:57.380]  我們會發覺其實耶穌在祂身處的時代
[00:02:57.380 --> 00:03:00.320]  祂的宣講,祂的教導
[00:03:00.320 --> 00:03:04.820]  其實有頗濃烈的一種農耕的色彩
[00:03:04.820 --> 00:03:08.120]  祂比喻裡面經常都會提及殺種
