
[00:00:00.000 --> 00:00:01.600]  各位朋友你們好
[00:00:01.600 --> 00:00:05.400]  剛才有人說認識正生書院
[00:00:05.400 --> 00:00:07.200]  你知不知那是一間名校
[00:00:07.200 --> 00:00:09.200]  很有名的 是吧
[00:00:09.200 --> 00:00:10.200]  是呀
[00:00:10.200 --> 00:00:12.800]  即是和華仁 黃仁差不多
[00:00:12.800 --> 00:00:15.800]  你在街上問一下認不認識 認識的 是吧
[00:00:15.800 --> 00:00:18.800]  我想時間過得很快
[00:00:18.800 --> 00:00:20.200]  因為很多人認識我的時候
[00:00:20.200 --> 00:00:22.000]  大約十年前多些人認識
[00:00:22.000 --> 00:00:23.600]  是呀 沒錯
[00:00:23.600 --> 00:00:25.200]  最近有沒有新聞
[00:00:25.200 --> 00:00:27.200]  沒有新聞真是好消息
[00:00:27.200 --> 00:00:29.000]  有新聞未必是好消息
[00:00:29.000 --> 00:00:31.600]  今日我想和大家分享一段聖經
[00:00:31.600 --> 00:00:33.400]  是約翰福音十章十字
[00:00:33.400 --> 00:00:34.600]  裏面說甚麼呢
[00:00:34.600 --> 00:00:38.200]  原來耶穌來是叫人得豐盛的人生
[00:00:38.200 --> 00:00:39.400]  豐盛是甚麼呢
[00:00:39.400 --> 00:00:40.600]  Happy囉
[00:00:40.600 --> 00:00:42.200]  大家看一看自己
[00:00:42.200 --> 00:00:44.200]  我們自己人生所經歷的日子
[00:00:44.200 --> 00:00:45.400]  快不快樂
[00:00:45.400 --> 00:00:47.800]  有開心有不開心
[00:00:47.800 --> 00:00:51.000]  但原來耶穌今日將一件事給你
[00:00:51.000 --> 00:00:52.000]  我給你不到
[00:00:52.000 --> 00:00:53.800]  我給你只能是禮物
[00:00:53.800 --> 00:00:54.800]  我帶了禮物來
[00:00:54.800 --> 00:00:56.200]  不如送些禮物給你 好嗎
[00:00:56.200 --> 00:00:58.800]  很簡單 我帶了幾本書來
[00:00:58.800 --> 00:01:00.200]  我又帶了六本書
[00:01:00.200 --> 00:01:04.800]  就打算扔出來你們搶 好嗎
[00:01:04.800 --> 00:01:07.000]  或者年輕人打算怎樣
[00:01:07.000 --> 00:01:10.400]  不要 比較暴戾一點
[00:01:10.400 --> 00:01:11.600]  我斯文一點
[00:01:11.600 --> 00:01:15.800]  好 繞快傳WhatsApp給我
[00:01:15.800 --> 00:01:17.800]  不懂傳WhatsApp嗎
[00:01:17.800 --> 00:01:19.600]  其實今日如果不懂WhatsApp的話
[00:01:19.600 --> 00:01:21.400]  是上不到班的 知不知道
[00:01:21.400 --> 00:01:22.600]  做不到事的
[00:01:22.600 --> 00:01:24.200]  個個不動人 你假的
[00:01:24.200 --> 00:01:25.400]  接著你說我不知道你的電話號碼
[00:01:25.400 --> 00:01:27.000]  不用怕 我告訴你
[00:01:27.000 --> 00:01:29.200]  OK 準備了
[00:01:29.200 --> 00:01:30.600]  有六本書在這裏
[00:01:30.600 --> 00:01:32.800]  頭六位我就會送一本書給他們
[00:01:32.800 --> 00:01:35.000]  OK 準備好了
[00:01:35.000 --> 00:01:36.000]  好 非常好
[00:01:36.000 --> 00:01:37.200]  我先給牧師
[00:01:37.200 --> 00:01:38.800]  牧師 麻煩牧師
[00:01:38.800 --> 00:01:40.200]  麻煩你幫我給他們
[00:01:40.200 --> 00:01:41.200]  我電話號碼
[00:01:41.200 --> 00:01:42.200]  傳WhatsApp
[00:01:42.200 --> 00:01:43.200]  不要打電話給我
[00:01:43.200 --> 00:01:44.200]  不要WeChat
[00:01:44.200 --> 00:01:45.200]  不要搞其他事
[00:01:45.200 --> 00:01:46.200]  少了人FaceTime
[00:01:46.200 --> 00:01:47.200]  我沒有FaceTime
[00:01:47.200 --> 00:01:49.200]  好 我電話號碼很簡單
[00:01:49.200 --> 00:01:54.000]  是不夠一路發一路發
[00:01:54.000 --> 00:01:55.400]  不懂翻譯嗎
[00:01:55.400 --> 00:01:57.200]  五九一六八一六八
[00:01:57.200 --> 00:02:01.000]  五不夠一路發一路發
[00:02:01.000 --> 00:02:02.800]  人生有豐盛還是其中一樣
[00:02:02.800 --> 00:02:04.000]  有禮物
[00:02:04.000 --> 00:02:05.400]  耶穌就是一個禮物
[00:02:05.400 --> 00:02:06.800]  上帝給我們
[00:02:06.800 --> 00:02:08.800]  因為這個禮物你接受的時候
[00:02:08.800 --> 00:02:11.200]  你能有一個豐盛的人生
[00:02:11.200 --> 00:02:12.800]  當然我小時候有沒有這樣想過
[00:02:12.800 --> 00:02:14.200]  當然沒有
[00:02:14.200 --> 00:02:15.200]  我想每一個人當你小時候
[00:02:15.200 --> 00:02:17.600]  想不到今天說起你
[00:02:17.600 --> 00:02:18.800]  哎呀 有些人不好意思
[00:02:18.800 --> 00:02:20.000]  我認識你的
[00:02:20.000 --> 00:02:21.400]  我認識你的人不會給你禮物
[00:02:21.400 --> 00:02:23.400]  我給新朋友而已
[00:02:23.400 --> 00:02:24.400]  你不要以為
[00:02:24.400 --> 00:02:25.400]  你認識我有好處
[00:02:25.400 --> 00:02:27.400]  認識我沒有好處的
[00:02:27.400 --> 00:02:28.400]  好了
[00:02:28.400 --> 00:02:29.800]  牧師準備
[00:02:29.800 --> 00:02:30.600]  派禮物
[00:02:30.600 --> 00:02:32.200]  嘩 這個電話厲害了
[00:02:32.200 --> 00:02:35.000]  九七零零七九零零
[00:02:35.000 --> 00:02:36.000]  誰
[00:02:36.000 --> 00:02:37.600]  哎 零零七啊
[00:02:37.600 --> 00:02:38.400]  牧師
[00:02:38.400 --> 00:02:40.800]  哎 勞煩勞煩勞煩
[00:02:40.800 --> 00:02:41.400]  多謝你
[00:02:41.400 --> 00:02:42.400]  那邊那邊那邊
[00:02:42.400 --> 00:02:43.000]  禮物在那邊
[00:02:43.000 --> 00:02:45.000]  是的
[00:02:45.000 --> 00:02:46.000]  好 第二個
[00:02:46.000 --> 00:02:48.800]  九零八四八七五五
[00:02:48.800 --> 00:02:52.000]  嘩 厲害厲害厲害
[00:02:52.000 --> 00:02:53.000]  第三位是
[00:02:53.000 --> 00:02:57.000]  五三三九一九八五
[00:02:57.000 --> 00:02:58.600]  哪裡
[00:02:58.600 --> 00:02:59.400]  沒有
[00:02:59.400 --> 00:03:00.000]  我正在來
[00:03:00.000 --> 00:03:02.800]  非常非常好
[00:03:02.800 --> 00:03:03.200]  好了
[00:03:03.200 --> 00:03:06.800]  六一九二八八二七
[00:03:06.800 --> 00:03:09.800]  九零七九八八零六
[00:03:09.800 --> 00:03:10.800]  嘩 你也有
[00:03:10.800 --> 00:03:14.000]  嘩 厲害
[00:03:14.000 --> 00:03:14.600]  好了
[00:03:14.600 --> 00:03:16.800]  最後一本了
[00:03:16.800 --> 00:03:17.800]  九字頭的
[00:03:17.800 --> 00:03:18.800]  有沒有
[00:03:18.800 --> 00:03:19.400]  握握手
[00:03:19.400 --> 00:03:20.800]  九字頭
[00:03:20.800 --> 00:03:21.600]  九 哪裡哪裡
[00:03:21.600 --> 00:03:22.800]  沒有的
[00:03:22.800 --> 00:03:25.000]  只有你嗎
[00:03:25.000 --> 00:03:27.200]  我那裡 好了
[00:03:27.200 --> 00:03:30.400]  九二
[00:03:30.400 --> 00:03:33.800]  九二五零二零零二
[00:03:33.800 --> 00:03:35.200]  這裡啊
[00:03:35.200 --> 00:03:36.000]  非常好
[00:03:36.000 --> 00:03:40.200]  我給你掌聲鼓勵一下
[00:03:40.200 --> 00:03:41.000]  禮物
[00:03:41.000 --> 00:03:42.200]  喜歡嗎
[00:03:42.200 --> 00:03:43.800]  人人都喜歡的
[00:03:43.800 --> 00:03:44.800]  在聖經告訴我們
[00:03:44.800 --> 00:03:46.000]  耶穌就是那份禮物
[00:03:46.000 --> 00:03:47.000]  所以聖誕節
[00:03:47.000 --> 00:03:48.400]  大家這麼開心
