
[00:00:00.000 --> 00:00:08.000]  我以前剛信主沒多久的時候,我很薄弱,人家問我說你在教會做什麼?
[00:00:08.000 --> 00:00:13.000]  我是教會的chairman,專門抬椅子的。
[00:00:13.000 --> 00:00:20.000]  但是您知道嗎?就是這一點點小事情,神激烈了。
[00:00:20.000 --> 00:00:25.000]  就是因為你努力,就是因為你謙卑甚福,就是因為你願意。
[00:00:26.000 --> 00:00:30.000]  小的要做大,再後面的要再起。
[00:00:30.000 --> 00:00:35.000]  神就看中你這一點,感謝神。
[00:00:35.000 --> 00:00:43.000]  前段時間有一部國內來的,都知道這個電影,《北京遇上西雅圖》。
[00:00:43.000 --> 00:00:48.000]  英文名字叫《Finding Mr. Right in Seattle》。
[00:00:49.000 --> 00:00:57.000]  裡面的主角叫做文家家,是湯維也的,他懷了孕來到西雅圖,要來代產。
[00:00:57.000 --> 00:01:05.000]  他本來是一個美食雜誌的主編,氣質,相貌,還有男朋友也是非常的好。
[00:01:05.000 --> 00:01:09.000]  他在做月子中心呢,他的氣勢很盛。
[00:01:09.000 --> 00:01:15.000]  他看不起人家,他嫌招待不周,飯食不好。
[00:01:16.000 --> 00:01:19.000]  所以他常常罵這個罵那個的,大家都討厭他。
[00:01:19.000 --> 00:01:22.000]  所以他就很孤單。
[00:01:22.000 --> 00:01:30.000]  只有月子中心開車,那個老豪Frank,好志,跟他還談得來。
[00:01:30.000 --> 00:01:41.000]  看得好像很落魄的好志呢,其實他以前是國內頂尖的心臟科的名醫。
[00:01:41.000 --> 00:01:45.000]  他放棄了他的事業,陪女兒到西雅圖來讀書。
[00:01:46.000 --> 00:01:52.000]  空著無聊,英文也不夠好,就到月子中心去為人家開車。
[00:01:52.000 --> 00:01:57.000]  文家家湯維就跟這個Frank就聊得還蠻來的。
[00:01:57.000 --> 00:02:03.000]  後來忽然間,他的男朋友跟他斷絕關係了。
[00:02:03.000 --> 00:02:11.000]  結果文家家在做月子中心,這一下從天堂掉到地獄一般,沒了錢,又很難過日子。
[00:02:12.000 --> 00:02:22.000]  結果必須要想辦法,結果好志跟他女兒Julia,他真正被這一對母女他們的愛心所感動了。
[00:02:22.000 --> 00:02:33.000]  最後小孩子生下來,當他要回去的時候,他不再是孤孤單單的,因為他找到了他生命中的目標。
[00:02:33.000 --> 00:02:39.000]  Finding Mr. Right in Seattle,北京遇上西雅圖。
[00:02:40.000 --> 00:02:44.000]  那麼今天我是要講說,當信心遇上行為。
[00:02:44.000 --> 00:02:57.000]  讓我問各位,信心跟行為,如果你把它放在天平上面,你來秤,你說是信心重要呢?還是行為重要?
[00:02:57.000 --> 00:03:01.000]  信心重要,還有怎麼樣?
[00:03:02.000 --> 00:03:10.000]  不要那麼快講答案出來嘛,是的,兩個都一樣的重要。
[00:03:10.000 --> 00:03:21.000]  信心跟行為實際上是分不開的,我們講說手掌、手心都是手,一個手的兩個面。
[00:03:21.000 --> 00:03:30.000]  所以信心跟行為是分不開的,沒有信心的好行為可不可以做?可以做啊。
[00:03:31.000 --> 00:03:41.000]  我們講的信心是說信上帝的心,譬如講說佛教徒有的時候比基督徒還要更好的行為了,不是嗎?
[00:03:41.000 --> 00:03:49.000]  但是因為他的信心是沒有的,所以他那個行為是枉然的。
[00:03:49.000 --> 00:03:58.000]  今天我如果對我的朋友再好,對我的兒女再好,有一天我都要走的,不是嗎?
[00:03:59.000 --> 00:04:10.000]  如果我對我的朋友再好的時候,或許為了一點點小事情,朋友甚至於夫妻可以反目成仇。
[00:04:10.000 --> 00:04:21.000]  就好像你說你很會游泳,現在有人掉到水裡面去了,你卻不去救他,你那個徒有信心沒有行為,不是嗎?
[00:04:22.000 --> 00:04:31.000]  如果你不會游泳,看到人家掉到水裡面,你敢去救他嗎?你去救他,說不定你自己都死掉了。
[00:04:31.000 --> 00:04:42.000]  所以行為沒有信心也不行的,就像你們說的一樣重要,是undividable,不可以分開的。
