
[00:00:00.000 --> 00:00:10.000]  在今天多元化又相對的社會裏面,很多人都質疑基督教信仰所信的神是否真的呢?
[00:00:10.000 --> 00:00:16.000]  在今天多元化又相對的世代當中,很多人質疑基督教所相信的神是否真的呢?
[00:00:16.000 --> 00:00:18.000]  是否真的獨一的呢?
[00:00:18.000 --> 00:00:20.000]  是否獨一的呢?
[00:00:20.000 --> 00:00:25.000]  其實這個問題昔日的以色列百姓都是一樣質疑的
[00:00:25.000 --> 00:00:28.000]  相同的問題,過去以色列百姓同樣質疑
[00:00:28.000 --> 00:00:33.000]  因為他們面對很多強盛的國家侵擾他們
[00:00:33.000 --> 00:00:36.000]  因為他們面對很多強大的國家侵擾他們
[00:00:36.000 --> 00:00:39.000]  而每一個強盛的國家都有他們的神明
[00:00:39.000 --> 00:00:42.000]  每一個強大的國家都有他們自己的神
[00:00:42.000 --> 00:00:45.000]  而那些神是有時候靈的
[00:00:45.000 --> 00:00:47.000]  如果這些神是靈驗的
[00:00:47.000 --> 00:00:53.000]  基督徒很多時候都是這樣,我的神靈不靈來決定我的神是否真的
[00:00:53.000 --> 00:00:57.000]  基督徒也會這樣,我的神是否靈驗決定了神是否真實
[00:00:57.000 --> 00:01:02.000]  如果神我們祈禱之後,一點沒有回應,我們覺得我們的神不靈
[00:01:02.000 --> 00:01:05.000]  所以我們就開始慢慢倒退了
[00:01:05.000 --> 00:01:08.000]  有時候禱告之後,我們的禱告沒有蒙垂聽
[00:01:08.000 --> 00:01:11.000]  就覺得神不靈驗,我們信仰倒退了
[00:01:11.000 --> 00:01:14.000]  所以以色列百姓昔日都是一樣
[00:01:14.000 --> 00:01:17.000]  以色列百姓當日也是這樣的
[00:01:17.000 --> 00:01:21.000]  雖然神揀選他們成為祂的子民,啟示給他們,愛他們
[00:01:21.000 --> 00:01:24.000]  但是他們都冥頑不靈
[00:01:24.000 --> 00:01:27.000]  神揀選了他們向他們啟示愛他們
[00:01:27.000 --> 00:01:29.000]  但他們一直冥頑不靈
