
[00:00:00.000 --> 00:00:02.000]  思想的題目就是
[00:00:02.000 --> 00:00:04.000]  路德記的
[00:00:04.000 --> 00:00:08.000]  你願意為主震撼世代嗎
[00:00:08.000 --> 00:00:12.000]  我很喜歡路德記的經文
[00:00:12.000 --> 00:00:14.000]  路德記裏面其中一個提醒就是
[00:00:14.000 --> 00:00:17.000]  每一個人看似很多艱難的小人物
[00:00:17.000 --> 00:00:20.000]  都可以蒙神的幫助
[00:00:20.000 --> 00:00:23.000]  路德記其中一個很重要的經文
[00:00:23.000 --> 00:00:26.000]  背景是一個事先的時代
[00:00:26.000 --> 00:00:28.000]  事先時代的時候
[00:00:28.000 --> 00:00:31.000]  我很喜歡路德記一段的經文
[00:00:31.000 --> 00:00:33.000]  講到他的背景
[00:00:33.000 --> 00:00:36.000]  史詩記有一章二十五節
[00:00:36.000 --> 00:00:37.000]  一起讀好不好
[00:00:37.000 --> 00:00:38.000]  一二三
[00:00:38.000 --> 00:00:40.000]  那時以色列裝潢有禍
[00:00:40.000 --> 00:00:42.000]  各人任意而行
[00:00:42.000 --> 00:00:44.000]  史詩記一開頭第一章第一節
[00:00:44.000 --> 00:00:46.000]  就講到他的時代
[00:00:46.000 --> 00:00:48.000]  路德記第一章第一節好不好
[00:00:48.000 --> 00:00:51.000]  當時之秉政的時候
[00:00:51.000 --> 00:00:53.000]  各宗遭遇饑荒
[00:00:53.000 --> 00:00:55.000]  在猶大百里行
[00:00:55.000 --> 00:00:58.000]  由一個猶太爵妻子和兩個兒子
[00:00:58.000 --> 00:01:01.000]  往魔壓地去借居
[00:01:01.000 --> 00:01:05.000]  這個時代是經濟艱難的時候
[00:01:05.000 --> 00:01:07.000]  有個人本來的名字就稱
[00:01:07.000 --> 00:01:09.000]  即是說是神
[00:01:09.000 --> 00:01:12.000]  但自己卻有很多憂慮
[00:01:12.000 --> 00:01:14.000]  要離開神的角度
[00:01:14.000 --> 00:01:18.000]  去到一個神母庇護的魔壓地裏面
[00:01:18.000 --> 00:01:20.000]  但我熟悉這個經文講到
[00:01:20.000 --> 00:01:22.000]  他自己後來死了
[00:01:22.000 --> 00:01:24.000]  他兩個兒子都死了
[00:01:24.000 --> 00:01:26.000]  這個艱難的時代
[00:01:26.000 --> 00:01:28.000]  特別是一個史詩的時代
[00:01:28.000 --> 00:01:30.000]  想起史詩記廿一章廿五節
[00:01:30.000 --> 00:01:33.000]  有時想起小時候讀金庸小說
[00:01:33.000 --> 00:01:34.000]  有一個人物
[00:01:34.000 --> 00:01:35.000]  考考大家
[00:01:35.000 --> 00:01:36.000]  如果廿一章廿五節
[00:01:36.000 --> 00:01:38.000]  金庸小說哪個人物呢
[00:01:38.000 --> 00:01:41.000]  大家有看金庸小說的話
[00:01:41.000 --> 00:01:44.000]  金庸有一個人物叫任我行
[00:01:44.000 --> 00:01:48.000]  叫人任意而行
[00:01:48.000 --> 00:01:50.000]  假如家裏有一個人任我行
[00:01:50.000 --> 00:01:52.000]  這件事多麻煩
[00:01:52.000 --> 00:01:56.000]  喜歡睡就睡
[00:01:56.000 --> 00:01:58.000]  晚上開電視
[00:01:58.000 --> 00:02:01.000]  喜歡在銀包拿錢就拿錢
[00:02:01.000 --> 00:02:04.000]  喜歡拿包卡就找你負責
[00:02:04.000 --> 00:02:07.000]  家裏有一個人任我行
[00:02:07.000 --> 00:02:10.000]  假如家裏有兩個人任我行呢
[00:02:10.000 --> 00:02:14.000]  當時這個國家
[00:02:14.000 --> 00:02:15.000]  自己說甚麼
[00:02:15.000 --> 00:02:19.000]  國人任意而行
[00:02:19.000 --> 00:02:21.000]  即是很混亂的時代
[00:02:21.000 --> 00:02:25.000]  而這世代有時遭遇個人的厄運
[00:02:25.000 --> 00:02:28.000]  其中一個主人翁叫婆婆撈米
[00:02:28.000 --> 00:02:31.000]  我寫到第一章廿到廿一節
[00:02:31.000 --> 00:02:33.000]  撈米對他們說
[00:02:33.000 --> 00:02:35.000]  不要叫我撈米
[00:02:35.000 --> 00:02:37.000]  要叫我馬拉
[00:02:37.000 --> 00:02:40.000]  因為全能者使我受了大苦
[00:02:40.000 --> 00:02:42.000]  我滿滿的出去
[00:02:42.000 --> 00:02:44.000]  又說叫我空空的回來
[00:02:44.000 --> 00:02:46.000]  又說降禍於我
[00:02:46.000 --> 00:02:48.000]  全能者使我受苦
[00:02:48.000 --> 00:02:49.000]  既是這樣
[00:02:49.000 --> 00:02:52.000]  你們為何還叫我撈米
[00:02:52.000 --> 00:02:57.000]  這個老姐妹覺得神對她好嗎
[00:02:57.000 --> 00:03:01.000]  她有四次說到神對她不好
[00:03:01.000 --> 00:03:04.000]  一個就是全能者叫我受了大苦
[00:03:04.000 --> 00:03:06.000]  然後說我滿滿的出去
[00:03:06.000 --> 00:03:08.000]  夜話使我空空的回來
[00:03:08.000 --> 00:03:11.000]  第三次再說夜話降禍於我
[00:03:11.000 --> 00:03:13.000]  第四次再說
[00:03:13.000 --> 00:03:15.000]  全能者使我受苦
[00:03:15.000 --> 00:03:20.000]  撈米的名字本來是Honey
[00:03:20.000 --> 00:03:22.000]  是一種甜的意思
[00:03:22.000 --> 00:03:24.000]  馬拉是甚麼意思
[00:03:24.000 --> 00:03:26.000]  她說不要叫我Honey
[00:03:26.000 --> 00:03:28.000]  叫我苦的弟弟
[00:03:28.000 --> 00:03:31.000]  聖經裏面很特別
[00:03:31.000 --> 00:03:33.000]  耶穌的一個命令
[00:03:33.000 --> 00:03:35.000]  叫我們成為世上的綱
[00:03:35.000 --> 00:03:37.000]  世上的鹽
[00:03:37.000 --> 00:03:40.000]  我們去影響世界幫助人認識神
[00:03:40.000 --> 00:03:44.000]  請問假如你落在撈米的遭遇裏
[00:03:44.000 --> 00:03:46.000]  她自己丈夫死了
[00:03:46.000 --> 00:03:48.000]  兩個兒子都死了
[00:03:48.000 --> 00:03:50.000]  回到一無所求
[00:03:50.000 --> 00:03:53.000]  當時男士才可以擁有田地
[00:03:53.000 --> 00:03:55.000]  女士沒有
[00:03:55.000 --> 00:03:59.000]  你覺得她可不可以影響世界
[00:03:59.000 --> 00:04:01.000]  有時現代一個題目
[00:04:01.000 --> 00:04:03.000]  我問一個問題
[00:04:03.000 --> 00:04:06.000]  小人物能作甚麼
[00:04:06.000 --> 00:04:09.000]  其實一個基督徒一個很重要的挑戰
[00:04:09.000 --> 00:04:11.000]  雖然我們講很多道理
[00:04:11.000 --> 00:04:14.000]  如何敬畏神如何影響人
[00:04:14.000 --> 00:04:15.000]  但有時有一個危機
[00:04:15.000 --> 00:04:17.000]  就是覺得我們都做不到甚麼
[00:04:17.000 --> 00:04:18.000]  因為大時代
[00:04:18.000 --> 00:04:20.000]  我們自己很有限
[00:04:20.000 --> 00:04:21.000]  很沒用
[00:04:21.000 --> 00:04:23.000]  聖經裏面有一個很特別的真理
[00:04:23.000 --> 00:04:26.000]  耶穌去改變當時的世界
[00:04:26.000 --> 00:04:29.000]  當時的羅馬強權的帝國
[00:04:29.000 --> 00:04:33.000]  最初是揀選甚麼門徒
[00:04:33.000 --> 00:04:35.000]  一班甚麼背景較多
[00:04:35.000 --> 00:04:37.000]  漁夫
[00:04:37.000 --> 00:04:40.000]  一班漁夫可不可以改變世界
[00:04:40.000 --> 00:04:42.000]  可不可以
[00:04:42.000 --> 00:04:43.000]  在人眼中不可以
[00:04:43.000 --> 00:04:45.000]  但在神的手中可不可以
[00:04:45.000 --> 00:04:46.000]  可以的
[00:04:46.000 --> 00:04:48.000]  聖經裏面有一個很重要的真理
[00:04:48.000 --> 00:04:50.000]  就是不要看輕自己
[00:04:50.000 --> 00:04:52.000]  好像一個小人物
[00:04:52.000 --> 00:04:54.000]  但神在一個艱難的世代裏面
[00:04:54.000 --> 00:04:57.000]  要我們參與改變世界的大使命
