
[00:00:00.000 --> 00:00:03.080]  謝謝敬拜對大靈來一個很好的敬拜
[00:00:03.080 --> 00:00:05.640]  剛才邱牧師問下什麼日子
[00:00:05.640 --> 00:00:09.600]  大家還是在說情人節
[00:00:09.600 --> 00:00:13.200]  昨晚希望大家都過一個很開心的情人節晚上
[00:00:13.200 --> 00:00:16.800]  昨晚我們第一次是周六和清崇分開的
[00:00:16.800 --> 00:00:21.560]  原因是終於把拍拍拖拖的情愛
[00:00:21.560 --> 00:00:23.560]  留在青年區裡面去分享
[00:00:23.560 --> 00:00:26.680]  反而在大堂也是借著情人節的日子
[00:00:26.680 --> 00:00:30.120]  分開的主題叫做「承傳的愛」
[00:00:30.120 --> 00:00:31.840]  為什麼會想起這個題目呢
[00:00:31.840 --> 00:00:38.080]  原因就是情人節在最近的商業社會之下
[00:00:38.080 --> 00:00:39.920]  吹噓得很厲害
[00:00:39.920 --> 00:00:43.720]  昨天在尖沙咀也是一個很熱鬧的地方
[00:00:43.720 --> 00:00:49.640]  但是實際上情人節不是我們說愛情的
[00:00:49.640 --> 00:00:54.360]  你要知道2月14號是紀念一位神父
[00:00:54.360 --> 00:00:57.320]  叫做聖雅倫,但我們喜歡叫做華倫天奴
[00:00:57.320 --> 00:00:59.320]  因為習慣了這個翻譯
[00:00:59.320 --> 00:01:01.320]  其實是他殉道的日子
[00:01:01.320 --> 00:01:02.680]  為什麼他殉道呢
[00:01:02.680 --> 00:01:06.720]  有很多傳說,但兩個通常說得比較多
[00:01:06.720 --> 00:01:09.640]  第一個就是因為當時打仗
[00:01:09.640 --> 00:01:12.640]  皇帝不想男丁有家室
[00:01:12.640 --> 00:01:15.440]  太掛念,不夠空巷
[00:01:15.440 --> 00:01:20.240]  於是禁止當時的青年男女叫士兵去結婚
[00:01:20.240 --> 00:01:26.280]  而華倫天奴卻幫了一群想結婚的人一起結婚
[00:01:26.280 --> 00:01:30.160]  於是他就死了
