
[00:00:00.000 --> 00:00:12.000]  昨天全美國紀念父親節 舉行了這個No Kings的這個示威遊行全美各地
[00:00:12.000 --> 00:00:19.000]  我想大家都知道在洛杉磯發生的這些天的騷亂
[00:00:19.000 --> 00:00:27.000]  也知道全美國現在正在為著這件事情好像是一直在燃燒
[00:00:29.000 --> 00:00:33.000]  其實這一個 他這個口號講No King的時候
[00:00:33.000 --> 00:00:42.000]  我就想到今天的父親節 另外一個跟他類似的就是No Fathers
[00:00:42.000 --> 00:00:47.000]  今天在美國 其實這兩個很有關係的
[00:00:47.000 --> 00:00:51.000]  你會發現今天美國很多的問題從哪裡來
[00:00:51.000 --> 00:00:57.000]  其實是跟No Fathers有關係
[00:00:59.000 --> 00:01:04.000]  也許我們在剛過了母親節 我們覺得母親很重要 是不是
[00:01:04.000 --> 00:01:11.000]  可是親愛的劉子美你知道嗎 父親更重要 為什麼
[00:01:11.000 --> 00:01:19.000]  在美國的這個新聞周刊在1993年的時候
[00:01:20.000 --> 00:01:30.000]  曾經他有一個封面的 可以說他的封面的文章就講到
[00:01:30.000 --> 00:01:36.000]  這個叫做A World Without Fathers
[00:01:36.000 --> 00:01:41.000]  另外其實也有一個雜誌裡面
[00:01:41.000 --> 00:01:47.000]  也是用一個封面的主題叫做Fathers
[00:01:48.000 --> 00:01:52.000]  就是無父的Fatherless Generation
[00:01:52.000 --> 00:01:57.000]  為什麼在講這個文章 在這個文章裡面探討就是說
[00:01:57.000 --> 00:02:04.000]  他說美國的家庭裡面現在缺乏父親成長
[00:02:04.000 --> 00:02:07.000]  在成長的過程當中缺乏父親
[00:02:07.000 --> 00:02:15.000]  根據統計 美國大概有四分之一的美國人的孩子
[00:02:16.000 --> 00:02:20.000]  他們的父親是所謂的Absent Father
[00:02:20.000 --> 00:02:22.000]  也就是缺席的父親
[00:02:22.000 --> 00:02:26.000]  也就是說在他們成長的過程當中
[00:02:26.000 --> 00:02:30.000]  他們沒有父親在他們旁邊
[00:02:30.000 --> 00:02:36.000]  那麼其中有23%的家庭呢 很少看到父親
[00:02:36.000 --> 00:02:45.000]  62%的家庭雖然見到父親 但是父親是人在心不在
[00:02:46.000 --> 00:02:52.000]  只有15%的家庭他們有正常的父子關係
[00:02:52.000 --> 00:02:58.000]  換句話說 十個孩子當中有八個孩子的父親
[00:02:58.000 --> 00:03:02.000]  並沒有扮演好他做父親的角色
[00:03:02.000 --> 00:03:05.000]  可能中國的父母心會想說
[00:03:05.000 --> 00:03:10.000]  哎呀 我已經這麼辛苦 你們還不appreciate我 是不是
[00:03:10.000 --> 00:03:15.000]  我為了家裡面 我拼命的在努力賺錢啊
[00:03:16.000 --> 00:03:20.000]  這一個對不對呢 對不對
[00:03:20.000 --> 00:03:24.000]  對 不完全對
[00:03:24.000 --> 00:03:28.000]  父親的責任不是只是為了賺錢
[00:03:28.000 --> 00:03:35.000]  可是unfortunately 其實不僅僅是中國人
[00:03:35.000 --> 00:03:42.000]  美國人 事實上這個世界給男人的一個好像觀念就是說
[00:03:42.000 --> 00:03:48.000]  男人要出去工作 賺錢 養家 怎麼樣 虎口
[00:03:48.000 --> 00:03:53.000]  所以很多的男人 特別我們中國的男人
[00:03:53.000 --> 00:03:58.000]  我們覺得我們努力賺錢 我們就盡到我們做父親的責任了
[00:03:58.000 --> 00:04:02.000]  可是這是 不是的
[00:04:03.000 --> 00:04:12.000]  曾經讓我們看見 作為父親的角色是遠遠超過只是去賺錢養家
[00:04:12.000 --> 00:04:17.000]  中國據統計有六千萬的留守兒童
[00:04:17.000 --> 00:04:23.000]  六千萬了 這些叫做留守兒童是什麼意思呢
[00:04:23.000 --> 00:04:26.000]  就是父母親為了工作的關係
[00:04:26.000 --> 00:04:33.000]  他們把孩子放在老家 讓父母親或者祖父母去帶他
[00:04:33.000 --> 00:04:38.000]  這個叫留守兒童 全中國有六千萬的留守兒童
[00:04:38.000 --> 00:04:46.000]  現在看這些留守兒童 當他們在成長的過程當中的時候
[00:04:46.000 --> 00:04:52.000]  他們不僅僅是沒有父親 甚至母親也不在旁邊
[00:04:54.000 --> 00:04:58.000]  這是一個這個時代一個很大的悲哀
[00:04:58.000 --> 00:05:03.000]  所以今天的經文你們告訴我們說
[00:05:03.000 --> 00:05:07.000]  他說 我們剛才讀的這一個經文
[00:05:07.000 --> 00:05:15.000]  這個馬拉基書 在這裡提到他說
[00:05:15.000 --> 00:05:22.000]  他說 他必使父親的心轉向兒女 兒女的心轉向父親
[00:05:23.000 --> 00:05:25.000]  這是在什麼樣的情況之下呢
[00:05:25.000 --> 00:05:30.000]  他說 在耶和華大而可畏之日未到以前
[00:05:30.000 --> 00:05:38.000]  耶和華大而可畏之日未到之前 就是指的主宰來之前
[00:05:38.000 --> 00:05:43.000]  所以你發現今天這個世代不是只是美國的問題
[00:05:43.000 --> 00:05:49.000]  這是一個全世界的問題 也就是一個無父的一個世代
[00:05:50.000 --> 00:05:55.000]  可是神的心意 他說 他要使父親的心轉向兒女
[00:05:55.000 --> 00:05:58.000]  兒女的心轉向父親
[00:05:58.000 --> 00:06:01.000]  那請告訴我 這句話的意思反過來是什麼
[00:06:01.000 --> 00:06:08.000]  父親的心在哪裡 父親的心在哪裡 在哪裡
[00:06:08.000 --> 00:06:14.000]  你會發現父親的心可能是在事業
[00:06:14.000 --> 00:06:18.000]  父親的心可能是在股票市場
[00:06:18.000 --> 00:06:22.000]  父親的心可能是在談政治 有沒有
[00:06:22.000 --> 00:06:24.000]  我們弟兄們聚在一起的時候
[00:06:24.000 --> 00:06:28.000]  查完經 可能茶餘飯後 閒談的內容是什麼
[00:06:28.000 --> 00:06:30.000]  大概就是政治
[00:06:30.000 --> 00:06:33.000]  那美國人除了政治之外 還有談什麼
[00:06:33.000 --> 00:06:35.000]  體育 運動 是吧
[00:06:35.000 --> 00:06:39.000]  現在都是沒
[00:06:39.000 --> 00:06:47.000]  可是父親的心不在家 形成了很多父親的缺席
[00:06:49.000 --> 00:06:51.000]  根據這些統計
[00:06:51.000 --> 00:06:55.000]  如果父親不在家
[00:06:55.000 --> 00:07:04.000]  也就是說 他從小沒有得到父親的這樣子的陪伴成長的
[00:07:04.000 --> 00:07:09.000]  他的比例就是這個percentage
[00:07:09.000 --> 00:07:12.000]  他很可能會入獄 這是第一個
[00:07:12.000 --> 00:07:16.000]  第二個 他很可能會去犯罪
[00:07:16.000 --> 00:07:20.000]  第三個 少女懷孕的這個比例是七倍
[00:07:20.000 --> 00:07:25.000]  teenager 年輕的女孩子就懷孕
[00:07:25.000 --> 00:07:27.000]  這種的比例是七倍
[00:07:27.000 --> 00:07:29.000]  那些正常有父親在家的家庭
[00:07:29.000 --> 00:07:33.000]  最後這裡提到說 他們還有什麼呢
[00:07:33.000 --> 00:07:37.000]  被虐待 還有被忽視
[00:07:37.000 --> 00:07:44.000]  所以父親非常的重要
[00:07:44.000 --> 00:07:47.000]  跟你旁邊說 父親非常重要
[00:07:47.000 --> 00:07:51.000]  這有一個統計 是說
[00:07:51.000 --> 00:07:55.000]  如果一個人是在有父親陪伴的
[00:07:55.000 --> 00:07:57.000]  這個當中長大的孩子呢
[00:07:57.000 --> 00:08:00.000]  他說他的學業上面
[00:08:00.000 --> 00:08:05.000]  39%的比例 他會拿到straight A
[00:08:05.000 --> 00:08:08.000]  45%的比例
[00:08:08.000 --> 00:08:14.000]  他們會上大學的比例是更高
[00:08:14.000 --> 00:08:16.000]  等等這些學業成績的進步
[00:08:16.000 --> 00:08:18.000]  還有包括他們的怎麼樣子呢
[00:08:18.000 --> 00:08:21.000]  他們的人生觀 他們的價值觀
[00:08:21.000 --> 00:08:24.000]  還有他們的心理 他們的情感
[00:08:24.000 --> 00:08:30.000]  各方面的這種的成長都是會比較健康的
[00:08:30.000 --> 00:08:37.000]  所以父親你不要小看他
[00:08:39.000 --> 00:08:41.000]  有時候做母親的
[00:08:41.000 --> 00:08:44.000]  也特別需要把父親抓回來
[00:08:44.000 --> 00:08:48.000]  把父親的角色更多的讓他被看中
[00:08:48.000 --> 00:08:51.000]  我看到有一些家庭
[00:08:51.000 --> 00:08:56.000]  母親常常讓先生會覺得
[00:08:56.000 --> 00:08:57.000]  讓爸爸會覺得
[00:08:57.000 --> 00:09:00.000]  其實你不在家 It's OK
[00:09:00.000 --> 00:09:04.000]  不是 這不對的
[00:09:04.000 --> 00:09:05.000]  特別今天你新了主
[00:09:05.000 --> 00:09:07.000]  更不能夠有如此的觀念
[00:09:07.000 --> 00:09:09.000]  有時候父母親在孩子面前
[00:09:09.000 --> 00:09:11.000]  好像真的表示說
[00:09:11.000 --> 00:09:13.000]  自己誰比較有功勞的時候
[00:09:13.000 --> 00:09:15.000]  千萬不要有這種心態
[00:09:15.000 --> 00:09:16.000]  在兒女的面前
[00:09:16.000 --> 00:09:19.000]  在真正表示自己多麼重要
[00:09:19.000 --> 00:09:21.000]  親愛的孩子們
[00:09:21.000 --> 00:09:25.000]  上帝設立的家庭是有父有母 Amen
[00:09:25.000 --> 00:09:27.000]  是不是
[00:09:27.000 --> 00:09:30.000]  那過去我們看見
[00:09:30.000 --> 00:09:34.000]  仇敵就是把這個父親這個角色
[00:09:34.000 --> 00:09:36.000]  漸漸的從這個家庭裡面拿去了
[00:09:37.000 --> 00:09:39.000]  很多的孩子成長的過程當中
[00:09:39.000 --> 00:09:41.000]  沒有父親在陪伴
