
[00:00:00.000 --> 00:00:05.800]  好感謝主在美國大半年的時間
[00:00:05.800 --> 00:00:12.300]  我有機會將50年前讀過的四大名著看一次
[00:00:12.300 --> 00:00:16.200]  不是看書,是看劇集
[00:00:16.200 --> 00:00:24.800]  以前看《西遊記》、《紅樓夢》、《三國演義》、《水滸傳》看書
[00:00:24.800 --> 00:00:31.700]  但是現在在美國華人居住最多的城市的圖書館
[00:00:31.700 --> 00:00:34.900]  中文的報刊很多
[00:00:34.900 --> 00:00:36.400]  中文書相當多
[00:00:36.400 --> 00:00:42.100]  而且有很多在香港、台灣、大陸流行的劇集
[00:00:42.100 --> 00:00:44.200]  是免費任你借的
[00:00:44.200 --> 00:00:48.700]  結果我報了四大名著的劇集
[00:00:48.700 --> 00:00:51.500]  一邊抱著書籤一邊看
[00:00:51.500 --> 00:00:54.100]  這是一個很大的得著
[00:00:54.100 --> 00:00:58.500]  另外我每天都關心時事
[00:00:58.500 --> 00:01:02.000]  在那邊華人的社會沒得喝早茶
[00:01:02.000 --> 00:01:05.800]  唯一就去街角的麵包店
[00:01:05.800 --> 00:01:09.000]  一元美金買一個菠蘿叉燒包
[00:01:09.000 --> 00:01:10.600]  或者菠蘿豆沙
[00:01:10.600 --> 00:01:14.600]  然後一元美金買一杯regular coffee
[00:01:14.600 --> 00:01:18.000]  然後六毫買一份星島日報
[00:01:18.000 --> 00:01:19.900]  就在那邊打等
[00:01:19.900 --> 00:01:22.000]  我去到其實回家吃都可以
[00:01:22.000 --> 00:01:23.600]  為什麼要坐在那裡呢?
[00:01:23.600 --> 00:01:27.900]  原來很多老華僑每天都在那裡見面
[00:01:27.900 --> 00:01:30.800]  他們用一些台山的英文
[00:01:30.800 --> 00:01:32.500]  很精彩的
[00:01:32.500 --> 00:01:35.100]  精彩過現在香港那些很多
[00:01:35.100 --> 00:01:37.200]  你們要猜一下
[00:01:37.200 --> 00:01:40.200]  然後他們就一邊看星島
[00:01:40.200 --> 00:01:42.800]  一邊評論世界大事
[00:01:42.800 --> 00:01:45.400]  中港台所有事情都評論
[00:01:45.400 --> 00:01:47.300]  你會聽到很多消息
[00:01:47.300 --> 00:01:49.300]  很有趣的
[00:01:49.300 --> 00:01:52.000]  而且在那裡的報刊
[00:01:52.000 --> 00:01:55.800]  國際視野大很多
[00:01:55.800 --> 00:01:59.000]  在那裡就算同樣是星島
