
[00:00:00.000 --> 00:00:02.000]  頂姐妹,平安!
[00:00:02.000 --> 00:00:06.000]  謝神約我們在神的家裡一起去敬拜。
[00:00:06.000 --> 00:00:09.000]  今天選了一段經文,
[00:00:09.000 --> 00:00:12.000]  是有少許背景的,選了這段經文。
[00:00:12.000 --> 00:00:17.000]  因為這道「拆毀隔絕的牆」,
[00:00:17.000 --> 00:00:22.000]  不知道大家有沒有看過我上週寫的《牧者心聲》?
[00:00:22.000 --> 00:00:23.000]  有沒有人看過?
[00:00:23.000 --> 00:00:25.000]  其中我又去退休。
[00:00:25.000 --> 00:00:30.000]  退休一開始的時候,老師就問我一個問題,
[00:00:30.000 --> 00:00:34.000]  就是說:「你現在與神的距離有多少?」
[00:00:34.000 --> 00:00:37.000]  接著我閉上眼睛,感覺一下,
[00:00:37.000 --> 00:00:42.000]  「是的,我與神的距離現在有多少?」
[00:00:42.000 --> 00:00:45.000]  接著有一幅圖畫出現,
[00:00:45.000 --> 00:00:48.000]  就是類似我的意境是像這樣,
[00:00:48.000 --> 00:00:50.000]  駁斷了牆,冷了。
[00:00:50.000 --> 00:00:51.000]  但我不懂畫。
[00:00:51.000 --> 00:00:55.000]  接著老師要我把這個感覺畫出來,
[00:00:55.000 --> 00:00:57.000]  其實我出現了一個圖畫,
[00:00:57.000 --> 00:01:02.000]  是看到牆中間打散了,
[00:01:02.000 --> 00:01:04.000]  接著耶穌就在中間。
[00:01:04.000 --> 00:01:07.000]  因為我沒有帶顏色筆,
[00:01:07.000 --> 00:01:09.000]  所以用老師提供的顏色筆,
[00:01:09.000 --> 00:01:12.000]  即是出去拿幾枝,然後回來游來游去,
[00:01:12.000 --> 00:01:14.000]  回去拿幾枝又換回來,
[00:01:14.000 --> 00:01:17.000]  所以時間都可能這樣用了。
[00:01:17.000 --> 00:01:19.000]  所以畫得不是那麼漂亮,
[00:01:19.000 --> 00:01:21.000]  因為我不夠時間填顏色。
[00:01:21.000 --> 00:01:25.000]  接著草草地畫了一個意境出來,
[00:01:25.000 --> 00:01:26.000]  就是這幅圖畫。
[00:01:26.000 --> 00:01:28.000]  很快打出來了給大家看,
[00:01:28.000 --> 00:01:30.000]  其實大家不知道我在畫甚麼。
[00:01:30.000 --> 00:01:32.000]  其實我背後是想畫牆,
[00:01:32.000 --> 00:01:34.000]  因為我不太懂畫圖畫,
[00:01:34.000 --> 00:01:36.000]  真的有點獻醜,不過不要緊。
[00:01:36.000 --> 00:01:39.000]  不過給大家看看究竟發生甚麼事。
[00:01:39.000 --> 00:01:42.000]  就是那幅牆一格格,
[00:01:42.000 --> 00:01:44.000]  其實生命裏面,
[00:01:44.000 --> 00:01:47.000]  我其實有很多元素去組合我的生命。
[00:01:47.000 --> 00:01:50.000]  其實在不久之前,
[00:01:50.000 --> 00:01:52.000]  我自己都在執線面前,
[00:01:52.000 --> 00:01:55.000]  很真誠地分享我的成長,各方面。
[00:01:55.000 --> 00:01:57.000]  然後一起去祈禱的時候,
[00:01:57.000 --> 00:02:00.000]  我覺得那幅牆是被打爛了的感覺。
[00:02:00.000 --> 00:02:02.000]  回想這個片段,
[00:02:02.000 --> 00:02:06.000]  我就覺得耶穌很真實地,
[00:02:06.000 --> 00:02:11.000]  在打垮了的牆上填補了那個位置。
[00:02:11.000 --> 00:02:13.000]  是有榮耀的,
[00:02:13.000 --> 00:02:17.000]  神在垮了的地方是有榮耀的感覺。
[00:02:17.000 --> 00:02:19.000]  所以我旁邊畫了很多黃色,
[00:02:19.000 --> 00:02:21.000]  就是神的榮耀。
[00:02:21.000 --> 00:02:24.000]  耶穌,因為時間不太夠畫耶穌,
[00:02:24.000 --> 00:02:27.000]  所以草草地畫了一個耶穌,
[00:02:27.000 --> 00:02:29.000]  其實中間那個是耶穌。
[00:02:29.000 --> 00:02:34.000]  很想帶著這份生命的體見,
[00:02:34.000 --> 00:02:39.000]  去到今天跟大家分享的經文裏面。
[00:02:39.000 --> 00:02:44.000]  今天的經文是二福所書,
[00:02:44.000 --> 00:02:49.000]  是保羅寫信給二福所教會的人。
[00:02:49.000 --> 00:02:52.000]  這幫人是外邦人,
[00:02:52.000 --> 00:02:54.000]  因為保羅在他的宣教旅程裏面,
[00:02:54.000 --> 00:02:57.000]  建立了其中一間教會。
[00:02:57.000 --> 00:02:59.000]  他寫道給什麼人呢?
[00:02:59.000 --> 00:03:03.000]  就是給在基督耶穌裏,
[00:03:03.000 --> 00:03:05.000]  忠心的人。
[00:03:05.000 --> 00:03:07.000]  不知道你是否忠心的人呢?
[00:03:07.000 --> 00:03:10.000]  感謝主啊!
[00:03:10.000 --> 00:03:12.000]  在神的裏面,
[00:03:12.000 --> 00:03:14.000]  你會知道自己是否忠心的人。
[00:03:14.000 --> 00:03:18.000]  這本書其實很適合我們每一個人去聽,
[00:03:18.000 --> 00:03:20.000]  特別是你很認真,
[00:03:20.000 --> 00:03:21.000]  在信仰的旅程裏面,
[00:03:21.000 --> 00:03:25.000]  很想去經歷神的生命的每一個你,
[00:03:25.000 --> 00:03:29.000]  都是值得去聽忠心的人。
[00:03:29.000 --> 00:03:31.000]  忠心的人不是自己說話的時候,
[00:03:31.000 --> 00:03:36.000]  是神在祂當中來評斷我們是否忠心的人。
[00:03:36.000 --> 00:03:41.000]  這裏和這幫忠心的人,
[00:03:41.000 --> 00:03:43.000]  保羅一開手,
[00:03:43.000 --> 00:03:45.000]  他就告訴他們,
[00:03:45.000 --> 00:03:49.000]  你的生命是怎樣來的?
[00:03:49.000 --> 00:03:51.000]  在創世之前,
