
[00:00:00.000 --> 00:00:01.560]  Hello 各位聽眾好
[00:00:01.560 --> 00:00:05.000]  很高興再次有機會跟大家一起敬拜上帝
[00:00:05.000 --> 00:00:08.760]  以及跟你們分享上帝的說話
[00:00:08.760 --> 00:00:12.040]  大家知道現在美國大選即將到來
[00:00:12.040 --> 00:00:15.120]  所以兩個總統剛剛辯論完
[00:00:15.120 --> 00:00:19.840]  吵架,然後彼此指責
[00:00:19.840 --> 00:00:24.360]  但很多時候反而一些應該討論的問題沒有提到
[00:00:24.360 --> 00:00:26.840]  不知道以後兩者的辯論如何
[00:00:26.840 --> 00:00:31.880]  其實無論如何每個國家都有一些不同的問題
[00:00:31.880 --> 00:00:34.520]  是每個總統都需要處理的
[00:00:34.520 --> 00:00:36.600]  2019年的時候
[00:00:36.600 --> 00:00:38.840]  其實有一個議題出來了
[00:00:38.840 --> 00:00:40.920]  但沒有什麼人去留意和關注
[00:00:40.920 --> 00:00:44.360]  但其實對美國的社會做了一個很長遠的影響
[00:00:44.360 --> 00:00:46.280]  這是什麼呢?
[00:00:46.280 --> 00:00:48.000]  就是美國人口的老化
[00:00:48.000 --> 00:00:51.920]  出生率不如死亡率
[00:00:51.920 --> 00:00:56.080]  按照2019年的報告告訴我們
[00:00:56.080 --> 00:01:01.960]  2019年的出生率是美國有史以來最低的
[00:01:01.960 --> 00:01:09.640]  平均每個婦女一生人當中只生育1.7個嬰孩
[00:01:09.640 --> 00:01:13.160]  如果美國的出生人口能夠追得上
[00:01:13.160 --> 00:01:17.600]  可以取締、取代那些離世的人口的話
[00:01:17.600 --> 00:01:25.520]  按計算應該每一千個女人要生2,100個嬰孩
[00:01:25.520 --> 00:01:34.360]  換句話說,每一個能夠生育的女士要生產2.1個嬰孩
[00:01:34.360 --> 00:01:37.240]  所以現在美國每年的出生人數
[00:01:37.240 --> 00:01:41.280]  事實上是比死亡人數少100萬
[00:01:41.280 --> 00:01:44.400]  所以美國人越來越少,而且越來越老化
[00:01:44.400 --> 00:01:46.760]  這個問題再不去處理的話
[00:01:46.760 --> 00:01:51.520]  幾十年後就會很危險了
[00:01:51.520 --> 00:01:56.960]  根據CDC,美國疾病控制及預防中心
[00:01:56.960 --> 00:01:59.080]  現在經常說疫情的事情
[00:01:59.080 --> 00:02:02.480]  但是去年做過一個報告就是說
[00:02:02.480 --> 00:02:08.040]  適齡生產的婦女,他計算是15到44歲
[00:02:08.040 --> 00:02:13.080]  大約有10到12%是不能夠生育、不能夠懷孕
[00:02:13.080 --> 00:02:15.680]  或者是可以懷孕成功的
[00:02:15.680 --> 00:02:19.360]  超過610萬人這麼多
[00:02:19.360 --> 00:02:24.000]  當然,當說到美國出生率的下降
[00:02:24.000 --> 00:02:25.920]  有很多不同的因素
[00:02:25.920 --> 00:02:28.360]  但是有一件事是無可否認的,是什麼呢?
[00:02:28.360 --> 00:02:32.960]  原來就是每10個合適懷孕的婦女當中
[00:02:32.960 --> 00:02:37.400]  至少有一個是不能夠懷孕或者成功生育的
[00:02:37.400 --> 00:02:41.520]  如果這些婦女和他們的配偶很想有小朋友的話
[00:02:41.520 --> 00:02:45.880]  他們就會承受很大的心理壓力
[00:02:45.880 --> 00:02:51.160]  如果還在一個重男輕女的家庭或者社會當中
[00:02:51.160 --> 00:02:54.960]  他們還會承受來自社會和長輩的壓力
[00:02:54.960 --> 00:02:56.920]  如果家裡還有一些人不長進
