
[00:00:00.000 --> 00:00:03.000]  各位朋友、各位弟兄姊妹
[00:00:03.000 --> 00:00:05.000]  今天晚上
[00:00:05.000 --> 00:00:07.000]  或者說是十二月二十四日
[00:00:07.000 --> 00:00:09.000]  無論在地球上
[00:00:09.000 --> 00:00:11.000]  東、西、南、北
[00:00:11.000 --> 00:00:15.000]  東半球、西半球、南半球、北半球
[00:00:15.000 --> 00:00:18.000]  都在這裡做一件事
[00:00:18.000 --> 00:00:20.000]  就是慶祝生日
[00:00:20.000 --> 00:00:22.000]  那誰生日呢?
[00:00:22.000 --> 00:00:25.000]  聖誕老人?
[00:00:25.000 --> 00:00:27.000]  當然不是啦
[00:00:27.000 --> 00:00:32.000]  那耶穌的生日關我什麼事呢?
[00:00:32.000 --> 00:00:34.000]  關你什麼事呢?
[00:00:34.000 --> 00:00:36.000]  人家生日
[00:00:36.000 --> 00:00:38.000]  隔離擺酒生日
[00:00:38.000 --> 00:00:41.000]  你又去趁熱鬧?
[00:00:41.000 --> 00:00:45.000]  我不是詆毀人命,我只是說真話
[00:00:45.000 --> 00:00:49.000]  我讀大學的時候
[00:00:49.000 --> 00:00:53.000]  我的歷史教授是很厲害的
[00:00:53.000 --> 00:00:55.000]  他就說一句話
[00:00:55.000 --> 00:00:57.000]  我聽了之後不以為然
[00:00:57.000 --> 00:00:59.000]  他說你在香港
[00:00:59.000 --> 00:01:01.000]  他是從國內出來的
[00:01:01.000 --> 00:01:03.000]  他說你香港人
[00:01:03.000 --> 00:01:06.000]  十二月什麼叫聖誕?
[00:01:06.000 --> 00:01:08.000]  什麼誕來的?
[00:01:08.000 --> 00:01:11.000]  他說我們中國人有孔子誕叫孔誕
[00:01:11.000 --> 00:01:13.000]  是不是?
[00:01:13.000 --> 00:01:16.000]  他說你這個誕應該叫耶誕才對
[00:01:16.000 --> 00:01:17.000]  那我就想了想
[00:01:17.000 --> 00:01:19.000]  又是耶誕
[00:01:19.000 --> 00:01:21.000]  怎麼搞個聖誕出來呢?
[00:01:21.000 --> 00:01:24.000]  這跟聖、跟耶有什麼關係?
[00:01:24.000 --> 00:01:28.000]  今天我想我跟大家一起分享這個訊息
[00:01:28.000 --> 00:01:30.000]  不是單單我自己的
[00:01:30.000 --> 00:01:33.000]  在座我們台上有一班師班
[00:01:33.000 --> 00:01:36.000]  如果平常你們聽他們唱歌
[00:01:36.000 --> 00:01:39.000]  他們是不是即興拿起樂譜去唱?
[00:01:39.000 --> 00:01:40.000]  是不是?
[00:01:40.000 --> 00:01:42.000]  當然不是
[00:01:42.000 --> 00:01:44.000]  練了幾多個小時你不知道嗎?
[00:01:44.000 --> 00:01:46.000]  我想大大話話
[00:01:46.000 --> 00:01:49.000]  沒有三十,也有二十個小時吧?
[00:01:49.000 --> 00:01:50.000]  不止嗎?
[00:01:50.000 --> 00:01:52.000]  差不多吧
[00:01:52.000 --> 00:01:55.000]  他們天分很高
[00:01:55.000 --> 00:01:57.000]  沒空
[00:01:57.000 --> 00:01:59.000]  他們沒事做
[00:01:59.000 --> 00:02:00.000]  練唱歌
[00:02:00.000 --> 00:02:02.000]  今晚就在這裡演唱
[00:02:02.000 --> 00:02:03.000]  不是的,他們很忙
[00:02:03.000 --> 00:02:04.000]  有些剛剛下班
[00:02:04.000 --> 00:02:06.000]  我知道有些剛剛下飛機
[00:02:06.000 --> 00:02:08.000]  下飛機就趕來唱
[00:02:08.000 --> 00:02:10.000]  為什麼這麼有空?
[00:02:10.000 --> 00:02:13.000]  沒什麼,他們想將這個訊息
[00:02:13.000 --> 00:02:15.000]  這個故事
[00:02:15.000 --> 00:02:17.000]  就這樣說
[00:02:17.000 --> 00:02:19.000]  你未必聽得入耳
[00:02:19.000 --> 00:02:21.000]  聽了一下就打瞌睡了
[00:02:21.000 --> 00:02:22.000]  唱著唱著
[00:02:22.000 --> 00:02:23.000]  你又不會打瞌睡
[00:02:23.000 --> 00:02:24.000]  為什麼呢?
