
[00:00:00.000 --> 00:00:06.000]  主持人:大家早上好,願你們平安!
[00:00:06.000 --> 00:00:26.000]  主持人:這個司題反殉道以後,聖經使徒行傳連講了三個人的故事,三個都是他們皈信主耶穌的故事。
[00:00:26.000 --> 00:00:44.000]  主持人:第一個就是上周講到的,埃提阿伯的太監,今天是掃羅,下個星期是戈尼流。
[00:00:44.000 --> 00:00:56.000]  主持人:然後你可以看到這三個故事,最後我們會講一講他們有一個共同點。
[00:00:56.000 --> 00:01:03.000]  主持人:首先我們來看一下掃羅這個人。
[00:01:03.000 --> 00:01:08.000]  主持人:因為我們大家很習慣叫他保羅。
[00:01:08.000 --> 00:01:16.000]  主持人:他一個人貢獻了新約聖經差不多三分之一的篇幕。
[00:01:16.000 --> 00:01:29.000]  主持人:但是他原本的名字是掃羅,你們可以看到掃羅這個人的意識形態。
[00:01:29.000 --> 00:01:43.000]  主持人:說起什麼國際關係,國際政治,我們會說一個國家的意識形態是怎麼樣。
[00:01:43.000 --> 00:01:50.000]  主持人:這個掃羅就是有一個很典型的意識。
[00:01:50.000 --> 00:02:03.000]  主持人:他是一個非常熱心的,要維護宗教純潔性的人。
[00:02:03.000 --> 00:02:08.000]  主持人:你仔細想一想這個詞兒,熱心維護宗教純潔性。
[00:02:08.000 --> 00:02:15.000]  主持人:你仔細考慮一下這個詞兒,就是熱心維護宗教純潔性。
[00:02:15.000 --> 00:02:30.000]  主持人:我們猶太人一直以來的信仰,我們的形式,我們所遵循的,都不能改變。
[00:02:30.000 --> 00:02:50.000]  主持人:我們若是承認你,我們就可以接納你。我們不承認的,我們就要消滅的,這才能維護一個東西的純潔性。
[00:02:50.000 --> 00:02:59.000]  主持人:他就會自願去充當一個宗教警察的角色。
[00:02:59.000 --> 00:03:04.000]  主持人:他很熱心的,很願意這麼做。
[00:03:04.000 --> 00:03:14.000]  主持人:在這裏要提醒大家,這個不是邪惡敗壞的。
[00:03:14.000 --> 00:03:21.000]  主持人:他其實是非常正直的,他要做這個事。
