
[00:00:00.000 --> 00:00:01.260]  丁子妹 早晨
[00:00:01.260 --> 00:00:04.300]  很高興能夠再次能夠在主日崇拜的時間
[00:00:04.300 --> 00:00:06.900]  和大家一起分享神的說話
[00:00:06.900 --> 00:00:08.560]  讓在聆聽主導儀先
[00:00:08.560 --> 00:00:10.340]  我們一起透過禱告
[00:00:10.340 --> 00:00:11.940]  讓聖靈幫助我們
[00:00:11.940 --> 00:00:14.000]  能夠預備我們新心靈
[00:00:14.000 --> 00:00:16.160]  能夠領受神的教導
[00:00:16.160 --> 00:00:19.100]  讓我們同心去禱告
[00:00:19.100 --> 00:00:20.140]  親愛的天父 多謝祢
[00:00:20.140 --> 00:00:25.200]  讓我們能夠再次回到祢寶貴的說話面前學習
[00:00:25.200 --> 00:00:27.960]  求祢的聖靈幫助我們
[00:00:27.960 --> 00:00:31.860]  能夠讓我們不單止準確能夠領受
[00:00:31.860 --> 00:00:35.760]  在約爾書裏面的啟示
[00:00:35.760 --> 00:00:41.860]  同時間讓我們能夠亦都有這份的聖靈與我們同在
[00:00:41.860 --> 00:00:44.060]  在每一天的生活裏面
[00:00:44.060 --> 00:00:46.760]  能夠一同的在主理當中
[00:00:46.760 --> 00:00:50.160]  去仰望實踐主理的真理
[00:00:50.160 --> 00:00:51.760]  求祢的幫助
[00:00:51.760 --> 00:00:54.060]  Amen
[00:00:54.060 --> 00:00:56.760]  好 讓我們在聆聽主導儀先
[00:00:56.760 --> 00:01:02.360]  我們一起去看看今天這段經文是說些甚麼
[00:01:02.360 --> 00:01:08.660]  今天的講題是「復甦臣子民的第三擊」
[00:01:08.660 --> 00:01:12.460]  約爾書的第一章第十一節
[00:01:12.460 --> 00:01:15.860]  「農夫啊 你們要慚愧
[00:01:15.860 --> 00:01:20.360]  收你葡萄園的 你們要哀號
[00:01:20.360 --> 00:01:27.360]  因為大麥、小麥與田間的莊稼都滅絕了
[00:01:27.360 --> 00:01:32.360]  葡萄樹枯幹 無花果樹衰殘
[00:01:32.360 --> 00:01:36.960]  石榴樹、棕樹、蘋果樹
[00:01:36.960 --> 00:01:42.460]  連田野一切的樹木也都枯幹
[00:01:42.460 --> 00:01:46.460]  眾人的喜樂盡都消滅」
[00:01:46.460 --> 00:01:48.460]  很多人都很喜歡花
[00:01:48.460 --> 00:01:51.860]  我其實我自己都很喜歡花的
[00:01:51.860 --> 00:01:55.360]  所以一到春天的時間
[00:01:55.360 --> 00:01:58.460]  很多人就喜歡去買花
[00:01:58.460 --> 00:02:01.360]  特別我們華人
[00:02:01.360 --> 00:02:03.360]  如果剛剛過的農曆新年
[00:02:03.360 --> 00:02:07.060]  我們都會發現到在農曆新年的前後
[00:02:07.060 --> 00:02:09.860]  華人都很喜歡去一些花店裏面
[00:02:09.860 --> 00:02:13.560]  買一些被剪下來的鮮花
[00:02:13.560 --> 00:02:18.060]  然後插在家裏面做一些裝飾
[00:02:18.060 --> 00:02:22.060]  不過我自己就會更加喜歡
[00:02:22.060 --> 00:02:25.960]  去看看究竟我在早一年的時候
[00:02:25.960 --> 00:02:28.460]  種了在前後院裏面的花
[00:02:28.460 --> 00:02:31.960]  究竟它們的情況是怎樣
[00:02:31.960 --> 00:02:34.960]  我通常都很多時候會日間
[00:02:34.960 --> 00:02:37.960]  早上或者晚上的時候就會去看一下
[00:02:37.960 --> 00:02:40.960]  看到它們開始有些初苗
[00:02:40.960 --> 00:02:44.460]  開始從泥土那裏破土而出
[00:02:44.460 --> 00:02:49.260]  漸漸就開始看見它有一點點的枝葉
[00:02:49.260 --> 00:02:51.260]  開始長出來
[00:02:51.260 --> 00:02:56.260]  到最後還看到它們有些花冧
[00:02:56.260 --> 00:03:02.260]  開始從這些葉與葉、枝與枝之間去展露
[00:03:02.260 --> 00:03:05.260]  不過我相信最開心的時刻
[00:03:05.260 --> 00:03:08.260]  通常都是去看到
[00:03:08.260 --> 00:03:13.760]  當這些花冧能夠真是開花盛放
[00:03:13.760 --> 00:03:18.760]  而襯托在這些漂亮的一些綠葉之間
[00:03:18.760 --> 00:03:23.760]  那種喜樂真是很快樂的
[00:03:23.760 --> 00:03:26.760]  特別當在這個過程當中
[00:03:26.760 --> 00:03:31.260]  這些花好像和我一直有一些生命的交流一樣
[00:03:31.260 --> 00:03:37.760]  就看著好像一個昨晚還在媽媽肚裏面的胎兒
[00:03:37.760 --> 00:03:38.760]  在那裏動來動去的
[00:03:38.760 --> 00:03:44.260]  但是今天就可以看到它抱在身上看見它的笑容
[00:03:44.260 --> 00:03:46.260]  真是令我很開心
[00:03:46.260 --> 00:03:51.260]  那份喜樂是很難以形容的一種喜樂
[00:03:51.260 --> 00:03:55.260]  我相信對於很多的農夫來說
[00:03:55.260 --> 00:03:58.260]  如果他們看到一些農作物
[00:03:58.260 --> 00:04:02.260]  能夠真是由它們落種
[00:04:02.260 --> 00:04:06.260]  番桃落種然後開始看見它長芽生長
[00:04:06.260 --> 00:04:12.260]  即是說是一條蔥或者只是簡單的一寸的墨水都好
[00:04:12.260 --> 00:04:15.260]  但是當它看見它成長的時候
[00:04:15.260 --> 00:04:19.260]  那份的喜悅是難以形容的
[00:04:19.260 --> 00:04:21.260]  不過很可惜的一件事
[00:04:21.260 --> 00:04:24.760]  人就有一個壞的情況
[00:04:24.760 --> 00:04:29.260]  就是我們經常都很容易變得習以為常
[00:04:29.260 --> 00:04:31.760]  英文叫做take it for granted
[00:04:31.760 --> 00:04:36.260]  當我們如果長期在一個祝福裏面的時候
[00:04:36.260 --> 00:04:40.760]  就會漸漸開始不是太過曉得珍惜這些祝福
[00:04:40.760 --> 00:04:44.260]  都不要再說那個施予這個祝福那個人
