
[00:00:00.000 --> 00:00:04.480]  我們今天是穿上全副軍裝的下集
[00:00:04.480 --> 00:00:08.360]  大家可能記得上一次我分享上集的時候
[00:00:08.360 --> 00:00:11.160]  當我決定要再一次打網球的時候
[00:00:11.160 --> 00:00:13.440]  我都好好預備好我的裝備
[00:00:13.440 --> 00:00:16.280]  要再一次去弄好快網球拍
[00:00:16.280 --> 00:00:20.520]  以及要再一次買一雙去打網球的網球鞋
[00:00:20.520 --> 00:00:22.320]  今天想問問大家
[00:00:22.320 --> 00:00:24.640]  不知道你有沒有在一些事情上
[00:00:24.640 --> 00:00:28.480]  你是需要一些外來或者特別的幫助
[00:00:28.480 --> 00:00:30.280]  才能夠完成的呢?
[00:00:30.280 --> 00:00:34.200]  最近我們就開始了少年門女錄
[00:00:34.200 --> 00:00:36.920]  每一次少年門女開始的時間
[00:00:36.920 --> 00:00:38.800]  我們三位少年的牧者
[00:00:38.800 --> 00:00:43.040]  都會示範一下如何去預備門女三寶
[00:00:43.040 --> 00:00:46.280]  如果你上過門女你就知道什麼是門女三寶
[00:00:46.280 --> 00:00:50.120]  門女三寶就不是茄子、青椒、羊、豆腐
[00:00:50.120 --> 00:00:53.120]  門女三寶如果你上過門女就知道了
[00:00:53.120 --> 00:00:56.920]  是煮飯、遊戲和競敗
[00:00:57.160 --> 00:00:59.680]  我們三位牧者去示範的時候
[00:00:59.680 --> 00:01:02.320]  為了鼓勵少年人去突破自己
[00:01:02.320 --> 00:01:07.240]  我們都會去選一些自己比較弱的項目去負責
[00:01:07.240 --> 00:01:10.600]  所以你覺得三位牧者之中誰負責煮飯呢?
[00:01:10.600 --> 00:01:14.280]  對呀,那是我的
[00:01:14.280 --> 00:01:18.240]  其實我四年沒有在教會為少年人煮飯
[00:01:18.240 --> 00:01:20.520]  上一次我記得去煮飯的時候
[00:01:20.520 --> 00:01:22.480]  已經是少年門女二
[00:01:22.480 --> 00:01:23.040]  為什麼呢?
[00:01:23.040 --> 00:01:25.240]  因為自從少年門女三開始
[00:01:25.240 --> 00:01:27.640]  我們一直受著疫情的影響
[00:01:27.640 --> 00:01:30.240]  所以那時候吃東西就帶他們出去吃
[00:01:30.240 --> 00:01:34.080]  但是四年之後要再一次在教會煮飯
[00:01:34.080 --> 00:01:35.160]  我覺得壓力很大
[00:01:35.160 --> 00:01:35.840]  為什麼呢?
[00:01:35.840 --> 00:01:37.920]  少年門女二的時候都是我煮的
[00:01:37.920 --> 00:01:40.440]  我就煮燶了意粉
[00:01:40.440 --> 00:01:42.240]  但是我們少年門女很好
[00:01:42.240 --> 00:01:44.760]  我們說大家門女精神
[00:01:44.760 --> 00:01:46.480]  大家一定會吃掉它
[00:01:46.480 --> 00:01:49.080]  所以少年我就問是否很燶
[00:01:49.080 --> 00:01:50.360]  他們說都不是很燶
[00:01:50.360 --> 00:01:51.640]  有一個更加給面子
[00:01:51.640 --> 00:01:53.360]  不是很能吃到燶
[00:01:53.360 --> 00:01:54.960]  其實是燶了的
[00:01:54.960 --> 00:01:56.960]  很大壓力
[00:01:56.960 --> 00:01:58.360]  於是之前那個星期
[00:01:58.360 --> 00:02:00.440]  有少年門女五
[00:02:00.440 --> 00:02:01.960]  我就分享我的緊張
[00:02:01.960 --> 00:02:05.280]  死了,一個人要煮十一個人的東西
[00:02:05.280 --> 00:02:06.320]  不知道怎麼辦
[00:02:06.320 --> 00:02:08.080]  他們說不用擔心
[00:02:08.080 --> 00:02:10.080]  你靠自己當然不行
[00:02:10.080 --> 00:02:13.800]  你加上兩個叫做兩個寶的幫助
[00:02:13.800 --> 00:02:14.720]  你就行了
[00:02:14.720 --> 00:02:16.200]  兩個寶?
[00:02:16.200 --> 00:02:18.200]  什麼寶啊?
[00:02:18.200 --> 00:02:21.080]  第一個叫做金寶
[00:02:21.080 --> 00:02:22.400]  是的
[00:02:22.400 --> 00:02:24.920]  你煮意粉
[00:02:24.920 --> 00:02:27.920]  你煮意粉加上金寶雞湯
[00:02:27.920 --> 00:02:30.080]  一定行的
[00:02:30.080 --> 00:02:32.520]  第一個叫金寶
[00:02:32.520 --> 00:02:35.360]  第二寶是什麼?
[00:02:35.360 --> 00:02:39.160]  第二寶叫做龍湯寶
[00:02:39.160 --> 00:02:41.160]  你有龍湯寶很簡單
[00:02:41.160 --> 00:02:43.120]  你切菜放進去
[00:02:43.120 --> 00:02:44.480]  加上龍湯寶
[00:02:44.480 --> 00:02:47.280]  就變成一鍋好喝的湯
[00:02:47.280 --> 00:02:48.360]  但是我懶了
[00:02:48.360 --> 00:02:49.880]  菜都懶得切
[00:02:49.880 --> 00:02:53.120]  我就買了那些急凍的雜菜
[00:02:53.120 --> 00:02:54.120]  倒進去
[00:02:54.120 --> 00:02:55.080]  煮到差不多
[00:02:55.080 --> 00:02:57.080]  將龍湯寶放進去
[00:02:57.080 --> 00:02:59.280]  哇,都挺好喝的
[00:02:59.280 --> 00:03:00.760]  不想太寡
[00:03:00.760 --> 00:03:03.560]  於是切了一點魚蛋的魚片放進去
[00:03:03.560 --> 00:03:06.480]  哇,就變成魚片雜菜湯了
[00:03:06.480 --> 00:03:08.800]  哇,都好像挺OK的
[00:03:08.800 --> 00:03:12.560]  於是我就靠著這兩個寶的幫助
[00:03:12.560 --> 00:03:16.760]  就完成了這一個十一個人的晚餐
[00:03:16.760 --> 00:03:19.280]  是我們少年門女吃得很寡的
[00:03:19.280 --> 00:03:20.200]  不像有個木區
[00:03:20.200 --> 00:03:22.480]  我聽聞每一次有些不同特色的
[00:03:22.480 --> 00:03:23.960]  有泰國風情
[00:03:23.960 --> 00:03:25.080]  日本風情
[00:03:25.080 --> 00:03:27.120]  泰國風情要穿得像泰國人一樣
[00:03:27.120 --> 00:03:28.640]  日本風情要穿得像日本人一樣
[00:03:28.640 --> 00:03:30.520]  我們少年門女很寡的
[00:03:30.520 --> 00:03:31.960]  白汁意粉
[00:03:31.960 --> 00:03:33.280]  龍湯寶
[00:03:33.280 --> 00:03:35.000]  還有煲餃子的
[00:03:35.000 --> 00:03:38.760]  很出名的灣仔碼頭
[00:03:38.760 --> 00:03:41.360]  但是少年們一吃的時候就說
[00:03:41.360 --> 00:03:45.480]  哎,為什麼那些意粉是斷的
[00:03:45.480 --> 00:03:46.440]  然後另一個一咬
[00:03:46.440 --> 00:03:49.560]  他就說,哇,整個意粉是斷的
[00:03:49.560 --> 00:03:51.760]  我就說,哎呀,為什麼會這樣
[00:03:51.760 --> 00:03:53.560]  我回家問老婆
[00:03:53.560 --> 00:03:54.280]  為什麼會這樣
[00:03:54.280 --> 00:03:55.480]  她說,你怎麼煮意粉的
[00:03:55.480 --> 00:03:56.680]  我說,很簡單的
[00:03:56.680 --> 00:03:58.920]  把意粉煮熟了,瀝乾水
[00:03:58.920 --> 00:04:00.400]  然後拿一個大鍋出來
[00:04:00.400 --> 00:04:02.600]  然後把那些意粉倒進去
[00:04:02.600 --> 00:04:04.920]  然後就把那些金寶湯倒進去
[00:04:04.920 --> 00:04:06.920]  然後把那些配料
[00:04:06.920 --> 00:04:09.560]  她說,那你就錯了程序了
[00:04:09.560 --> 00:04:11.160]  我說,為什麼錯了程序
[00:04:11.160 --> 00:04:12.920]  她說,所以你就斷了
[00:04:12.920 --> 00:04:15.040]  她說,因為你煮過了意粉之後
[00:04:15.040 --> 00:04:17.480]  你應該先煮醬汁
[00:04:17.480 --> 00:04:18.720]  你煮了醬汁
[00:04:18.720 --> 00:04:19.840]  那你把那些意粉煮進去
[00:04:19.840 --> 00:04:20.920]  那就不會斷了
[00:04:20.920 --> 00:04:22.800]  但是你把那些意粉放進鍋裡
[00:04:22.800 --> 00:04:23.920]  然後才倒湯上去
[00:04:23.920 --> 00:04:25.320]  但是你又要拌那個湯
[00:04:25.320 --> 00:04:26.200]  你拌著拌著
[00:04:26.200 --> 00:04:27.720]  就把那些意粉都斷了
[00:04:27.720 --> 00:04:30.480]  那些意粉就一塊塊了
[00:04:30.480 --> 00:04:32.360]  是啊
[00:04:32.360 --> 00:04:34.000]  我下次會懂得煮的了
[00:04:34.000 --> 00:04:37.760]  有人想試試吃我的金寶意粉嗎
[00:04:37.760 --> 00:04:39.760]  哎呀,每一個崇拜都不超過十個
[00:04:39.760 --> 00:04:43.440]  多謝後面兩位加勒區的姊妹和弟兄
[00:04:43.440 --> 00:04:46.200]  我們找天吃一下金寶意粉
[00:04:46.200 --> 00:04:48.640]  原來有一些東西
[00:04:48.640 --> 00:04:50.440]  靠我們自己不行的
[00:04:50.440 --> 00:04:53.960]  一定要有一些外來幫助才可以
[00:04:53.960 --> 00:04:57.560]  我們上一次川崎全副軍裝上閘
