
[00:00:00.000 --> 00:00:03.280]  (主席) 當你坐下的時候跟旁邊的鄧小平說一聲 祝你二馬來歷
[00:00:03.280 --> 00:00:04.560]  (群眾) 祝你二馬來歷
[00:00:04.560 --> 00:00:08.560]  (主席) 我們今天的題目是
[00:00:08.560 --> 00:00:13.280]  祝你二馬來歷在神與我們同在的第八講
[00:00:13.280 --> 00:00:17.280]  也是最難講的 為什麼呢?
[00:00:17.280 --> 00:00:20.800]  因為這個題目聖靈充滿和善用
[00:00:20.800 --> 00:00:25.360]  因此是會兩邊不討好的
[00:00:25.360 --> 00:00:28.000]  我的意思是包括方派
[00:00:28.000 --> 00:00:31.040]  是包括靈恩派兩邊不討好的
[00:00:31.040 --> 00:00:34.160]  你看到近十多年
[00:00:34.160 --> 00:00:38.400]  香港流行一個課程叫啟發課程
[00:00:38.400 --> 00:00:42.000]  啟發課程裡面其中很重要的
[00:00:42.000 --> 00:00:44.880]  有一天是啟發的營會
[00:00:44.880 --> 00:00:48.240]  裡面提到聖靈充滿的問題
[00:00:48.240 --> 00:00:51.200]  甚至在教育課程裡面的書本
[00:00:51.200 --> 00:00:54.800]  很清楚寫明講方言的問題
[00:00:54.800 --> 00:00:56.640]  也因為這樣的緣故
[00:00:56.640 --> 00:01:04.320]  很多教會在全球華人教會推動啟發課程的時候
[00:01:04.320 --> 00:01:11.360]  就把啟發營會和關於教導聖靈的課程
[00:01:11.360 --> 00:01:13.600]  完全抽走
[00:01:13.600 --> 00:01:17.680]  你就開始知道是多麼敏感的問題
[00:01:17.680 --> 00:01:22.640]  所以某程度上很多教會叫做啟發
[00:01:22.640 --> 00:01:26.720]  實際是沒有了啟發的精神
[00:01:26.720 --> 00:01:29.200]  因為啟發課程的創辦人Nicky Gamble
[00:01:29.200 --> 00:01:32.000]  本身在英國聖公會
[00:01:32.000 --> 00:01:36.320]  除了服飾上由一個聖公會牧師
[00:01:36.320 --> 00:01:40.240]  變成一個穿著普通的衣服牛仔褲來講道
[00:01:40.240 --> 00:01:41.760]  一個很大的突破
[00:01:41.760 --> 00:01:45.200]  但是更加重要的課程的內容裡面
[00:01:45.200 --> 00:01:48.880]  不斷從理性的聖經的查考
[00:01:48.880 --> 00:01:54.560]  但是更加重要的帶來了英國聖公會的復興的原因
[00:01:54.560 --> 00:02:00.160]  因為他再一次把聖靈的課題這個元素帶回教會
[00:02:00.160 --> 00:02:04.240]  當啟發一直在全世界擴散
[00:02:04.240 --> 00:02:06.640]  越來越多人使用的時候
[00:02:06.640 --> 00:02:09.120]  這個敏感的課題
[00:02:09.120 --> 00:02:10.960]  也是最有特色的課題
[00:02:10.960 --> 00:02:14.000]  就是這樣在啟發裡面被抽走
[00:02:14.000 --> 00:02:18.640]  你就知道今天這個課題是多麼敏感
[00:02:18.640 --> 00:02:24.720]  方派一直不會提聖靈充滿這個課題
[00:02:24.720 --> 00:02:27.120]  也不提這個課題
[00:02:27.120 --> 00:02:32.560]  因為一提和一提就會覺得變成了靈恩派
[00:02:32.560 --> 00:02:34.560]  而善用恩賜的問題
[00:02:34.560 --> 00:02:40.240]  方派也有提恩賜題和聖經所說的恩賜出入非常之大
[00:02:40.240 --> 00:02:41.440]  簡單來說
[00:02:41.440 --> 00:02:45.120]  聖經有提的恩賜方派多數找不到
[00:02:45.120 --> 00:02:48.480]  方派認為的恩賜是聖經找不到
[00:02:48.480 --> 00:02:52.320]  很常在方派教會裡面聽到有人說
[00:02:52.320 --> 00:02:55.360]  弟兄姊妹很有插花恩賜
[00:02:55.360 --> 00:02:57.600]  是從哪裡來的呢?
[00:02:57.600 --> 00:02:59.040]  你聽得懂我說嗎?
[00:02:59.040 --> 00:03:00.640]  是哪一段經文來的呢?
[00:03:00.640 --> 00:03:03.920]  弟兄姊妹有裝修恩賜
[00:03:03.920 --> 00:03:05.680]  也有機會是從哪裡來的
[00:03:05.680 --> 00:03:10.720]  舊約做會幕的時候有些人聖靈特別給了他智慧
[00:03:10.720 --> 00:03:13.600]  弟兄姊妹有煮飯恩賜
[00:03:13.600 --> 00:03:15.360]  這個真的很難搞
[00:03:15.360 --> 00:03:19.840]  哪一段經文可以告訴我有煮飯恩賜呢?
[00:03:19.840 --> 00:03:26.320]  我的意思是在方派裡面仍然在用聖經的字句
[00:03:26.320 --> 00:03:30.480]  但是內容就已經完全偷換概念了
[00:03:30.480 --> 00:03:33.760]  我們怎樣從聖經去理解這個課題
[00:03:33.760 --> 00:03:36.080]  實在是一些不容易的事情
[00:03:36.080 --> 00:03:38.080]  我們看看今天要從兩段經文
[00:03:38.080 --> 00:03:39.840]  包括在這份書裡面
[00:03:39.840 --> 00:03:44.560]  唯一新約提到被聖靈充滿的
[00:03:44.560 --> 00:03:48.240]  今天我們說「以馬內利,上帝居長於心中」
[00:03:48.240 --> 00:03:51.760]  聖靈充滿當然是一個很重大的課題
[00:03:51.760 --> 00:03:54.560]  但是聖經只有一段用命令式的說
[00:03:54.560 --> 00:03:56.560]  你們要被聖靈充滿
[00:03:56.560 --> 00:03:58.640]  那個背景是要把握時機
[00:03:58.640 --> 00:04:01.200]  因為現今的世代邪惡
[00:04:01.200 --> 00:04:03.520]  保羅面對一個邪惡的世代
[00:04:03.520 --> 00:04:04.480]  老實說
[00:04:04.480 --> 00:04:10.400]  今天世界所面對的種種倫理道德等等的問題
[00:04:10.400 --> 00:04:13.600]  其實是將羅馬帝國的問題擴散全球
[00:04:13.600 --> 00:04:16.320]  我們今天沒有新的東西出現
[00:04:16.320 --> 00:04:19.200]  在羅馬宮廷裡面
[00:04:19.200 --> 00:04:23.200]  戀倫、同性戀、異性戀等等
[00:04:23.200 --> 00:04:26.240]  在宮廷裡面全部都發生了
[00:04:26.240 --> 00:04:30.800]  我們看到不公義、不公平的政府
[00:04:30.800 --> 00:04:34.480]  羅馬政府到很荒淫無道的皇帝
[00:04:34.480 --> 00:04:36.800]  都發生了
[00:04:36.800 --> 00:04:39.440]  我們看到保羅所形容的
[00:04:39.440 --> 00:04:41.200]  這個邪惡的世代
[00:04:41.200 --> 00:04:44.800]  究竟基督徒要怎麼面對呢?
[00:04:44.800 --> 00:04:51.520]  保羅不是從一個地上的建制去處理
[00:04:51.520 --> 00:04:54.400]  這是一個大問題
[00:04:54.400 --> 00:04:59.840]  保羅不會從一個建制去處理這個邪惡世界
[00:04:59.840 --> 00:05:02.320]  因為保羅的神學看到的
[00:05:02.320 --> 00:05:06.000]  這次的邪惡背後是跟屬靈有關的
[00:05:06.000 --> 00:05:07.680]  因為這個緣故
[00:05:07.680 --> 00:05:11.200]  保羅認為我們不是跟屬血氣的去爭戰
[00:05:11.200 --> 00:05:13.360]  而是跟屬靈的爭戰
[00:05:13.360 --> 00:05:14.960]  既然跟屬靈的爭戰
[00:05:14.960 --> 00:05:18.960]  那個入手就必須從屬靈的角度去處理
[00:05:18.960 --> 00:05:21.200]  我剛剛去完北美
[00:05:21.200 --> 00:05:25.840]  我去了波士頓、多倫多、加勒比利、溫哥華
[00:05:25.840 --> 00:05:27.360]  回來香港
[00:05:27.360 --> 00:05:31.760]  我九天之內去了四個地點
[00:05:31.760 --> 00:05:34.560]  整體叫北美
[00:05:34.560 --> 00:05:40.720]  見到三件很普遍的事情
[00:05:40.720 --> 00:05:41.520]  第一
[00:05:41.520 --> 00:05:46.640]  在波士頓教會要面對跟政府訴訟的問題
[00:05:46.640 --> 00:05:49.840]  就是我有男人的軀殼
[00:05:49.840 --> 00:05:51.520]  有女性的心理
[00:05:51.520 --> 00:05:55.600]  我可以進女性的更衣室和女性的洗手間
[00:05:55.600 --> 00:05:59.680]  教會要跟政府有訴訟
[00:05:59.680 --> 00:06:03.200]  去到波士頓最出名
[00:06:03.200 --> 00:06:05.200]  有兩個景點
[00:06:05.200 --> 00:06:07.200]  一個叫五月花號
[00:06:07.200 --> 00:06:09.040]  美國歷史最初
[00:06:09.040 --> 00:06:14.800]  102個人由英國開船去到美國這個地方
[00:06:14.800 --> 00:06:18.000]  建立了現在三百多年的歷史
[00:06:18.000 --> 00:06:22.160]  建立了全世界最強的國家 美國
[00:06:22.160 --> 00:06:25.440]  第二個很出名的地方叫哈佛大學
[00:06:25.440 --> 00:06:27.280]  大家都很清楚
[00:06:27.280 --> 00:06:28.560]  我時間的關係
[00:06:28.560 --> 00:06:29.920]  所以我無法自己去哈佛
[00:06:29.920 --> 00:06:32.400]  我只能夠去看五月花號
[00:06:32.400 --> 00:06:33.680]  我都覺得
[00:06:33.680 --> 00:06:35.120]  因為哈佛太大了
