
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹 主日平安
[00:00:02.000 --> 00:00:03.000]  平安
[00:00:03.000 --> 00:00:06.000]  先祝在座的父親節
[00:00:06.000 --> 00:00:09.000]  父親們 父親節喜樂
[00:00:09.000 --> 00:00:11.000]  然後蒙福
[00:00:11.000 --> 00:00:14.000]  很高興能夠回到教會跟大家一起在這裏
[00:00:14.000 --> 00:00:17.000]  來敬拜我們的神
[00:00:17.000 --> 00:00:21.000]  有沒有人 每個主日都會看右邊那邊
[00:00:21.000 --> 00:00:26.000]  看看那位置是空的嗎
[00:00:26.000 --> 00:00:29.000]  我算一算 大概這五個月來
[00:00:29.000 --> 00:00:33.000]  我的出席率不是太好
[00:00:33.000 --> 00:00:35.000]  但是是有原因的
[00:00:35.000 --> 00:00:38.000]  因爲我二月初做了一個手術
[00:00:38.000 --> 00:00:41.000]  然後在家休養了兩個月
[00:00:41.000 --> 00:00:43.000]  到我能夠出來的時候
[00:00:43.000 --> 00:00:47.000]  我又準備要出國了
[00:00:47.000 --> 00:00:51.000]  這一次爲什麼我會選N上加N
[00:00:51.000 --> 00:00:52.000]  因爲這五個月來
[00:00:52.000 --> 00:00:56.000]  我實在經歷了神N上加N的N點
[00:00:56.000 --> 00:01:00.000]  原本我們去年就決定說要帶弟兄姊妹去
[00:01:00.000 --> 00:01:03.000]  新約使徒行中
[00:01:03.000 --> 00:01:06.000]  後來鄭主那邊說
[00:01:06.000 --> 00:01:09.000]  因爲土耳其那邊不是很安全
[00:01:09.000 --> 00:01:16.000]  就建議我們改馬丁路德這個改教歷史的行程
[00:01:16.000 --> 00:01:19.000]  後來我們就last minute就換了
[00:01:19.000 --> 00:01:21.000]  大概去年底改了
[00:01:21.000 --> 00:01:22.000]  那感謝主
[00:01:22.000 --> 00:01:25.000]  我們現在所有的人都平安回來了
[00:01:25.000 --> 00:01:27.000]  所以我心中就有很深的感觸
[00:01:27.000 --> 00:01:29.000]  我在飛機上我就有感覺
[00:01:29.000 --> 00:01:31.000]  上個禮拜格木斯的聲音這麼不好
[00:01:31.000 --> 00:01:34.000]  那我這個回來他還是不是很好
[00:01:34.000 --> 00:01:36.000]  我還是最好有預備
