
[00:00:00.000 --> 00:00:04.640]  今日的題目叫做「基督徒行事為人的準則」
[00:00:04.640 --> 00:00:08.360]  行事為人的準則,這是很重要的
[00:00:08.360 --> 00:00:15.280]  我們可以說基督徒行事為人最基本最基礎就是神的話語
[00:00:15.280 --> 00:00:19.760]  我們有神的話語去進行的
[00:00:19.760 --> 00:00:22.240]  聖經就說我這個人有福
[00:00:22.240 --> 00:00:25.760]  我曾經做過一些研究
[00:00:25.760 --> 00:00:29.040]  有幾個題目我都和大家略略提過的
[00:00:29.040 --> 00:00:31.680]  一個就叫敬畏神
[00:00:31.680 --> 00:00:34.560]  敬畏,找出所有敬畏的經文
[00:00:34.560 --> 00:00:38.560]  我看完又看完就歸納祂,去組織祂
[00:00:38.560 --> 00:00:42.880]  另外一個就是神的同在
[00:00:42.880 --> 00:00:44.720]  神同在是很重要的
[00:00:44.720 --> 00:00:49.920]  我昨晚和兩個家庭都是主來的弟兄
[00:00:49.920 --> 00:00:53.360]  一個就是做了執事很多年了
[00:00:53.360 --> 00:00:58.960]  一個就是一個平信徒,他沒有做執事
[00:00:58.960 --> 00:01:02.160]  但是他的聖經都很熟悉的
[00:01:02.160 --> 00:01:04.640]  他們都分享了一樣東西
[00:01:04.640 --> 00:01:08.320]  其實問一問,以諾做過些什麼?
[00:01:08.320 --> 00:01:13.280]  聖經裡面有些神是很重用的人
[00:01:13.280 --> 00:01:16.000]  比如摩西,大家知道摩西是做什麼的
[00:01:16.000 --> 00:01:20.240]  很高的領導,帶領百多萬人出埃及,你以為說笑嗎?
[00:01:20.240 --> 00:01:23.600]  那百多萬人是奴隸
[00:01:23.600 --> 00:01:26.960]  帶著他們,又沒有水喝,又沒有東西吃
[00:01:26.960 --> 00:01:29.840]  他們簡直想打死摩西
[00:01:29.840 --> 00:01:33.680]  摩西真的很慘
[00:01:33.680 --> 00:01:36.720]  但是以諾做過些什麼?
[00:01:36.720 --> 00:01:39.360]  聖經說與神同行
[00:01:39.360 --> 00:01:40.880]  然後神接了他
[00:01:40.880 --> 00:01:44.400]  和神一起走就可以被神接中了
[00:01:44.400 --> 00:01:49.040]  接了他沒有經歷到死亡
[00:01:49.040 --> 00:01:53.280]  全本聖經沒有經歷到死亡,不是很多人
[00:01:53.280 --> 00:01:55.520]  所以他們說他做過些什麼?
[00:01:55.520 --> 00:02:01.440]  原來與神同行
[00:02:01.440 --> 00:02:05.760]  就已經是一個神很恩待祂,祝福祂
[00:02:05.760 --> 00:02:10.400]  甚至給祂連死亡都不需要經歷
[00:02:10.400 --> 00:02:14.240]  這裡跟大家去看
[00:02:14.240 --> 00:02:16.480]  我們作為一個信徒
[00:02:16.480 --> 00:02:19.040]  我們應該怎麼行事為人呢?
[00:02:19.040 --> 00:02:21.600]  其實我有一個更大的題目
[00:02:21.600 --> 00:02:23.760]  是準備遲些跟大家分享的
[00:02:23.760 --> 00:02:25.360]  那個什麼叫大一點的題目?
[00:02:25.360 --> 00:02:27.760]  就是神的旨意
[00:02:27.760 --> 00:02:28.880]  如果我沒有記錯
[00:02:28.880 --> 00:02:31.600]  那個港島的大綱筆記已經在這裡
[00:02:31.600 --> 00:02:36.640]  放在我辦公室裡一個港島庫
[00:02:36.640 --> 00:02:38.240]  很多很多這麼大一疊
