
[00:00:00.000 --> 00:00:01.800]  令自媒主內平安
[00:00:01.800 --> 00:00:05.720]  我想問問你 你有沒有試過被人誤會
[00:00:05.720 --> 00:00:09.580]  有 一定有 見你反應這麼好
[00:00:09.580 --> 00:00:14.000]  我相信我們 百多話少 一定會遇到被人誤會的
[00:00:14.000 --> 00:00:17.040]  被人誤會了之後 你會怎樣反應呢
[00:00:17.040 --> 00:00:22.000]  有時我們會很著緊的 立即去解釋
[00:00:22.000 --> 00:00:24.580]  說一說 其實事情不是這樣的 是不是
[00:00:24.580 --> 00:00:28.800]  有時我們可能會 算了 誤會了就算了
[00:00:29.620 --> 00:00:33.080]  在我看來 你對哪些事情特別著緊
[00:00:33.080 --> 00:00:35.500]  會去 希望解釋呢
[00:00:35.500 --> 00:00:38.540]  就是你覺得很重要的事情
[00:00:38.540 --> 00:00:41.980]  你覺得是很重要的 必須要講清楚的
[00:00:41.980 --> 00:00:45.960]  你沒機會去講 你硬是忍住在心裏面
[00:00:45.960 --> 00:00:47.240]  是不舒服的
[00:00:47.240 --> 00:00:50.680]  另一方面 那個誤會你很緊張
[00:00:50.680 --> 00:00:54.660]  是因為 看你誤會你那個人的關係是怎樣 是不是
[00:00:54.660 --> 00:00:58.360]  如果那個人是你的好朋友 和你的關係很好的
[00:00:58.360 --> 00:01:00.560]  你很想和他解釋清楚
[00:01:00.560 --> 00:01:05.060]  你不想因著一些誤會 去影響了你兩個的關係
[00:01:05.060 --> 00:01:08.280]  又或者你不想他對你有偏見
[00:01:08.280 --> 00:01:11.920]  所以你要解釋清楚 其實那件事不是這樣的
[00:01:11.920 --> 00:01:14.440]  如果不是的話 你就說
[00:01:14.440 --> 00:01:17.740]  那個人我都不會再見他了 算了
[00:01:17.740 --> 00:01:22.920]  你覺得雞毛蒜皮這麼小的事 都不重要的
[00:01:22.920 --> 00:01:25.500]  你就不會多作解釋
[00:01:25.500 --> 00:01:27.600]  你只會一笑置之
[00:01:28.600 --> 00:01:31.720]  上星期 漢名傳道在他的講道裏面
[00:01:31.720 --> 00:01:34.640]  講道哥林多後書第十章
[00:01:34.640 --> 00:01:38.640]  提到保羅正面對教會的一個問題
[00:01:38.640 --> 00:01:41.340]  這個問題就是當時的信徒
[00:01:41.340 --> 00:01:45.060]  被一些假的使徒在當中挑撥離間
[00:01:45.060 --> 00:01:48.120]  於是信徒開始去懷疑
[00:01:48.120 --> 00:01:51.120]  保羅真正使徒的身份
[00:01:51.120 --> 00:01:55.560]  原來 保羅都會被人誤會的 是不是
[00:01:55.560 --> 00:01:59.400]  就是誤會他不是一個真正的使徒
[00:01:59.400 --> 00:02:02.540]  保羅怎樣去面對呢
[00:02:02.540 --> 00:02:06.240]  經文給我們看到 保羅用了三章的經文
[00:02:06.240 --> 00:02:08.900]  就是第十章至第十三章
[00:02:08.900 --> 00:02:11.540]  來解釋他真正的身份
[00:02:11.540 --> 00:02:14.080]  正如我剛才所說
[00:02:14.080 --> 00:02:20.940]  是甚麼令你需要去解釋 去清楚 去澄清的誤會呢
[00:02:20.940 --> 00:02:25.020]  究竟保羅在這裏 為甚麼這麼緊張
[00:02:25.020 --> 00:02:28.200]  用三章的經文去作自辯呢
[00:02:28.200 --> 00:02:31.040]  為甚麼他這麼著急
[00:02:31.040 --> 00:02:35.060]  希望去消除信徒對他的誤會呢
[00:02:35.060 --> 00:02:40.320]  或者今天我們可以在哥林多後書十一章一到六節裏面
[00:02:40.320 --> 00:02:41.800]  我們找到答案
[00:02:41.800 --> 00:02:45.560]  我們再打開剛才一節的經文
[00:02:45.560 --> 00:02:48.580]  剛才素鳳傳道都帶領大家一同去讀
[00:02:48.580 --> 00:02:51.360]  十一章一到六節
[00:02:51.360 --> 00:02:54.680]  我希望你們也打開這段經文
[00:02:54.680 --> 00:02:57.040]  因為接下來我會帶大家去看
[00:02:57.040 --> 00:02:58.380]  一路打開它
[00:02:58.380 --> 00:03:01.720]  在二百五十三頁
[00:03:01.720 --> 00:03:05.300]  經文一開始的時候 保羅這樣說
[00:03:05.300 --> 00:03:09.540]  但願你們寬容我這一點愚妄
[00:03:09.540 --> 00:03:12.280]  新漢語譯本這樣去形容
[00:03:12.280 --> 00:03:16.680]  他說 但願你們容忍我這一點的愚昧
[00:03:16.680 --> 00:03:22.060]  保羅希望當時的信徒是怎樣呢
[00:03:22.060 --> 00:03:24.560]  是容忍他
[00:03:24.980 --> 00:03:26.540]  是容忍他
[00:03:26.540 --> 00:03:30.420]  容忍他甚麼 是容忍他那份的愚昧
[00:03:30.420 --> 00:03:33.480]  即是我們今天可以說
[00:03:33.480 --> 00:03:35.280]  他愚蠢
[00:03:35.280 --> 00:03:37.420]  為甚麼他會這麼蠢
[00:03:37.420 --> 00:03:41.460]  保羅是以愚昧人的角色去回答
[00:03:41.460 --> 00:03:43.360]  所出現的問題
[00:03:43.360 --> 00:03:46.600]  有解經的學者就稱他為
[00:03:46.600 --> 00:03:51.520]  保羅 這段經文是保羅愚昧人的演說
[00:03:52.020 --> 00:03:54.720]  他們認為保羅所說的愚昧
[00:03:54.720 --> 00:03:58.780]  只不過是在文學或修辭上的一個手段
[00:03:58.780 --> 00:04:00.280]  一個方法
[00:04:00.280 --> 00:04:02.980]  就是形容自己很愚昧
