
[00:00:00.000 --> 00:00:03.640]  平安神
[00:00:03.640 --> 00:00:05.480]  各位弟兄姊妹平安神
[00:00:05.480 --> 00:00:07.440]  今天要向你講說話
[00:00:07.440 --> 00:00:10.680]  神將一個負擔放在我的心裡
[00:00:10.680 --> 00:00:12.760]  就是當我來到紐西蘭之後
[00:00:12.760 --> 00:00:16.120]  出席過幾位弟兄姊妹的安息禮拜
[00:00:16.120 --> 00:00:18.440]  我就覺得這裡的安息禮拜
[00:00:18.440 --> 00:00:20.240]  和香港的安息禮拜
[00:00:20.240 --> 00:00:22.360]  有很大的不同
[00:00:22.360 --> 00:00:24.000]  這裡的安息禮拜
[00:00:24.000 --> 00:00:26.240]  是用一個慶祝
[00:00:26.240 --> 00:00:28.200]  一個慶祝的態度
[00:00:28.200 --> 00:00:32.160]  來為他們去世的祖先
[00:00:32.160 --> 00:00:35.720]  為他們去世的父母去舉行
[00:00:35.720 --> 00:00:38.120]  好像其中一位的伯母
[00:00:38.120 --> 00:00:40.680]  她幾位的子女
[00:00:40.680 --> 00:00:47.000]  每人都上台分享他們對媽媽的懷念
[00:00:47.000 --> 00:00:51.120]  有些還講一下他們生活上的一些敘事
[00:00:51.120 --> 00:00:52.800]  大家在這裡笑
[00:00:52.800 --> 00:00:54.400]  大家在這裡很開心
[00:00:54.400 --> 00:00:57.400]  因為大家都很敬愛這位伯母
[00:00:57.400 --> 00:01:03.080]  好像當子女分享一些生活上的瑣事的時候
[00:01:03.080 --> 00:01:05.360]  讓伯母的生平
[00:01:05.360 --> 00:01:09.160]  好像再一次活現在我們當中一樣
[00:01:09.160 --> 00:01:11.600]  然後大家一起唱讚美詩
[00:01:11.600 --> 00:01:13.400]  然後大家一起祈禱
[00:01:13.400 --> 00:01:15.520]  在瞻仰遺容的時候
[00:01:15.520 --> 00:01:17.480]  有一種很安詳
[00:01:17.480 --> 00:01:19.560]  很寧靜的感覺
[00:01:19.560 --> 00:01:21.680]  相反在香港
[00:01:21.680 --> 00:01:24.040]  每一次當我去到殯儀館
[00:01:24.040 --> 00:01:26.080]  心裡就好像很沉重
[00:01:26.080 --> 00:01:27.120]  很不舒服
[00:01:27.120 --> 00:01:30.840]  特別是見到很多那些不信耶穌的人
[00:01:30.840 --> 00:01:34.280]  他們用很多不同祭祖的方法
[00:01:34.280 --> 00:01:39.400]  來向這位離世的祖先
[00:01:39.400 --> 00:01:43.560]  他們的長輩來追悼
[00:01:43.560 --> 00:01:44.960]  其中第一個
[00:01:44.960 --> 00:01:47.600]  他們很多時候燒香
[00:01:47.600 --> 00:01:51.120]  煙燻著人
[00:01:51.120 --> 00:01:54.040]  還有他們會請人來打齋
[00:01:54.040 --> 00:01:56.960]  好像進行一些宗教的儀式
[00:01:56.960 --> 00:02:00.520]  還有他們燒很多的祭品
[00:02:00.520 --> 00:02:03.440]  特別是那些紙紮的祭品
[00:02:03.440 --> 00:02:06.000]  認為我燒了一間房子給這個人
[00:02:06.000 --> 00:02:07.480]  我燒了一輛車
[00:02:07.480 --> 00:02:10.360]  我燒了一座樓給這個先人
[00:02:10.360 --> 00:02:12.920]  這個先人就可以在陰間
[00:02:12.920 --> 00:02:15.360]  他可以來享用
[00:02:15.360 --> 00:02:18.840]  這些觀念完全是錯的
[00:02:18.840 --> 00:02:20.720]  我想提出的就是
[00:02:20.720 --> 00:02:22.080]  在聖經裡面
