
[00:00:00.000 --> 00:00:04.000]  經過一連串動盪的日子
[00:00:04.000 --> 00:00:08.000]  你有沒有留意到在今天的香港
[00:00:08.000 --> 00:00:11.000]  叫人相信一件事情
[00:00:11.000 --> 00:00:15.000]  或者叫人不要相信一件事情
[00:00:15.000 --> 00:00:19.000]  都是一件十分困難的事情
[00:00:19.000 --> 00:00:21.000]  為什麼呢?
[00:00:21.000 --> 00:00:25.000]  因為人已經有了自己的立場
[00:00:25.000 --> 00:00:28.000]  有自己的看法
[00:00:30.000 --> 00:00:34.000]  剛剛的主日是復活節禮拜
[00:00:34.000 --> 00:00:38.000]  為了慶祝主耶穌救主復活的日子
[00:00:38.000 --> 00:00:43.000]  當耶穌要向門徒顯現的時候
[00:00:43.000 --> 00:00:46.000]  你有沒有想到原來
[00:00:46.000 --> 00:00:52.000]  亦有一位門徒沒有去確信耶穌的復活
[00:00:52.000 --> 00:00:56.000]  是剛才我們所讀到的多瑪
[00:00:56.000 --> 00:01:00.000]  當然多瑪在耶穌顯現的時候不在場
[00:01:00.000 --> 00:01:04.000]  但是當他的門徒
[00:01:04.000 --> 00:01:07.000]  他的兄弟告訴他
[00:01:07.000 --> 00:01:09.000]  耶穌已經復活了
[00:01:09.000 --> 00:01:12.000]  但多瑪仍然不相信
[00:01:12.000 --> 00:01:16.000]  沒錯,可能多瑪自己也有一個想法
[00:01:16.000 --> 00:01:20.000]  今天我們一起去看這段經文
[00:01:20.000 --> 00:01:23.000]  講到耶穌基督復活之後
[00:01:23.000 --> 00:01:27.000]  再一次向門徒顯現的時候
[00:01:27.000 --> 00:01:29.000]  多瑪在場
[00:01:29.000 --> 00:01:32.000]  他如何去
[00:01:32.000 --> 00:01:35.000]  徹底地去相信主耶穌的復活
[00:01:35.000 --> 00:01:40.000]  以致一直跟隨祂
[00:01:40.000 --> 00:01:42.000]  所以今天和大家去看
[00:01:42.000 --> 00:01:45.000]  集中多些去看多瑪
[00:01:45.000 --> 00:01:47.000]  這個人
[00:01:47.000 --> 00:01:50.000]  我從幾方面去看他
[00:01:50.000 --> 00:01:55.000]  一方面其實他是一個努力尋求答案
[00:01:55.000 --> 00:01:58.000]  不想一知半解的人
[00:01:58.000 --> 00:02:03.000]  另一方面他亦是很希望尋求真相
[00:02:03.000 --> 00:02:06.000]  亦不想半信半疑
