
[00:00:00.000 --> 00:00:02.640]  聖經都是神所默示的
[00:00:02.640 --> 00:00:04.720]  於教訓督責
[00:00:04.720 --> 00:00:08.160]  使人歸正教導和學義都是有益的
[00:00:08.160 --> 00:00:10.280]  叫屬神的人得以完全
[00:00:10.280 --> 00:00:12.880]  預備行各樣的善事
[00:00:12.880 --> 00:00:15.920]  感謝主在今日聖誕的主日
[00:00:15.920 --> 00:00:18.160]  和大家分享一個主題
[00:00:18.160 --> 00:00:22.360]  天人同樂
[00:00:22.360 --> 00:00:25.960]  每年聖誕節對我來說都是一個快樂的時光
[00:00:25.960 --> 00:00:28.600]  特別在少年的時期
[00:00:28.600 --> 00:00:32.360]  在少年的時期一到聖誕節報佳音的時候
[00:00:32.360 --> 00:00:34.440]  教會就會組織不同的師班
[00:00:34.440 --> 00:00:38.200]  去到不同的鄉村裏面去報道
[00:00:38.200 --> 00:00:43.000]  幾十年前元朗這個鄉村是非常破落的
[00:00:43.000 --> 00:00:45.600]  我們一班師班員穿著白色的袍
[00:00:45.600 --> 00:00:49.000]  然後擔著燈籠
[00:00:49.000 --> 00:00:52.880]  就去鄉村裏面來做報道
[00:00:52.880 --> 00:00:57.200]  夜晚一班人在這裏走來走去
[00:00:57.200 --> 00:01:00.840]  狗又吠狗又追
[00:01:00.840 --> 00:01:04.280]  我們去到每條鄉村去報佳音的時候
[00:01:04.280 --> 00:01:07.520]  其實都不是很多村民出來聽
[00:01:07.520 --> 00:01:09.840]  不過我們很感到滿足
[00:01:09.840 --> 00:01:12.560]  不在乎人多人少
[00:01:12.560 --> 00:01:15.520]  去完一條鄉村又去另外一條鄉村
[00:01:15.520 --> 00:01:19.240]  回到教會已經是半夜的時候了
[00:01:19.240 --> 00:01:22.080]  回到教會大家都不回家
[00:01:22.080 --> 00:01:27.480]  在教會裏面唱聖詩唱到天亮
[00:01:27.480 --> 00:01:30.160]  日子是很快樂的
[00:01:30.160 --> 00:01:33.120]  那為什麼會有報佳音呢?
[00:01:33.120 --> 00:01:37.400]  我相信和剛才我們所讀的經文有很大的關係
[00:01:37.400 --> 00:01:45.680]  就是天使、天君向牧羊人去報佳音
[00:01:45.680 --> 00:01:47.480]  這段經文我們很熟悉的
[00:01:47.480 --> 00:01:49.480]  不知道是不是
[00:01:49.480 --> 00:01:54.360]  我試試讀上一節,你背下一節
[00:01:54.360 --> 00:02:01.440]  「在至高之處榮耀歸於神」
[00:02:01.440 --> 00:02:06.560]  都有些面子
[00:02:06.560 --> 00:02:09.760]  這段經文講話在至高之處榮耀歸於神
[00:02:09.760 --> 00:02:14.200]  在地上平安歸於祂所喜悅的人
[00:02:14.200 --> 00:02:16.680]  這裏講到有兩個地方
[00:02:16.680 --> 00:02:21.000]  一個是至高之處,一個在地上
[00:02:21.000 --> 00:02:28.840]  究竟至高之處和地上的距離有多大呢?
[00:02:28.840 --> 00:02:31.600]  至高之處誰在那裏呢?
[00:02:31.600 --> 00:02:33.600]  上帝在那裏
[00:02:33.600 --> 00:02:35.040]  地上誰在那裏呢?
[00:02:35.040 --> 00:02:38.600]  人間,人在那裏
[00:02:38.600 --> 00:02:43.760]  天上人間的距離有多遠呢?
[00:02:43.760 --> 00:02:47.520]  曾學家告訴我們,上帝是一個永恆的主
[00:02:47.520 --> 00:02:49.240]  所以祂既然是永恆的話
[00:02:49.240 --> 00:02:52.840]  祂是不可能進入時間裏面的
[00:02:52.840 --> 00:02:56.600]  因為時間是短暫有限制的
[00:02:56.600 --> 00:03:01.360]  永恆進入了時間祂就再不是永恆
[00:03:01.360 --> 00:03:03.760]  上帝是無限的
[00:03:03.760 --> 00:03:07.640]  祂在這裏同時也在另外一個地方
[00:03:07.640 --> 00:03:10.760]  但當祂進入了空間的時候
[00:03:10.760 --> 00:03:12.680]  祂就受空間的限制
[00:03:12.680 --> 00:03:16.000]  再不是無限
[00:03:16.000 --> 00:03:18.600]  所以當我們講到曾學家的思考
[00:03:18.600 --> 00:03:20.640]  究竟上帝創造天地的時候
[00:03:20.640 --> 00:03:22.840]  或者耶穌降臨這個大地的時候
[00:03:22.840 --> 00:03:27.800]  祂要經驗過什麼樣的痛苦呢?
[00:03:27.800 --> 00:03:35.640]  那個痛苦就是自己限制自己
[00:03:35.640 --> 00:03:38.520]  至尊天上的君王
[00:03:38.520 --> 00:03:44.200]  降臨人間限制自己
[00:03:44.200 --> 00:03:51.320]  說要讓我們世人能夠明白祂的愛
[00:03:51.320 --> 00:03:56.120]  由創世知道主的降臨
[00:03:56.120 --> 00:03:58.600]  然後又要帶領我們全個人類
[00:03:58.600 --> 00:04:03.920]  去回到天國這個偉大的工程裏面
[00:04:03.920 --> 00:04:08.720]  其實上帝花了很多很多的心思
[00:04:08.720 --> 00:04:11.480]  聖誕節我們很容易用節止器的方式
[00:04:11.480 --> 00:04:15.160]  我們每天看天使向牧羊部佳音
[00:04:15.160 --> 00:04:20.640]  或者東方博士送禮物給耶穌
[00:04:20.640 --> 00:04:25.400]  而事實上整個聖誕
[00:04:25.400 --> 00:04:30.600]  是上帝仔細計劃
[00:04:30.600 --> 00:04:36.560]  謹慎周詳地去設計
[00:04:36.560 --> 00:04:39.120]  當人犯了罪之後
[00:04:39.120 --> 00:04:41.320]  不是上帝突然間很害怕地說
[00:04:41.320 --> 00:04:43.880]  「原來我創造的人會犯罪的?」
[00:04:43.880 --> 00:04:46.720]  於是趕快先弄一塊布給他蓋著
[00:04:46.720 --> 00:04:49.720]  然後人就繼續這樣來生存
[00:04:49.720 --> 00:04:50.800]  還是受不了
[00:04:50.800 --> 00:04:54.760]  不如派個聖旨下來來救世人
[00:04:54.760 --> 00:05:00.720]  不是臨急臨亡的
[00:05:00.720 --> 00:05:03.080]  這塊鎖說得很清楚
[00:05:03.080 --> 00:05:05.400]  在世界沒有人創造以前
[00:05:05.400 --> 00:05:12.160]  在基督裏面已經預了祂會來救我們
[00:05:12.160 --> 00:05:13.240]  而這個救數
[00:05:13.240 --> 00:05:15.920]  不只是救了我們現世這一段時間
[00:05:15.920 --> 00:05:17.880]  要將我們帶入去永恆的時候
[00:05:17.880 --> 00:05:20.760]  所信耶穌的人得永生
[00:05:20.760 --> 00:05:24.360]  即是得永恆
[00:05:24.360 --> 00:05:26.160]  整個創造的計劃
[00:05:26.160 --> 00:05:27.000]  救贖的計劃
[00:05:27.000 --> 00:05:32.960]  最後要去到天國那裏才完成
[00:05:32.960 --> 00:05:34.760]  而我們在世的日子
[00:05:34.760 --> 00:05:35.720]  不只是去到
[00:05:35.720 --> 00:05:38.560]  「好了,我們已經有了救恩,不能彈了」
[00:05:38.560 --> 00:05:39.680]  於是過我們的生活
[00:05:39.680 --> 00:05:42.880]  不是,我們要向前走
[00:05:42.880 --> 00:05:44.760]  走去哪裏?
[00:05:44.760 --> 00:05:47.280]  走去耶穌基督的書
[00:05:47.280 --> 00:05:49.560]  與基督相依之處
[00:05:49.560 --> 00:05:52.600]  傳言歸於基督天國的地方的書
[00:05:52.600 --> 00:05:57.360]  所以我們沒有人可以走遍這裏生活
[00:05:57.360 --> 00:05:59.960]  在《伯利行》裏面
[00:05:59.960 --> 00:06:02.160]  在夜間的時候
[00:06:02.160 --> 00:06:05.840]  牧羊人按著庚廁看守羊群
[00:06:05.840 --> 00:06:08.280]  時間告訴我們
[00:06:08.280 --> 00:06:10.160]  是一個夜晚
[00:06:10.160 --> 00:06:13.040]  一個被人遺忘的時間
[00:06:13.040 --> 00:06:14.840]  地點是曠野
[00:06:14.840 --> 00:06:18.120]  一個被人遺忘的空間
