
[00:00:00.000 --> 00:00:01.200]  第二節就平安了
[00:00:01.200 --> 00:00:03.840]  我們一開始的時候也有一個祈禱
[00:00:30.000 --> 00:00:32.000]  成為我們生命的亮光
[00:00:32.000 --> 00:00:34.040]  多謝你 聖靈
[00:00:34.040 --> 00:00:36.360]  讓你的僕人在你的殿裏面
[00:00:36.360 --> 00:00:38.360]  讓他講得清楚明白
[00:00:38.360 --> 00:00:40.880]  又讓每一個孩子心裏感動
[00:00:40.880 --> 00:00:43.560]  有你的話都成為我們腳前的燈
[00:00:43.560 --> 00:00:44.640]  路上的光
[00:00:44.640 --> 00:00:46.920]  都能夠活出你自己的道
[00:00:46.920 --> 00:00:48.920]  為你作美好見證
[00:00:48.920 --> 00:00:50.920]  主我們實在獻上感謝
[00:00:50.920 --> 00:00:52.920]  感恩禱告奉耶穌基督
[00:00:52.920 --> 00:00:54.440]  得聖的明智祈求
[00:00:54.440 --> 00:00:55.440]  阿們
[00:00:58.040 --> 00:01:00.440]  剛才陳牧師讀這段經文
[00:01:00.440 --> 00:01:03.680]  是記載雅各一生最重要的經歷
[00:01:03.680 --> 00:01:05.680]  他之前的經歷
[00:01:05.680 --> 00:01:08.720]  雅各在伯特利的時候遇到神
[00:01:08.720 --> 00:01:12.000]  然後他相信這位創造主
[00:01:12.000 --> 00:01:12.800]  這位神
[00:01:12.800 --> 00:01:14.680]  使得他的人生
[00:01:14.680 --> 00:01:15.600]  他的觀
[00:01:15.600 --> 00:01:18.560]  得到的價值和信仰
[00:01:18.560 --> 00:01:20.040]  都有很大的轉變
[00:01:20.040 --> 00:01:21.760]  所以在之前
[00:01:21.760 --> 00:01:24.440]  如果大家翻開《創世紀》前那幾章
[00:01:24.440 --> 00:01:27.200]  你就看到雅各怎樣在伯特利
[00:01:27.200 --> 00:01:29.200]  成為他個人得救的地方
[00:01:29.200 --> 00:01:32.240]  同樣無論我們在茶灣浸信會
[00:01:32.240 --> 00:01:33.440]  這間教會裡面
[00:01:33.440 --> 00:01:34.480]  去得救
[00:01:34.480 --> 00:01:37.440]  又或者我們在環翠村的道路上
[00:01:37.440 --> 00:01:39.080]  突然間聖靈感動你
[00:01:39.080 --> 00:01:39.800]  你得救
[00:01:39.800 --> 00:01:41.400]  又或者你在家裡的窗口
[00:01:41.400 --> 00:01:43.120]  看到這個十字架的時候
[00:01:43.120 --> 00:01:45.760]  你就走到這間教會
[00:01:45.760 --> 00:01:49.040]  去認識這位創造你生命的主
[00:01:49.040 --> 00:01:51.200]  我們每一個信徒
