
[00:00:00.000 --> 00:00:06.080]  今天跟大家分享的題目是「做過貴重的器皿」
[00:00:06.080 --> 00:00:07.560]  貴重的器皿
[00:00:07.560 --> 00:00:09.000]  最近經常洗東西
[00:00:09.000 --> 00:00:10.480]  所以對器皿很有感覺
[00:00:10.480 --> 00:00:14.400]  對器具、廚房的東西很有感覺
[00:00:14.400 --> 00:00:17.800]  圓圓、扁、高身
[00:00:17.800 --> 00:00:22.320]  有些膠、瓷器、玻璃、甚至金屬
[00:00:22.320 --> 00:00:25.200]  很有不同的體會和感覺
[00:00:25.200 --> 00:00:28.000]  所以我做過貴重的器皿
[00:00:28.000 --> 00:00:30.160]  今天跟大家分享這個題目
[00:00:30.160 --> 00:00:34.800]  好,大家打開題目後書第二章
[00:00:34.800 --> 00:00:38.360]  二章的二十至二十二節
[00:00:38.360 --> 00:00:43.240]  我們一起讀一次
[00:00:43.240 --> 00:00:46.040]  《斷線經》我相信我們都很熟悉
[00:00:46.040 --> 00:00:48.000]  我們一起讀一下這三節經文
[00:00:48.000 --> 00:00:49.000]  請
[00:00:58.000 --> 00:01:13.000]  「做過貴重的器皿,成為聖傑,合乎主欲,預備行各樣的善事,你要逃避少年人的恥辱,同有清心禱告主的人,追求公義,信德,仁愛和平。」
[00:01:13.000 --> 00:01:15.000]  是不是很熟悉?
[00:01:15.000 --> 00:01:20.000]  可能你很小的時候,回教會,這句經文你已經背了
[00:01:20.000 --> 00:01:22.000]  那你想一下,我都不是少年人
[00:01:22.000 --> 00:01:24.000]  坐在這裡的是哪個少年人呢?
[00:01:24.000 --> 00:01:26.000]  不是很關我事的
[00:01:26.000 --> 00:01:28.000]  我先聽下去
[00:01:28.000 --> 00:01:36.000]  提摩泰前後書都是保羅寫給提摩泰的兩封私人信件
[00:01:36.000 --> 00:01:38.000]  又是私人,但又不是純私人
[00:01:38.000 --> 00:01:47.000]  因為是在教會裡面針對著當時候提摩泰被差派到那間以弗所教會裡面的工作有關
[00:01:47.000 --> 00:01:50.000]  所以你會看到提摩泰前書一開始已經講了
[00:01:50.000 --> 00:01:57.000]  保羅差派他一個接班人,提摩泰,他的屬靈的兒子,他的徒弟
[00:01:57.000 --> 00:02:03.000]  告訴他,現在我差你去以弗所教會裡面,你要接替我做這個領導的工作
[00:02:03.000 --> 00:02:07.000]  可能是長老,可能是一個牧者,帶領這間教會
[00:02:07.000 --> 00:02:11.000]  一開始他已經說這間教會有很多問題
[00:02:11.000 --> 00:02:17.000]  以弗所教會是一間跟保羅關係很密切的教會
[00:02:17.000 --> 00:02:22.000]  你看《使徒行傳》就會發覺,保羅宣教這麼多次裡面
[00:02:22.000 --> 00:02:28.000]  花了最長的時間,三年左右,停留在以弗所這個地方建立這間教會
[00:02:28.000 --> 00:02:32.000]  很深厚的感情,特別你看《使徒行傳》第二二十一章
[00:02:32.000 --> 00:02:36.000]  講到跟長老的會面,你會覺得心裡很觸動
[00:02:36.000 --> 00:02:41.000]  聊天那段話,我怎樣眼淚去牧養你們,栽培你們
[00:02:41.000 --> 00:02:45.000]  突然間我要走了,我可能回不來了,就是那段經文
[00:02:45.000 --> 00:02:48.000]  接著就說,在你們中間,聖靈告訴我
[00:02:48.000 --> 00:02:52.000]  你們有些人居然會起來講一些不好的東西
[00:02:52.000 --> 00:02:55.000]  一些教義上有問題的東西
[00:02:55.000 --> 00:03:01.000]  所以這個背景都是在以弗所教會,在提摩太入去這間教會服侍的時候
[00:03:01.000 --> 00:03:08.000]  他要面對的,他要面對的,教會裡面有一部分人,不是很多
[00:03:08.000 --> 00:03:15.000]  一部分人是提倡一種思想,一些講法,是跟真理有些違背的
[00:03:15.000 --> 00:03:18.000]  他要面對這件事,怎樣處理他們呢?
[00:03:18.000 --> 00:03:24.000]  教會裡面有些人的問題,教會外面整個城市的環境
[00:03:24.000 --> 00:03:29.000]  其實都是令到人很多困難的
[00:03:29.000 --> 00:03:36.000]  以弗所教會,那個城市如果你有記得,就出現過很多拜偶像的情況
[00:03:36.000 --> 00:03:40.000]  當時有很多人原本是做那些拜偶像的工作
[00:03:40.000 --> 00:03:45.000]  有很多書,有很多銀,做那些建造的行業
[00:03:45.000 --> 00:03:48.000]  做那些偶像行業的人信耶穌
[00:03:48.000 --> 00:03:55.000]  因為他們想表達他們對信仰,基督教信仰,信耶穌的那種忠心
[00:03:55.000 --> 00:03:58.000]  公眾地燒書,在城市裡面
[00:03:58.000 --> 00:04:03.000]  結果帶來整個城市一個很大的震撼,幾乎震動,暴動
[00:04:03.000 --> 00:04:10.000]  所以,整個以弗所的環境其實是不利的
[00:04:10.000 --> 00:04:16.000]  因為很多人覺得教會建立了,基督教來了,信耶穌的人多了
[00:04:16.000 --> 00:04:20.000]  就會令到很多人的行業,工作都受到損害
[00:04:20.000 --> 00:04:27.000]  所以看提摩太后書,特別是去到第三章就講末世裡面的人性
[00:04:27.000 --> 00:04:33.000]  講到在這個環世界裡面,有危險的日子來到
[00:04:33.000 --> 00:04:40.000]  人有很多專顧自己,貪愛錢財,自誇,狂傲,違背父母,忘恩負義,母親情
[00:04:40.000 --> 00:04:42.000]  很多這些形容
[00:04:42.000 --> 00:04:47.000]  所以我想大家想像一下,提摩太后被委派在教會裡面服侍
[00:04:47.000 --> 00:04:54.000]  裡面有她的問題,外面有很大的黑暗的權勢影響著
[00:04:54.000 --> 00:04:59.000]  在這個處境之下,保羅和提摩太后講什麼呢?
[00:04:59.000 --> 00:05:04.000]  其中一番就講了這番話
[00:05:04.000 --> 00:05:09.000]  這番話主要是用一個比喻開始
[00:05:09.000 --> 00:05:12.000]  這個比喻之前其實也有一句話
[00:05:12.000 --> 00:05:17.000]  「凡稱呼主名的人,總要離開不已」
[00:05:17.000 --> 00:05:19.000]  雖然環境很惡劣
[00:05:19.000 --> 00:05:25.000]  不過他說教會的根基已經立著了,有印記,有兩句說話
[00:05:25.000 --> 00:05:29.000]  一句就說「主認識誰是他的人」,很穩定的
[00:05:29.000 --> 00:05:33.000]  第二句說話「凡稱呼主名的人,總要離開不已」
[00:05:33.000 --> 00:05:35.000]  之前那一節是這樣說的
[00:05:35.000 --> 00:05:37.000]  所以他接著要說的就是說
[00:05:37.000 --> 00:05:42.000]  「咦,沒錯了,神,我們的主認識哪一個是屬於他的人」
[00:05:42.000 --> 00:05:46.000]  但是他的要求,那些屬於他的人都要離開不已
[00:05:46.000 --> 00:05:49.000]  所以這句說話,接著的經文就是演繹
[00:05:49.000 --> 00:05:53.000]  什麼叫做離開不已,背後的含義
[00:05:53.000 --> 00:05:58.000]  我們中間很多人都,其實持綱堂有個特性
[00:05:58.000 --> 00:06:00.000]  我們很做得嘛,是不是
[00:06:00.000 --> 00:06:04.000]  意思就是說,如果我們被吩咐
[00:06:04.000 --> 00:06:06.000]  我們聽到一些事情,我們要去服事,我們要去做
[00:06:06.000 --> 00:06:09.000]  我們其實都是很願意的,很樂意的
[00:06:09.000 --> 00:06:12.000]  你看看旁邊那個,看有沒有做殘他
[00:06:12.000 --> 00:06:14.000]  無論是祈禱,無論是出兌
[00:06:14.000 --> 00:06:18.000]  無論是去任何崗位上的侍奉
[00:06:18.000 --> 00:06:20.000]  牧羊等等
[00:06:20.000 --> 00:06:22.000]  是很願意的
[00:06:22.000 --> 00:06:26.000]  他這裡是針對一個很願意服事的人
[00:06:26.000 --> 00:06:30.000]  他告訴我們,保羅勸勉提摩泰
[00:06:30.000 --> 00:06:31.000]  用了一個比喻去說
[00:06:31.000 --> 00:06:34.000]  他說一個服事主的人,離開不已是很重要的
[00:06:34.000 --> 00:06:36.000]  而那個焦點是怎樣呢
[00:06:36.000 --> 00:06:38.000]  我們要成為神貴重的器皿
[00:06:38.000 --> 00:06:41.000]  他說什麼呢,在大戶人家裡面
[00:06:41.000 --> 00:06:45.000]  他在表演教會,一個很有錢的家
[00:06:45.000 --> 00:06:47.000]  你打開廚房,看看他的家
[00:06:47.000 --> 00:06:50.000]  你會發覺家裡有很多器皿,很多容器
[00:06:50.000 --> 00:06:55.000]  有金器,銀器,木器,瓦器
[00:06:55.000 --> 00:06:57.000]  那要怎樣呢
[00:06:57.000 --> 00:06:59.000]  有些人聽到這個比喻
[00:06:59.000 --> 00:07:02.000]  我們會有一種,不知道你們會不會這樣演繹他
[00:07:02.000 --> 00:07:06.000]  有些人就是金器,有些人就是銀器
[00:07:06.000 --> 00:07:09.000]  有些人就是木器,有些人就是瓦器
[00:07:09.000 --> 00:07:11.000]  那所以我們要怎樣呢
[00:07:11.000 --> 00:07:13.000]  你看看你是什麼器皿
[00:07:13.000 --> 00:07:15.000]  你是什麼器質
[00:07:15.000 --> 00:07:18.000]  你是什麼素質
[00:07:18.000 --> 00:07:19.000]  那你就做回你的素質
[00:07:19.000 --> 00:07:21.000]  金器就做回金器
[00:07:21.000 --> 00:07:22.000]  銀器就做回銀器
[00:07:22.000 --> 00:07:23.000]  木器就做回木器
[00:07:23.000 --> 00:07:24.000]  瓦器就做回瓦器
[00:07:24.000 --> 00:07:27.000]  沒什麼高低之分
[00:07:27.000 --> 00:07:28.000]  做得對就好
[00:07:28.000 --> 00:07:30.000]  其實這段經文,你看他的說法
[00:07:30.000 --> 00:07:33.000]  他的焦點不是這樣的
[00:07:33.000 --> 00:07:35.000]  他不是在說恩賜的不同
[00:07:35.000 --> 00:07:37.000]  做回自己的崗位
[00:07:37.000 --> 00:07:40.000]  他是鼓勵提摩他要怎樣呢
[00:07:40.000 --> 00:07:44.000]  他說你要脫離卑賤的事
[00:07:44.000 --> 00:07:46.000]  你要做一個貴重的器皿
[00:07:46.000 --> 00:07:49.000]  所以其實他的重點是告訴我們
[00:07:49.000 --> 00:07:53.000]  他鼓勵我們,我們都要做貴重的器皿
[00:07:53.000 --> 00:07:55.000]  好像那些很有價值
[00:07:55.000 --> 00:07:57.000]  在一個人的家裡
[00:07:57.000 --> 00:08:01.000]  金,銀,可能用來裝什麼呢
[00:08:01.000 --> 00:08:03.000]  很值錢,主人很看重
[00:08:03.000 --> 00:08:07.000]  可能是裝著一些金器、戒指、屋契
[00:08:07.000 --> 00:08:10.000]  一些很重要的紀念品
[00:08:10.000 --> 00:08:13.000]  一些很好收藏的那些
[00:08:13.000 --> 00:08:15.000]  而不是另外那些
[00:08:15.000 --> 00:08:17.000]  可能用木、用瓦做那些
[00:08:17.000 --> 00:08:21.000]  可能你用途是很平凡的
[00:08:21.000 --> 00:08:23.000]  可能用完就會丟掉
[00:08:23.000 --> 00:08:24.000]  我們不要做那些
[00:08:24.000 --> 00:08:28.000]  我們應該追求做一種貴重的器皿
[00:08:28.000 --> 00:08:31.000]  這是一個比喻的向導
[00:08:31.000 --> 00:08:33.000]  所以我想要研究一下
[00:08:33.000 --> 00:08:34.000]  什麼叫做貴重的器皿
[00:08:34.000 --> 00:08:36.000]  他想說什麼呢
[00:08:36.000 --> 00:08:39.000]  所以我想如果我們作為一個服事主的人
