
[00:00:00.000 --> 00:00:01.400]  各位電視節目的觀眾朋友大家好
[00:00:01.400 --> 00:00:03.280]  又跟大家一起讀聖經了
[00:00:03.280 --> 00:00:05.240]  《生命傳書》的網絡
[00:00:05.240 --> 00:00:07.000]  鼓勵大家多看聖經
[00:00:07.000 --> 00:00:08.480]  了解裡面的人物
[00:00:08.480 --> 00:00:09.840]  裡面的故事
[00:00:09.840 --> 00:00:12.360]  而看到背後的上帝
[00:00:12.360 --> 00:00:13.920]  是有什麼心意的
[00:00:13.920 --> 00:00:16.760]  今天來到這件事就令人很遺憾
[00:00:16.760 --> 00:00:18.720]  唉,真是低頭了
[00:00:18.720 --> 00:00:21.600]  覺得上帝好像很…
[00:00:21.600 --> 00:00:23.400]  唉呀,用不著這麼緊張
[00:00:23.400 --> 00:00:24.680]  用不著這麼尖銳
[00:00:24.680 --> 00:00:25.960]  這樣很Harsh
[00:00:25.960 --> 00:00:30.400]  摩西又是一個很慘的經歷
[00:00:30.400 --> 00:00:34.040]  這個當然是有我們的投射在摩西那裡
[00:00:34.040 --> 00:00:36.280]  摩西可能覺得沒有我們這麼慘的
[00:00:36.280 --> 00:00:36.840]  好
[00:00:36.840 --> 00:00:38.520]  摩西發脾氣出事
[00:00:38.520 --> 00:00:40.160]  這個不是聖經的字
[00:00:40.160 --> 00:00:41.760]  看就知道是我的字
[00:00:41.760 --> 00:00:43.160]  這個句子
[00:00:43.160 --> 00:00:45.200]  摩西發脾氣出事了
[00:00:45.200 --> 00:00:47.200]  這次看看要做什麼
[00:00:47.200 --> 00:00:49.200]  今天聖經很長的
[00:00:49.200 --> 00:00:51.840]  文素記二十章第一節
[00:00:51.840 --> 00:00:56.680]  「正月間,以色列傳會中,到了沉的曠野」
[00:00:56.680 --> 00:00:57.880]  這個「沉」呢
[00:00:57.880 --> 00:00:59.480]  Jin
[00:00:59.480 --> 00:01:01.840]  Jin好像普通話的「沉」
[00:01:01.840 --> 00:01:03.640]  所以就譯作「沉」
[00:01:03.640 --> 00:01:04.440]  Jin
[00:01:04.440 --> 00:01:05.920]  是平面的意思
[00:01:05.920 --> 00:01:08.560]  就是說這個曠野比較平
[00:01:08.560 --> 00:01:10.680]  去到一個沉的曠野
[00:01:10.680 --> 00:01:14.440]  他們就紮營停了在迦底斯
[00:01:14.440 --> 00:01:16.000]  這個Kadesh
[00:01:16.000 --> 00:01:19.000]  Kadesh就是神聖的意思
